start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.025	1	0.025	0	n	n	0.38424515825863637	0	2	1	2021_May_20_1336	Motor	
0.025	1	0.0205	0	n	n	0.43149985331547214	1	2	1	2021_May_20_1336	Motor	
0.025	1	0.016	0	n	n	0.5213210978454299	2	2	1	2021_May_20_1336	Motor	
0.025	0	0.0115	90	n	x	0.4749515019429964	3	2	1	2021_May_20_1336	Motor	
0.025	1	0.016	90	x	x	0.5112086960125453	4	2	1	2021_May_20_1336	Motor	
0.0425	1	0.0425	90	x	x	0.4220674994667206	5	2	1	2021_May_20_1336	Motor	
0.025	0	0.016	0	x	n	0.4679839860400534	6	2	1	2021_May_20_1336	Motor	
0.025	1	0.0205	0	n	n	0.43282846202419023	7	2	1	2021_May_20_1336	Motor	
0.0425	1	0.038000000000000006	0	n	n	0.5095824943127809	8	2	1	2021_May_20_1336	Motor	
0.025	1	0.0205	90	x	x	0.4414786262968846	9	2	1	2021_May_20_1336	Motor	
0.0425	1	0.03350000000000001	90	x	x	0.41823450174160826	10	2	1	2021_May_20_1336	Motor	
0.025	1	0.0205	90	x	x	0.5960810650976782	11	2	1	2021_May_20_1336	Motor	
0.0425	1	0.02900000000000001	90	x	x	0.550907985014419	12	2	1	2021_May_20_1336	Motor	
0.025	1	0.016	0	n	n	0.54868621334208	13	2	1	2021_May_20_1336	Motor	
0.0425	1	0.024500000000000008	90	x	x	0.5363278484073817	14	2	1	2021_May_20_1336	Motor	
0.025	1	0.016	90	x	x	0.48531887377066596	15	2	1	2021_May_20_1336	Motor	
0.0425	1	0.020000000000000007	0	n	n	0.517316840154308	16	2	1	2021_May_20_1336	Motor	
0.025	0	0.016	0	x	n	0.4191088491479604	17	2	1	2021_May_20_1336	Motor	
0.0425	1	0.015500000000000007	0	n	n	0.5129078559930349	18	2	1	2021_May_20_1336	Motor	
0.0425	0	0.011000000000000006	90	n	x	0.44371575760669657	19	2	1	2021_May_20_1336	Motor	
0.025	0	0.0205	90	n	x	0.6124548234638496	20	2	1	2021_May_20_1336	Motor	
0.025	1	0.025	90	x	x	0.5193842474618577	21	2	1	2021_May_20_1336	Motor	
0.0425	1	0.015500000000000007	0	n	n	0.5451600243923167	22	2	1	2021_May_20_1336	Motor	
0.0425	0	0.015500000000000007	90	n	x	0.6310426736818044	23	2	1	2021_May_20_1336	Motor	
0.025	0	0.025	90	n	x	0.6078857150769181	24	2	1	2021_May_20_1336	Motor	
0.025	0	0.029500000000000002	90	n	x	0.5707096306468884	25	2	1	2021_May_20_1336	Motor	
0.0425	1	0.020000000000000007	90	x	x	0.6064538127993728	26	2	1	2021_May_20_1336	Motor	
0.025	1	0.034	0	n	n	0.5173429515398311	27	2	1	2021_May_20_1336	Motor	
0.0425	1	0.020000000000000007	90	x	x	0.49513637054951687	28	2	1	2021_May_20_1336	Motor	
0.0425	1	0.020000000000000007	0	n	n	0.5540352073639951	29	2	1	2021_May_20_1336	Motor	
0.025	1	0.034	90	x	x	0.5748455972352531	30	2	1	2021_May_20_1336	Motor	
0.025	1	0.034	0	n	n	0.48772265715524554	31	2	1	2021_May_20_1336	Motor	
0.0425	0	0.015500000000000007	90	n	x	0.7224302173235628	32	2	1	2021_May_20_1336	Motor	
0.0425	0	0.020000000000000007	90	n	x	0.6772602091677982	33	2	1	2021_May_20_1336	Motor	
0.025	1	0.029500000000000002	90	x	x	0.617253174454163	34	2	1	2021_May_20_1336	Motor	
0.025	1	0.029500000000000002	90	x	x	0.5057157053834089	35	2	1	2021_May_20_1336	Motor	
0.0425	1	0.024500000000000008	90	x	x	0.5445375750514359	36	2	1	2021_May_20_1336	Motor	
0.025	1	0.029500000000000002	0	n	n	0.5053693455411121	37	2	1	2021_May_20_1336	Motor	
0.0425	1	0.024500000000000008	0	n	n	0.448172356644136	38	2	1	2021_May_20_1336	Motor	
0.025	0	0.025	90	n	x	0.6010333964604797	39	2	1	2021_May_20_1336	Motor	
0.0425	1	0.024500000000000008	90	x	x	0.7198167748756532	40	2	1	2021_May_20_1336	Motor	
0.025	1	0.029500000000000002	0	n	n	0.501645017257033	41	2	1	2021_May_20_1336	Motor	
0.0425	1	0.020000000000000007	0	n	n	0.6763670462041773	42	2	1	2021_May_20_1336	Motor	
