start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.04,0,0.04,90,n,x,0.5383484088179102,0,2,1,2021_May_20_1333,Motor,
0.06,1,0.06,0,n,n,0.3450465934620297,1,2,1,2021_May_20_1333,Motor,
0.04,1,0.0445,90,x,x,0.5220871598030499,2,2,1,2021_May_20_1333,Motor,
0.06,1,0.0555,90,x,x,0.48264975263373344,3,2,1,2021_May_20_1333,Motor,
0.06,0,0.051000000000000004,0,x,n,0.3463874898825452,4,2,1,2021_May_20_1333,Motor,
0.04,1,0.04,0,n,n,0.3422749467408721,5,2,1,2021_May_20_1333,Motor,
0.06,1,0.0555,90,x,x,0.4522261491692916,6,2,1,2021_May_20_1333,Motor,
0.04,1,0.04,0,n,n,0.4096331043219834,7,2,1,2021_May_20_1333,Motor,
0.06,1,0.0555,90,x,x,0.4794603237496631,8,2,1,2021_May_20_1333,Motor,
0.04,1,0.04,0,n,n,0.49020976657811843,9,2,1,2021_May_20_1333,Motor,
0.06,1,0.0555,90,x,x,0.4171497272909619,10,2,1,2021_May_20_1333,Motor,
0.06,1,0.051000000000000004,90,x,x,0.395067559367817,11,2,1,2021_May_20_1333,Motor,
0.04,1,0.035500000000000004,0,n,n,0.39370938335559913,12,2,1,2021_May_20_1333,Motor,
0.06,1,0.051000000000000004,90,x,x,0.4204843047536997,13,2,1,2021_May_20_1333,Motor,
0.04,1,0.035500000000000004,90,x,x,0.4733325960714865,14,2,1,2021_May_20_1333,Motor,
0.06,1,0.051000000000000004,90,x,x,0.41714435141693684,15,2,1,2021_May_20_1333,Motor,
0.04,1,0.035500000000000004,90,x,x,0.3299753324208723,16,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,0,n,n,0.3587304951797705,17,2,1,2021_May_20_1333,Motor,
0.04,1,0.031000000000000003,0,n,n,0.3876592218512087,18,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,90,x,x,0.38634750874371093,19,2,1,2021_May_20_1333,Motor,
0.04,1,0.031000000000000003,90,x,x,0.3771551492427534,20,2,1,2021_May_20_1333,Motor,
0.04,1,0.031000000000000003,90,x,x,0.36004489622246183,21,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,0,n,n,0.38493519000621745,22,2,1,2021_May_20_1333,Motor,
0.06,0,0.04200000000000001,0,x,n,0.411623329448048,23,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,90,x,x,0.3854650975263212,24,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,0,n,n,0.4242117049652734,25,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,90,x,x,0.4290246476120956,26,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,90,x,x,0.3417830543257878,27,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,0,n,n,0.4397702505320922,28,2,1,2021_May_20_1333,Motor,
0.04,0,0.022000000000000002,90,n,x,0.5074728479994519,29,2,1,2021_May_20_1333,Motor,
0.06,1,0.04650000000000001,0,n,n,0.33417312155506806,30,2,1,2021_May_20_1333,Motor,
0.06,1,0.04200000000000001,90,x,x,0.44306335697183385,31,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,90,x,x,0.4639263536064391,32,2,1,2021_May_20_1333,Motor,
0.06,1,0.04200000000000001,90,x,x,0.3387099747033062,33,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,0,n,n,0.41146666113672836,34,2,1,2021_May_20_1333,Motor,
0.04,1,0.026500000000000003,0,n,n,0.45320571009870037,35,2,1,2021_May_20_1333,Motor,
0.06,1,0.04200000000000001,0,n,n,0.4820968056574202,36,2,1,2021_May_20_1333,Motor,
0.06,1,0.03750000000000001,90,x,x,0.4527552887084312,37,2,1,2021_May_20_1333,Motor,
0.04,1,0.022000000000000002,0,n,n,0.47667216541594826,38,2,1,2021_May_20_1333,Motor,
0.04,1,0.022000000000000002,90,x,x,0.5205534999240626,39,2,1,2021_May_20_1333,Motor,
0.06,1,0.03750000000000001,0,n,n,0.4171021124111576,40,2,1,2021_May_20_1333,Motor,
0.06,1,0.03750000000000001,0,n,n,0.37908124787827546,41,2,1,2021_May_20_1333,Motor,
