start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,0,0.025,0,n,x,0.41477781515277456,0,3,2,2021_May_20_1441,Motor,
0.025,1,0.029500000000000002,0,x,x,0.5084109379058646,1,3,2,2021_May_20_1441,Motor,
0.0425,1,0.0425,0,x,x,0.5512462810474972,2,3,2,2021_May_20_1441,Motor,
0.0425,1,0.038000000000000006,0,x,x,0.4212092796769866,3,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,90,n,n,0.3230078165179293,4,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,0,x,x,0.26098943717443035,5,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,90,n,n,0.5017321832019661,6,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.4484572779329028,7,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,90,n,n,0.4933961235365132,8,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.39618804497877136,9,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,90,n,n,0.4630335746333003,10,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,0,x,x,0.33485393751834636,11,3,2,2021_May_20_1441,Motor,
0.0425,1,0.020000000000000007,0,x,x,0.6567301326904271,12,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,90,n,n,0.45749296912254067,13,3,2,2021_May_20_1441,Motor,
0.0425,1,0.015500000000000007,0,x,x,0.48231568050323403,14,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.43422426915276446,15,3,2,2021_May_20_1441,Motor,
0.0425,1,0.011000000000000006,90,n,n,0.40303805964867934,16,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.4618566423523589,17,3,2,2021_May_20_1441,Motor,
0.0425,1,0.006500000000000007,90,n,n,0.6066830554009357,18,3,2,2021_May_20_1441,Motor,
0.0425,0,0.002000000000000007,0,n,x,0.31357469468639465,19,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.41537607306599966,20,3,2,2021_May_20_1441,Motor,
0.0425,1,0.006500000000000007,90,n,n,0.3622378685759031,21,3,2,2021_May_20_1441,Motor,
0.025,0,0.0115,0,n,x,0.4141833971516462,22,3,2,2021_May_20_1441,Motor,
0.0425,0,0.006500000000000007,0,n,x,0.39671718451791094,23,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.45952274532101,24,3,2,2021_May_20_1441,Motor,
0.0425,1,0.011000000000000006,90,n,n,0.3403373283726978,25,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.3731401398035814,26,3,2,2021_May_20_1441,Motor,
0.0425,0,0.011000000000000006,0,n,x,0.4101173169183312,27,3,2,2021_May_20_1441,Motor,
0.0425,0,0.015500000000000007,90,x,n,0.2840047031204449,28,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.26775074993565795,29,3,2,2021_May_20_1441,Motor,
0.025,0,0.0115,0,n,x,0.2595314235149999,30,3,2,2021_May_20_1441,Motor,
0.0425,0,0.020000000000000007,90,x,n,0.4844164950227423,31,3,2,2021_May_20_1441,Motor,
0.0425,0,0.024500000000000008,0,n,x,0.3002356168508413,32,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.2991873215396481,33,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.5129239836132911,34,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.37980238289310364,35,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.39570728830221924,36,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.6075977218570188,37,3,2,2021_May_20_1441,Motor,
0.025,1,0.0115,0,x,x,0.3775137967968476,38,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.5483628929541737,39,3,2,2021_May_20_1441,Motor,
0.025,0,0.0115,0,n,x,0.47314559247752186,40,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.5491120593105734,41,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.5579192758850695,42,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.47361137350526405,43,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.3624375438703282,44,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.4862865309769404,45,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.6691618399017898,46,3,2,2021_May_20_1441,Motor,
0.025,0,0.0115,90,x,n,0.40983853948273463,47,3,2,2021_May_20_1441,Motor,
0.0425,1,0.020000000000000007,0,x,x,0.4404671941156266,48,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.4503173301272909,49,3,2,2021_May_20_1441,Motor,
0.0425,0,0.020000000000000007,90,x,n,0.45009423137889826,50,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.44802682406952954,51,3,2,2021_May_20_1441,Motor,
0.025,0,0.016,90,x,n,0.26392735198533046,52,3,2,2021_May_20_1441,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.508678963593411,53,3,2,2021_May_20_1441,Motor,
0.025,0,0.0205,90,x,n,0.3716229915371514,54,3,2,2021_May_20_1441,Motor,
0.0425,0,0.024500000000000008,0,n,x,0.3513954999325506,55,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,0,x,x,0.6560258932768193,56,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,0,x,x,0.28911984664955526,57,3,2,2021_May_20_1441,Motor,
0.025,1,0.025,0,x,x,0.5647351153565978,58,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,0,x,x,0.38052735782184754,59,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,90,n,n,0.5203903037654527,60,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.4341973897826392,61,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.5121145306766266,62,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,90,n,n,0.42292571925281663,63,3,2,2021_May_20_1441,Motor,
0.0425,0,0.024500000000000008,0,n,x,0.4846411297330633,64,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,0,x,x,0.36350081483033136,65,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.6203055185615085,66,3,2,2021_May_20_1441,Motor,
0.0425,0,0.02900000000000001,90,x,n,0.3862196397567459,67,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.49698605498633697,68,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,0,x,x,0.3358308105125616,69,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,0,x,x,0.36545916870454676,70,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,0,x,x,0.3494313861920091,71,3,2,2021_May_20_1441,Motor,
0.025,1,0.0115,90,n,n,0.5622391741417232,72,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,0,x,x,0.3340855716196529,73,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.46013636286807014,74,3,2,2021_May_20_1441,Motor,
0.025,1,0.0115,0,x,x,0.4129039392864797,75,3,2,2021_May_20_1441,Motor,
0.025,1,0.0115,0,x,x,0.4627571011442342,76,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.4844664138436201,77,3,2,2021_May_20_1441,Motor,
0.025,1,0.007,0,x,x,0.6671969581766461,78,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.4001485277003667,79,3,2,2021_May_20_1441,Motor,
0.0425,0,0.024500000000000008,90,x,n,0.4749995008096448,80,3,2,2021_May_20_1441,Motor,
0.025,1,0.007,90,n,n,0.5867412530678848,81,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.4855485003645299,82,3,2,2021_May_20_1441,Motor,
0.025,0,0.007,90,x,n,0.5293891318287933,83,3,2,2021_May_20_1441,Motor,
0.0425,0,0.02900000000000001,0,n,x,0.3351876256601827,84,3,2,2021_May_20_1441,Motor,
0.025,0,0.0115,0,n,x,0.560174454771186,85,3,2,2021_May_20_1441,Motor,
0.025,1,0.016,90,n,n,0.5370125042827567,86,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,90,n,n,0.5628266803068982,87,3,2,2021_May_20_1441,Motor,
0.025,0,0.016,90,x,n,0.48657490819095983,88,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,0,x,x,0.5463738198050123,89,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,0,x,x,0.5862036657308636,90,3,2,2021_May_20_1441,Motor,
0.0425,1,0.03350000000000001,90,n,n,0.5620563944466994,91,3,2,2021_May_20_1441,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.47391472636081744,92,3,2,2021_May_20_1441,Motor,
0.025,1,0.0205,0,x,x,0.47078903997680754,93,3,2,2021_May_20_1441,Motor,
