start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,1,0.025,0,x,x,0.5143190451999544,0,7,2,2021_May_21_1354,Motor,
0.0425,1,0.0425,90,n,n,0.4910680446009792,1,7,2,2021_May_21_1354,Motor,
0.0425,1,0.038000000000000006,90,n,n,0.42211490794215933,2,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.4839955932538942,3,7,2,2021_May_21_1354,Motor,
0.0425,1,0.03350000000000001,90,n,n,0.5256918756667801,4,7,2,2021_May_21_1354,Motor,
0.025,1,0.016,0,x,x,0.6915170135498556,5,7,2,2021_May_21_1354,Motor,
0.025,1,0.0115,0,x,x,0.6023153465439464,6,7,2,2021_May_21_1354,Motor,
0.0425,1,0.02900000000000001,90,n,n,0.36814685877197917,7,7,2,2021_May_21_1354,Motor,
0.025,0,0.007,90,x,n,0.6680444468511268,8,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.594788627093294,9,7,2,2021_May_21_1354,Motor,
0.025,1,0.0115,0,x,x,0.8256359273464113,10,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,90,n,n,0.7113899951191343,11,7,2,2021_May_21_1354,Motor,
0.0425,0,0.015500000000000007,90,x,n,0.8892879894665384,12,7,2,2021_May_21_1354,Motor,
0.025,1,0.0115,0,x,x,0.5361588579016825,13,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,90,n,n,0.5089227394782938,14,7,2,2021_May_21_1354,Motor,
0.025,0,0.0115,90,x,n,0.6307767984581005,15,7,2,2021_May_21_1354,Motor,
0.025,0,0.016,0,n,x,0.8755700911106032,16,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,0,x,x,0.5794187749042976,17,7,2,2021_May_21_1354,Motor,
0.0425,0,0.020000000000000007,90,x,n,1.050201425472551,18,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.5071636505645074,19,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.47189240105126373,20,7,2,2021_May_21_1354,Motor,
0.025,0,0.0205,0,n,x,0.8036932035265636,21,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.5495085034144722,22,7,2,2021_May_21_1354,Motor,
0.025,1,0.025,0,x,x,0.5223430403866587,23,7,2,2021_May_21_1354,Motor,
0.025,1,0.025,90,n,n,0.5031616368860341,24,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.5420516713647885,25,7,2,2021_May_21_1354,Motor,
0.025,1,0.025,0,x,x,0.5189339176222347,26,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,0,x,x,0.6276176575511272,27,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,0,x,x,0.633449031541204,28,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,90,n,n,0.37837883502288605,29,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.50223927679599,30,7,2,2021_May_21_1354,Motor,
0.0425,1,0.020000000000000007,90,n,n,0.44698023069759074,31,7,2,2021_May_21_1354,Motor,
0.0425,1,0.015500000000000007,0,x,x,0.551842435398612,32,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.667570978911499,33,7,2,2021_May_21_1354,Motor,
0.025,1,0.016,90,n,n,0.5153896280180561,34,7,2,2021_May_21_1354,Motor,
0.0425,1,0.015500000000000007,0,x,x,0.4482654676758102,35,7,2,2021_May_21_1354,Motor,
0.025,1,0.016,0,x,x,0.4881416056969101,36,7,2,2021_May_21_1354,Motor,
0.0425,1,0.015500000000000007,90,n,n,0.4869969115152344,37,7,2,2021_May_21_1354,Motor,
0.025,0,0.016,90,x,n,0.48170812487114745,38,7,2,2021_May_21_1354,Motor,
0.0425,0,0.011000000000000006,0,n,x,0.6536779780581128,39,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,90,n,n,0.7333795665372236,40,7,2,2021_May_21_1354,Motor,
0.0425,0,0.015500000000000007,0,n,x,0.49228685014713847,41,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.582094847954977,42,7,2,2021_May_21_1354,Motor,
0.0425,0,0.020000000000000007,90,x,n,0.7968757259941412,43,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,90,n,n,0.5516753968313424,44,7,2,2021_May_21_1354,Motor,
0.025,1,0.0205,0,x,x,0.49151924073157716,45,7,2,2021_May_21_1354,Motor,
0.025,1,0.016,0,x,x,0.8743167258598987,46,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.44905534890131094,47,7,2,2021_May_21_1354,Motor,
0.025,1,0.016,90,n,n,0.48199919437502103,48,7,2,2021_May_21_1354,Motor,
0.0425,1,0.024500000000000008,0,x,x,0.6807823856097457,49,7,2,2021_May_21_1354,Motor,
