start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	1	0.0005	0	4	4	0.47247349376903003	0	1	1	2021_Mar_25_1022	Motor	
0.06	0	0.06	0	3	4	0.5671137267158883	1	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0005	0	4	4	0.7359852300073726	2	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.0645	0	4	4	0.5616080030752073	3	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	90	3	3	0.46543025321807363	4	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.0005	90	4	3	0.5531858356446264	5	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	90	3	3	0.4630560106966186	6	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.004999999999999999	90	4	3	0.664853569178149	7	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.700499846593857	8	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	0	4	4	0.6753101433491793	9	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05550000000000001	90	3	3	0.7402379772051972	10	1	1	2021_Mar_25_1022	Motor	
0.06	0	0.05550000000000001	90	4	3	0.5007558946147128	11	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.6581248207221506	12	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	0	4	4	0.6371648249614736	13	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.5826367339823264	14	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	0	4	4	0.6463219592665155	15	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.060000000000000005	90	3	3	0.5531389882264648	16	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.7770181925420729	17	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.5583809071426913	18	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.5872358448798423	19	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05550000000000001	90	3	3	0.46984312642780424	20	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.5093358840856581	21	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.0185	90	4	3	0.5092433412346509	22	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05550000000000001	0	4	4	0.48807138010579365	23	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	0	4	4	0.46375795398125774	24	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05550000000000001	90	3	3	0.4645247924602245	25	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.023	0	3	4	0.6633325640630119	26	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05100000000000001	90	3	3	0.5522108717498213	27	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.5678218139244109	28	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05100000000000001	0	4	4	0.5705911875400034	29	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.05100000000000001	90	3	3	0.6193305503920783	30	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.7401346824876782	31	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	0	4	4	0.5849360974334559	32	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.7747157571291154	33	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	0	4	4	0.5794223098926068	34	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	0	4	4	0.6231639747959434	35	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	0	4	4	0.6541738937769424	36	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	0	4	4	0.43793427460809653	37	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	90	3	3	0.5316218153834598	38	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.042000000000000016	0	4	4	0.517294185275432	39	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	90	3	3	0.5193385758923341	40	1	1	2021_Mar_25_1022	Motor	
0.06	0	0.042000000000000016	0	3	4	0.6680284417589064	41	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.6106261464658473	42	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	90	3	3	0.5253615411108967	43	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	90	3	3	0.6071640454513272	44	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.5110738465070881	45	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.046500000000000014	90	3	3	0.5288121222686186	46	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.042000000000000016	0	4	4	0.5913134902518777	47	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.5459713332199954	48	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.042000000000000016	0	4	4	0.600750941076285	49	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.5535813507340208	50	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	90	3	3	0.5252759101742868	51	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.042000000000000016	0	4	4	0.5121678489238093	52	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	90	3	3	0.6828990411254381	53	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03750000000000002	0	4	4	0.5106767954368934	54	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.5055320273143025	55	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03750000000000002	0	4	4	0.731218697188524	56	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03750000000000002	0	4	4	0.7232504121229795	57	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.5666525484421072	58	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03300000000000002	90	3	3	0.5844415115739139	59	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.013999999999999999	90	4	3	0.5451722391412659	60	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03300000000000002	90	3	3	0.5391254662181382	61	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.03300000000000002	0	4	4	0.5514209935568033	62	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.523449244853964	63	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.5010492669721316	64	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.028500000000000022	90	3	3	0.5129323834312345	65	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.0185	0	3	4	0.7025772608008083	66	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.028500000000000022	90	3	3	0.6518649304448445	67	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	90	3	3	0.6454952175313338	68	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.028500000000000022	90	3	3	0.581325390263828	69	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.023	0	3	4	0.6411633673155848	70	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	0	4	4	0.5809609787884256	71	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.6618038790429637	72	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	90	3	3	0.4804671225201673	73	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	90	3	3	0.5363004132941569	74	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	0	4	4	0.4709574805920056	75	1	1	2021_Mar_25_1022	Motor	
0.06	0	0.01950000000000002	90	4	3	0.5837522401320712	76	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.6245359897611706	77	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	90	3	3	0.5704061018377615	78	1	1	2021_Mar_25_1022	Motor	
0.0005	0	0.023	0	3	4	0.5611114972398354	79	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	0	4	4	0.45593481911328126	80	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	0	4	4	0.5386228164593376	81	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.5752052742514024	82	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.02400000000000002	0	4	4	0.4939430512031322	83	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0275	90	3	3	0.6216990329849068	84	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	0	4	4	0.6054729304478315	85	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	90	3	3	0.43088258616171515	86	1	1	2021_Mar_25_1022	Motor	
0.06	1	0.01950000000000002	0	4	4	0.5027104303471788	87	1	1	2021_Mar_25_1022	Motor	
0.06	0	0.01950000000000002	90	4	3	0.47749499942210605	88	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.023	90	3	3	0.4881854266900518	89	1	1	2021_Mar_25_1022	Motor	
0.0005	1	0.0185	0	4	4	0.4872331185138137	90	1	1	2021_Mar_25_1022	Motor	
