start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	0	0.0005	90	4	3	2.725287304239828	0	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.0425	90	3	3	0.6928152436366872	1	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.038000000000000006	0	4	4	0.3834801214034087	2	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.5145195775457978	3	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.3911834231366811	4	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.0005	0	3	4	0.7375144381712744	5	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.02900000000000001	0	4	4	0.3963039818627294	6	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.6591312982673116	7	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.5419056388736863	8	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6696519632841955	9	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.6774105601398333	10	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.9361706130994207	11	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6579182615205355	12	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.0005	90	4	3	0.7817954633428599	13	12	4	2021_Apr_20_1109	Motor	
0.0425	0	0.011000000000000006	90	4	3	0.997520551353773	14	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.8322530304803877	15	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.004999999999999999	90	4	3	0.4556506239132432	16	12	4	2021_Apr_20_1109	Motor	
0.0425	0	0.015500000000000007	90	4	3	0.8612726018809553	17	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.7132360395180513	18	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.8248265883521526	19	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.5996948016436363	20	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.6523545738282337	21	12	4	2021_Apr_20_1109	Motor	
0.0425	0	0.020000000000000007	90	4	3	1.1211109097275767	22	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.6779481516077794	23	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.013999999999999999	90	4	3	1.5836450083861564	24	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.5773206287667563	25	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.0185	0	4	4	0.47023740039185213	26	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.5500440057012383	27	12	4	2021_Apr_20_1109	Motor	
0.0005	0	0.0185	90	4	3	1.6657920565485256	28	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.48053189299753285	29	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.023	0	4	4	0.5033760744154279	30	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.637064320515492	31	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.023	0	4	4	0.5138161007107556	32	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.4585305782029536	33	12	4	2021_Apr_20_1109	Motor	
0.0425	0	0.020000000000000007	90	4	3	1.9153727352040733	34	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.023	0	4	4	0.8572571776148834	35	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.0185	0	4	4	0.6268704343128775	36	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.8985833696851842	37	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.42247892641444196	38	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.0185	0	4	4	0.4101892014768964	39	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.5380004208573155	40	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.0185	90	3	3	0.4798257282054692	41	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.9232519061461062	42	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.7382113871090041	43	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.614067693517427	44	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.49585939371991117	45	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.7615152092312201	46	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.5732322456578913	47	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.009499999999999998	90	3	3	1.7291940582317693	48	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.5227343591604949	49	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.015500000000000007	90	3	3	1.7175793945798432	50	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.5243210219769026	51	12	4	2021_Apr_20_1109	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.9881449561635236	52	12	4	2021_Apr_20_1109	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.63782270847787	53	12	4	2021_Apr_20_1109	Motor	
