start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0425,1,0.0425,0,4,4,0.5185298819328636,0,13,5,2021_Apr_21_1220,Motor,
0.0005,1,0.0005,0,4,4,0.7221905852816235,1,13,5,2021_Apr_21_1220,Motor,
0.0005,0,0.0005,90,4,3,1.7560370770436293,2,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.038000000000000006,90,3,3,0.5825518710360029,3,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.4085217757938153,4,13,5,2021_Apr_21_1220,Motor,
0.0005,1,0.004999999999999999,0,4,4,0.5212988715531992,5,13,5,2021_Apr_21_1220,Motor,
0.0005,1,0.004999999999999999,0,4,4,0.6458492611357087,6,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.02900000000000001,0,4,4,2.9400422164358133,7,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.7055651277032666,8,13,5,2021_Apr_21_1220,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.7793513475735381,9,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.5641266278037165,10,13,5,2021_Apr_21_1220,Motor,
0.0005,0,0.0005,90,4,3,1.0109238963689222,11,13,5,2021_Apr_21_1220,Motor,
0.0005,0,0.004999999999999999,90,4,3,0.9127274835755088,12,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.9044009309579906,13,13,5,2021_Apr_21_1220,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.5822032033649975,14,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.8799511865261138,15,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.006500000000000007,90,3,3,0.6307163930252955,16,13,5,2021_Apr_21_1220,Motor,
0.0005,1,0.013999999999999999,0,4,4,0.9724521820335212,17,13,5,2021_Apr_21_1220,Motor,
0.0425,1,0.002000000000000007,0,4,4,0.7542388273707274,18,13,5,2021_Apr_21_1220,Motor,
0.0005,0,0.013999999999999999,0,3,4,1.0529740622741883,19,13,5,2021_Apr_21_1220,Motor,
