subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
14,1,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.2742466260506262,-1,1,none,none,-1,-1,-1,0,19589,12:15:30.583463,hand
14,2,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.20598390764462238,-1,1,none,none,-1,-1,-1,2749,19589,12:15:30.583463,hand
14,3,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.7649044742029218,-1,1,none,none,-1,-1,-1,5399,19589,12:15:30.583463,hand
14,4,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.2726860808124911,-1,1,none,none,-1,-1,-1,8699,19589,12:15:30.583463,hand
14,5,hand2,1,gabor,0,0.01743189821864678,3,3,-1,4,0.2765494286568355,-1,1,-1,incongruent,hit,c,2,0.946420000168473,11315,19589,12:15:30.583463,hand
14,6,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.28710192464677675,-1,1,none,none,-1,-1,-1,15881,19589,12:15:30.583463,hand
14,7,hand2,1,gabor,0,0.01743189821864678,3,3,-1,4,0.2832347368766932,-1,1,-1,incongruent,hit,4,2,0.7571044359574444,18598,19589,12:15:30.583463,hand
14,8,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.35880521523176867,-1,1,none,none,-1,-1,-1,25714,19589,12:15:30.583463,hand
14,9,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.2325611757541992,-1,1,none,none,-1,-1,-1,28514,19589,12:15:30.583463,hand
14,10,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.5744407726233476,-1,1,none,none,-1,-1,-1,31180,19589,12:15:30.583463,hand
14,11,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.21513751920883806,-1,1,none,none,-1,-1,-1,34198,19589,12:15:30.583463,hand
14,12,hand2,1,gabor,0,0.01743189821864678,4,3,-1,3,0.44516626488257316,-1,0,-1,incongruent,miss,3,1,2.5059730022603617,36848,19589,12:15:30.583463,hand
14,13,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.2397452901404904,-1,1,none,none,-1,-1,-1,43047,19589,12:15:30.583463,hand
14,14,hand2,1,gabor,90,0.01743189821864678,4,4,-1,4,0.3986002707915759,-1,1,-1,congruent,CR,3,2,1.1355109288087988,45731,19589,12:15:30.583463,hand
14,15,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.34930869842719403,-1,1,none,none,-1,-1,-1,50496,19589,12:15:30.583463,hand
14,16,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.4402465538596516,-1,1,none,none,-1,-1,-1,53180,19589,12:15:30.583463,hand
14,17,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.3340503751996948,-1,1,none,none,-1,-1,-1,56064,19589,12:15:30.583463,hand
14,18,hand2,1,gabor,90,0.01743189821864678,4,4,-1,3,0.39778275090611714,-1,1,-1,incongruent,CR,c,3,1.9067835334835763,58830,19589,12:15:30.583463,hand
14,19,hand2,1,gabor,90,0.01743189821864678,4,4,-1,3,0.6334711610161321,-1,1,-1,incongruent,CR,q,3,2.035299272180964,64580,19589,12:15:30.583463,hand
14,20,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.35220054542241996,-1,1,none,none,-1,-1,-1,70480,19589,12:15:30.583463,hand
14,21,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.27509985723190766,-1,1,none,none,-1,-1,-1,73163,19589,12:15:30.583463,hand
14,22,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.25891764821517427,-1,1,none,none,-1,-1,-1,75981,19589,12:15:30.583463,hand
14,23,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.24173475492443686,-1,1,none,none,-1,-1,-1,78680,19589,12:15:30.583463,hand
14,24,hand2,1,gabor,90,0.01743189821864678,4,4,-1,3,0.3166128949260383,-1,1,-1,incongruent,CR,q,4,0.9575473328268345,81263,19589,12:15:30.583463,hand
14,25,hand2,1,gabor,90,0.01743189821864678,4,4,-1,4,0.3712146986163134,-1,1,-1,congruent,CR,4,3,0.9051995647059812,85879,19589,12:15:30.583463,hand
14,26,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.23296743974515266,-1,1,none,none,-1,-1,-1,94262,19589,12:15:30.583463,hand
14,27,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.33444435143246665,-1,1,none,none,-1,-1,-1,100595,19589,12:15:30.583463,hand
14,28,hand2,1,gabor,0,0.01743189821864678,4,3,-1,4,0.36026822639269085,-1,0,-1,congruent,miss,c,2,0.861284270365104,103463,19589,12:15:30.583463,hand
14,29,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.20907082279609313,-1,1,none,none,-1,-1,-1,108113,19589,12:15:30.583463,hand
14,30,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.2656428916470759,-1,1,none,none,-1,-1,-1,110863,19589,12:15:30.583463,hand
14,31,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.27858535652558203,-1,1,none,none,-1,-1,-1,113561,19589,12:15:30.583463,hand
14,32,hand2,1,cue,white,-1,-1,-1,3,3,-1,0.1934934018581771,-1,1,none,none,-1,-1,-1,116379,19589,12:15:30.583463,hand
14,33,hand2,1,gabor,0,0.01743189821864678,3,3,-1,3,0.44040245478663564,-1,1,-1,congruent,hit,3,1,1.4272683776862323,119112,19589,12:15:30.583463,hand
14,34,hand2,1,cue,black,-1,-1,-1,4,4,-1,0.2773665645499932,-1,1,none,none,-1,-1,-1,124211,19589,12:15:30.583463,hand
14,35,hand2,1,gabor,90,0.01743189821864678,4,4,-1,4,0.35883900656517653,-1,1,-1,congruent,CR,4,2,0.6868695324274086,126828,19589,12:15:30.583463,hand
14,36,hand2,1,gabor,0,0.01743189821864678,4,3,-1,3,0.3937120471473463,-1,0,-1,incongruent,miss,4,2,0.7166696490075992,131211,19589,12:15:30.583463,hand
14,37,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.4313475292774456,-1,1,none,none,-1,-1,-1,140194,19589,12:15:30.583463,hand
14,38,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.36382591626352223,-1,1,none,none,-1,-1,-1,146844,19589,12:15:30.583463,hand
14,39,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.37963104471236875,-1,1,none,none,-1,-1,-1,149744,19589,12:15:30.583463,hand
14,40,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.2655553413733287,-1,1,none,none,-1,-1,-1,152560,19589,12:15:30.583463,hand
14,41,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.22844823282866855,-1,1,none,none,-1,-1,-1,155260,19589,12:15:30.583463,hand
14,42,hand2,2,gabor,0,0.01743189821864678,4,3,-1,4,0.335193136673297,-1,0,-1,congruent,miss,q,2,1.5601942694502213,157827,19589,12:15:30.583463,hand
14,43,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.2039337720580079,-1,1,none,none,-1,-1,-1,163060,19589,12:15:30.583463,hand
14,44,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.1627467439357133,-1,1,none,none,-1,-1,-1,165794,19589,12:15:30.583463,hand
14,45,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.2045416320752338,-1,1,none,none,-1,-1,-1,168293,19589,12:15:30.583463,hand
14,46,hand2,2,gabor,0,0.01743189821864678,4,3,-1,3,0.2503212096680727,-1,0,-1,incongruent,miss,c,2,0.9004157870040217,171027,19589,12:15:30.583463,hand
14,47,hand2,2,gabor,90,0.01743189821864678,4,4,-1,4,0.36428017930848,-1,1,-1,congruent,CR,4,2,0.8431847871415812,175427,19589,12:15:30.583463,hand
14,48,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.21672225597103534,-1,1,none,none,-1,-1,-1,182892,19589,12:15:30.583463,hand
14,49,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.29564652421595383,-1,1,none,none,-1,-1,-1,185442,19589,12:15:30.583463,hand
14,50,hand2,2,gabor,90,0.01743189821864678,4,4,-1,3,0.46737523509909806,-1,1,-1,incongruent,CR,4,3,1.0323793937368464,188076,19589,12:15:30.583463,hand
14,51,hand2,2,gabor,90,0.01743189821864678,4,4,-1,3,0.4409404281823299,-1,1,-1,incongruent,CR,3,3,2.486132113363965,193010,19589,12:15:30.583463,hand
14,52,hand2,2,gabor,90,0.01743189821864678,4,4,-1,4,0.3247765740043178,-1,1,-1,congruent,CR,3,3,1.1316471969703343,199377,19589,12:15:30.583463,hand
14,53,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.33252630924198456,-1,1,none,none,-1,-1,-1,204075,19589,12:15:30.583463,hand
14,54,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.20925245121543412,-1,1,none,none,-1,-1,-1,206741,19589,12:15:30.583463,hand
14,55,hand2,2,gabor,0,0.01743189821864678,4,3,-1,3,0.33325051896554214,-1,0,-1,incongruent,miss,3,3,1.2252253843571452,209376,19589,12:15:30.583463,hand
14,56,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.4230440769551933,-1,1,none,none,-1,-1,-1,214175,19589,12:15:30.583463,hand
14,57,hand2,2,gabor,0,0.01743189821864678,4,3,-1,4,0.7727267840100467,-1,0,-1,congruent,miss,4,1,0.7866361418282395,217025,19589,12:15:30.583463,hand
14,58,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.20453395222648396,-1,1,none,none,-1,-1,-1,222026,19589,12:15:30.583463,hand
14,59,hand2,2,gabor,0,0.01743189821864678,4,3,-1,3,0.43544319254397124,-1,0,-1,incongruent,miss,q,1,0.8412414014492242,224557,19589,12:15:30.583463,hand
14,60,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.2152116297484099,-1,1,none,none,-1,-1,-1,229175,19589,12:15:30.583463,hand
14,61,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.350046731879047,-1,1,none,none,-1,-1,-1,231825,19589,12:15:30.583463,hand
14,62,hand2,2,gabor,0,0.01743189821864678,4,3,-1,4,0.3027331045250321,-1,0,-1,congruent,miss,q,1,0.9087169353715581,234607,19589,12:15:30.583463,hand
14,63,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.1625217243717998,-1,1,none,none,-1,-1,-1,239057,19589,12:15:30.583463,hand
14,64,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.19139027531491593,-1,1,none,none,-1,-1,-1,241557,19589,12:15:30.583463,hand
14,65,hand2,2,gabor,90,0.01743189821864678,4,4,-1,3,0.41806254315088154,-1,1,-1,incongruent,CR,3,2,2.249177296216658,244175,19589,12:15:30.583463,hand
14,66,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.18899915444853832,-1,1,none,none,-1,-1,-1,250275,19589,12:15:30.583463,hand
14,67,hand2,2,cue,black,-1,-1,-1,4,4,-1,0.2557504786464051,-1,1,none,none,-1,-1,-1,252890,19589,12:15:30.583463,hand
14,68,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.339622489361318,-1,1,none,none,-1,-1,-1,255474,19589,12:15:30.583463,hand
14,69,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.2124710757698267,-1,1,none,none,-1,-1,-1,258341,19589,12:15:30.583463,hand
14,70,hand2,2,cue,white,-1,-1,-1,3,3,-1,0.23926913952709583,-1,1,none,none,-1,-1,-1,260991,19589,12:15:30.583463,hand
14,71,hand2,2,gabor,90,0.01743189821864678,4,4,-1,4,0.32596080666098715,-1,1,-1,congruent,CR,3,3,1.4729895884293,263758,19589,12:15:30.583463,hand
