subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
16,1,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.33812491888147633,-1,1,none,none,-1,-1,-1,0,25532,09:44:11.091455,feet
16,2,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2770970018641492,-1,1,none,none,-1,-1,-1,2732,25532,09:44:11.091455,feet
16,3,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.3169876715387545,-1,1,none,none,-1,-1,-1,5349,25532,09:44:11.091455,feet
16,4,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.298813693784723,-1,1,none,none,-1,-1,-1,8200,25532,09:44:11.091455,feet
16,5,feet1,1,gabor,90,0.022303663831150216,3,3,-1,c,0.681525893761318,-1,1,-1,incongruent,CR,q,3,4.27447932546329,10833,25532,09:44:11.091455,feet
16,6,feet1,1,gabor,0,0.022303663831150216,4,4,-1,c,0.6492229145183046,-1,1,-1,congruent,hit,c,3,5.787954387843001,19233,25532,09:44:11.091455,feet
16,7,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.7734771052191718,-1,1,none,none,-1,-1,-1,31932,25532,09:44:11.091455,feet
16,8,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.05730011849982475,-1,1,none,none,-1,-1,-1,35250,25532,09:44:11.091455,feet
16,9,feet1,1,gabor,0,0.022303663831150216,4,4,-1,q,0.6781486803333792,-1,1,-1,incongruent,hit,c,3,3.513967340675663,37849,25532,09:44:11.091455,feet
16,10,feet1,1,gabor,90,0.022303663831150216,3,3,-1,q,0.6556256043081703,-1,1,-1,congruent,CR,c,4,2.398617550450581,45399,25532,09:44:11.091455,feet
16,11,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.3432684974914082,-1,1,none,none,-1,-1,-1,51899,25532,09:44:11.091455,feet
16,12,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.532133638581854,-1,1,none,none,-1,-1,-1,54581,25532,09:44:11.091455,feet
16,13,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.39172642228868426,-1,1,none,none,-1,-1,-1,61314,25532,09:44:11.091455,feet
16,14,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.3294889291146319,-1,1,none,none,-1,-1,-1,64048,25532,09:44:11.091455,feet
16,15,feet1,1,gabor,0,0.022303663831150216,4,4,-1,c,0.5293915486336118,-1,1,-1,congruent,hit,3,3,2.5853526855280506,66715,25532,09:44:11.091455,feet
16,16,feet1,1,gabor,90,0.022303663831150216,4,3,-1,c,0.7290914201498708,-1,0,-1,congruent,FA,3,1,2.3799662701048874,73164,25532,09:44:11.091455,feet
