start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	1	0.0005	90	4	4	1.1355399491360458	0	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.0425	0	3	3	0.5909118312387136	1	3	3	2021_Apr_12_0913	Motor	
0.0005	0	0.0005	0	4	3	0.9011465713641655	2	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.038000000000000006	0	3	3	0.547738095283762	3	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.03350000000000001	90	4	4	0.644554045216978	4	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999999	90	4	4	0.6502433185789869	5	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.5809605947932823	6	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.024500000000000008	0	3	3	0.47542564911509544	7	3	3	2021_Apr_12_0913	Motor	
0.0005	0	0.004999999999999999	0	4	3	0.6432311816416814	8	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.550983238992103	9	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	0	3	3	1.1996533291043079	10	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	0	3	3	0.8904764958438136	11	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.015500000000000007	90	4	4	0.546060036118547	12	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.8509679943813353	13	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.011000000000000006	0	3	3	0.6589273707577377	14	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.006500000000000007	90	4	4	0.6085913557296863	15	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	0	3	3	1.0154404482914288	16	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.002000000000000007	90	4	4	0.8081529099735008	17	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	90	4	4	1.052857327723359	18	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	90	4	4	0.7726421828746197	19	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.0005	0	3	3	1.3093765107812487	20	3	3	2021_Apr_12_0913	Motor	
0.0425	0	0.0005	0	4	3	0.7901300937447786	21	3	3	2021_Apr_12_0913	Motor	
0.0425	0	0.004999999999999999	0	4	3	1.4424427626306624	22	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.0005	90	4	4	0.9012375782342588	23	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.0005	90	4	4	0.8840384317787766	24	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.009499999999999998	90	4	4	0.9586003220184693	25	3	3	2021_Apr_12_0913	Motor	
0.0425	0	0.009499999999999998	0	4	3	1.3133827330400436	26	3	3	2021_Apr_12_0913	Motor	
0.0005	0	0.0005	0	4	3	1.52828681679091	27	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999999	90	4	4	1.162668444308565	28	3	3	2021_Apr_12_0913	Motor	
0.0425	0	0.013999999999999999	0	4	3	1.5592468163915782	29	3	3	2021_Apr_12_0913	Motor	
0.0005	0	0.004999999999999999	90	3	4	3.8548033387617124	30	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.9244370341896229	31	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.0185	90	4	4	0.6201649720317164	32	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.7181221557952995	33	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.0185	90	4	4	0.6297391251591762	34	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.009499999999999998	0	3	3	1.073647981586646	35	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.0185	90	4	4	0.8693506141428315	36	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.013999999999999999	90	4	4	0.6135429742505494	37	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	0	3	3	1.7573776043996077	38	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.013999999999999999	90	4	4	0.7651450599587406	39	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	0	3	3	1.1857415658328136	40	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.004999999999999998	90	4	4	0.9224840344381846	41	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.013999999999999999	90	4	4	0.6201899317218249	42	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.009499999999999998	90	4	4	1.1320068090033146	43	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.0005	0	3	3	1.8448117828170325	44	3	3	2021_Apr_12_0913	Motor	
0.0005	1	0.0005	90	4	4	0.6696343098205944	45	3	3	2021_Apr_12_0913	Motor	
0.0425	1	0.009499999999999998	90	4	4	0.5570081241871776	46	3	3	2021_Apr_12_0913	Motor	
