start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0425	1	0.0425	0	4	4	0.37720274065031845	0	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0005	0	4	4	0.4149110724647471	1	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0005	90	3	3	0.38160102204165014	2	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.038000000000000006	90	3	3	0.33934465069614816	3	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.03350000000000001	0	4	4	0.33824604033725336	4	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.0005	0	3	4	0.291922391492335	5	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.43373067880020244	6	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.02900000000000001	90	3	3	0.45941995984139794	7	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.5184976263335557	8	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.4151422375944094	9	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.4099271983450308	10	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.004999999999999999	90	4	3	0.4906787077343324	11	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.3963495109255746	12	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.43311052650096826	13	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.44966072101124155	14	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.3201894325266039	15	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.5239104231277452	16	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.40767161035000754	17	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.002000000000000007	90	4	3	0.4115576421008882	18	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.004999999999999998	0	3	4	0.5392940401252417	19	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.006500000000000007	90	4	3	0.39528046819759766	20	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.35600812380289426	21	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.34759939620562363	22	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.3693941976016504	23	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.2801901851580624	24	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.38499169994247495	25	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.004999999999999998	90	4	3	0.29889420893050556	26	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.33952090450839023	27	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.30333511379103584	28	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.006500000000000007	90	4	3	0.5161406635979802	29	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.2748599473379727	30	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.274763180541413	31	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.4634046783685335	32	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.6142107419600507	33	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.33706871095455426	34	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.38670163071219577	35	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.013999999999999999	90	4	3	0.34655761714202526	36	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.44831904167040193	37	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.371438972213582	38	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.41216243459166435	39	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.32067710647424974	40	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.3453653119431692	41	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.3720691083890415	42	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.002000000000000007	0	4	4	0.4900961869661842	43	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.46575511318405916	44	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.002000000000000007	90	4	3	0.39550280143703276	45	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.4652939349089138	46	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.4461675163856853	47	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.36298723715117376	48	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.36959656308863487	49	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.006500000000000007	0	4	4	0.40948137987834343	50	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.006500000000000007	0	3	4	0.32208752096084936	51	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.39312433496888843	52	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.36976552099258697	53	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.013999999999999999	90	4	3	0.45260442846301885	54	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.3932875329428498	55	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	0	4	4	0.45517604453380045	56	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.2838934351784701	57	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.011000000000000006	90	4	3	0.4006410416404833	58	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.3665050174749922	59	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	0	4	4	0.5243028662571305	60	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.3699978381064284	61	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.42980087159230607	62	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.4686473652745917	63	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.4233743273834989	64	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.3691718643622153	65	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.3888984674358653	66	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.4576923652912228	67	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.4513902355392929	68	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.011000000000000006	0	3	4	0.40218086252207286	69	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.4710872709802061	70	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.4378183080480085	71	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.40158336593958666	72	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.004999999999999998	0	3	4	0.5644526397554728	73	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6831206063743593	74	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.009499999999999998	0	3	4	0.49702077298934455	75	5	5	2021_Mar_30_1211	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.5152236829835601	76	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.41576546185569896	77	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.3695554755977355	78	5	5	2021_Mar_30_1211	Motor	
0.0425	0	0.011000000000000006	90	4	3	0.48037649964498996	79	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	0	4	4	0.4541311935063277	80	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.5139031233793503	81	5	5	2021_Mar_30_1211	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6636597280012211	82	5	5	2021_Mar_30_1211	Motor	
0.0005	1	0.0185	90	3	3	0.43847685987202567	83	5	5	2021_Mar_30_1211	Motor	
