start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,0,3,4,0.5057355447861482,0,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.0425,90,3,3,0.38841348145797383,1,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.4532610603091598,2,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.038000000000000006,0,4,4,0.4972070106778119,3,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.5047728687386552,4,5,5,2021_Mar_30_1224,Motor,
0.0005,0,0.0005,0,3,4,0.5196188924128364,5,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.4423659635849617,6,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.46829447365598753,7,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.7178852307370107,8,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.5046223426088545,9,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.7574106279880652,10,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.6351177463784552,11,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.0005,0,4,4,0.4880256846718112,12,5,5,2021_Mar_30_1224,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.6008657556503749,13,5,5,2021_Mar_30_1224,Motor,
0.0005,1,0.0005,90,3,3,0.514573195059711,14,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.541351486579515,15,5,5,2021_Mar_30_1224,Motor,
0.0005,0,0.0005,0,3,4,0.4920987221030373,16,5,5,2021_Mar_30_1224,Motor,
0.0425,0,0.020000000000000007,0,3,4,0.48074475107387116,17,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.44856211065234675,18,5,5,2021_Mar_30_1224,Motor,
0.0005,0,0.004999999999999999,0,3,4,0.4863871770157857,19,5,5,2021_Mar_30_1224,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.39327178913845273,20,5,5,2021_Mar_30_1224,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.48302222679740225,21,5,5,2021_Mar_30_1224,Motor,
