start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,90,3,3,0.3735067865400197,0,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.060500000000000005,90,3,3,0.4220856393849317,1,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.05,0,4,4,0.32261935435872147,2,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05600000000000001,90,3,3,0.3122971785178379,3,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,90,3,3,0.29119702449770557,4,4,4,2021_Mar_30_1205,Motor,
0.065,0,0.047000000000000014,0,3,4,0.24741235212877655,5,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.045500000000000006,90,3,3,0.26814809467396117,6,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,0,4,4,0.19876246016519872,7,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,90,3,3,0.3013990098297654,8,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.04100000000000001,90,3,3,0.24321182828134624,9,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,0,4,4,0.2600415713241091,10,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.03650000000000001,0,4,4,0.30181564465692645,11,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.032000000000000015,90,3,3,0.30752795773241814,12,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,90,3,3,0.2492409374244744,13,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,0,4,4,0.18896213384687144,14,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.027500000000000014,90,3,3,0.19071238411561353,15,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,90,3,3,0.2654605120424094,16,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.023000000000000013,0,4,4,0.3302954190521632,17,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.018500000000000013,90,3,3,0.23507612129560584,18,4,4,2021_Mar_30_1205,Motor,
0.065,0,0.04250000000000002,90,4,3,0.12372095988030196,19,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,0,4,4,0.2714112861576723,20,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.014000000000000012,90,3,3,0.39024321873876033,21,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.009500000000000012,90,3,3,0.4499398855459731,22,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,0,4,4,0.3007012904927251,23,4,4,2021_Mar_30_1205,Motor,
0.065,0,0.047000000000000014,0,3,4,0.2974619067135791,24,4,4,2021_Mar_30_1205,Motor,
0.05,0,0.005000000000000012,90,4,3,0.6620661477863905,25,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,90,3,3,0.3329952895310271,26,4,4,2021_Mar_30_1205,Motor,
0.05,0,0.009500000000000012,0,3,4,0.48262095177778974,27,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.014000000000000012,0,4,4,0.3932652612184029,28,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,0,4,4,0.32019980040058726,29,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.05150000000000001,90,3,3,0.22658329874138872,30,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,90,3,3,0.3203100070313667,31,4,4,2021_Mar_30_1205,Motor,
0.05,0,0.014000000000000012,90,4,3,0.43012457957229344,32,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.018500000000000013,0,4,4,0.2614573617465794,33,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,90,3,3,0.38529659215600986,34,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.018500000000000013,90,3,3,0.46606538133164577,35,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.047000000000000014,0,4,4,0.35674769862089306,36,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.018500000000000013,0,4,4,0.27653109458879044,37,4,4,2021_Mar_30_1205,Motor,
0.065,1,0.04250000000000002,0,4,4,0.2581515467900317,38,4,4,2021_Mar_30_1205,Motor,
0.05,1,0.014000000000000012,90,3,3,0.35190628673080937,39,4,4,2021_Mar_30_1205,Motor,
0.05,0,0.014000000000000012,0,3,4,0.2527118703292217,40,4,4,2021_Mar_30_1205,Motor,
