start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	1	0.0005	0	3	3	0.9091957386219747	0	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.0425	0	3	3	0.6256986715447965	1	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.038000000000000006	90	4	4	0.5595650611237488	2	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.0005	0	3	3	0.9593679969649429	3	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.0005	0	3	3	0.8461521034256521	4	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.03350000000000001	0	3	3	0.5669399914293081	5	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.0005	90	4	4	0.5476509737242168	6	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.02900000000000001	90	4	4	0.6764319406750019	7	6	6	2021_Apr_06_0913	Motor	
0.0425	0	0.024500000000000008	90	3	4	0.5192129874957345	8	6	6	2021_Apr_06_0913	Motor	
0.0005	0	0.0005	90	3	4	1.5088383198399242	9	6	6	2021_Apr_06_0913	Motor	
0.0005	0	0.004999999999999999	0	4	3	0.8176526786440945	10	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.683420192087624	11	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.8773586644487068	12	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.5795648460887151	13	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.5462409589329127	14	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.5180997977134894	15	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.4707909599312643	16	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.024500000000000008	90	4	4	0.4176439236503029	17	6	6	2021_Apr_06_0913	Motor	
0.0005	0	0.004999999999999998	90	3	4	0.5832976221744275	18	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.48407167114396543	19	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.024500000000000008	0	3	3	0.43696404462286864	20	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.024500000000000008	90	4	4	0.4456741114832994	21	6	6	2021_Apr_06_0913	Motor	
0.0005	0	0.009499999999999998	90	3	4	1.2774108104206334	22	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.6322077022442727	23	6	6	2021_Apr_06_0913	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.5775208622286527	24	6	6	2021_Apr_06_0913	Motor	
0.0005	1	0.013999999999999999	90	4	4	0.5432346937363945	25	6	6	2021_Apr_06_0913	Motor	
