start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.05,1,0.05,90,4,4,1.314892551650587,0,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.065,90,4,4,0.7234957922270269,1,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.060500000000000005,0,3,3,0.44427984032120094,2,6,6,2021_Apr_06_0910,Motor,
0.05,0,0.045500000000000006,90,3,4,0.46311114080640436,3,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.05600000000000001,0,3,3,1.0297566111722745,4,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.05,90,4,4,0.764527529847669,5,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.05,90,4,4,0.8001787861892353,6,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.05150000000000001,90,4,4,0.5190390395924851,7,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.05,90,4,4,0.5564789258082783,8,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.047000000000000014,0,3,3,0.4953947964618237,9,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,90,4,4,0.7331504768400237,10,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.04250000000000002,90,4,4,0.6159414613466652,11,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.03800000000000002,90,4,4,0.47766094212943244,12,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,0,3,3,0.47641105156685626,13,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,90,4,4,0.6180253802662037,14,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.03350000000000002,0,3,3,0.5076821230705946,15,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.029000000000000022,0,3,3,0.558515229849263,16,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.04100000000000001,90,4,4,0.4981633712562825,17,6,6,2021_Apr_06_0910,Motor,
0.05,0,0.04100000000000001,90,3,4,0.516005127047265,18,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.024500000000000022,0,3,3,0.8427637672277797,19,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,0,3,3,0.7815402491639816,20,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.02000000000000002,0,3,3,0.65621904072907,21,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.01550000000000002,0,3,3,0.6509268773701251,22,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,0,3,3,0.5307588275680928,23,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.045500000000000006,90,4,4,0.5154913471477585,24,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.01100000000000002,0,3,3,0.6001164260579799,25,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.04100000000000001,0,3,3,0.5971785112517409,26,6,6,2021_Apr_06_0910,Motor,
0.065,0,0.0065000000000000205,0,4,3,0.6388772411631862,27,6,6,2021_Apr_06_0910,Motor,
0.065,0,0.01100000000000002,90,3,4,0.8204120376557285,28,6,6,2021_Apr_06_0910,Motor,
0.05,1,0.04100000000000001,0,3,3,0.6062307140542771,29,6,6,2021_Apr_06_0910,Motor,
0.065,1,0.01550000000000002,0,3,3,0.6062118984973495,30,6,6,2021_Apr_06_0910,Motor,
