start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,1,0.0005,0,4,4,0.9791720985992924,0,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.0425,90,3,3,0.61189870666567,1,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0005,0,4,4,0.8047115447014903,2,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.038000000000000006,90,3,3,0.5834039564564364,3,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0005,0,4,4,0.9302284502836073,4,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.9529479121987379,5,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.5597110666273011,6,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0005,0,4,4,0.9814564862363113,7,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0005,0,4,4,1.1342151655845782,8,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.5691285496999399,9,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.020000000000000007,90,3,3,1.0367629355513373,10,8,8,2021_Apr_15_0945,Motor,
0.0005,0,0.0005,90,4,3,0.7145598320250883,11,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.004999999999999999,90,3,3,2.4713894752283068,12,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.7851162679965,13,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.7098647223197077,14,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.004999999999999999,0,4,4,1.2654939196274881,15,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.006500000000000007,0,4,4,0.6921775179239376,16,8,8,2021_Apr_15_0945,Motor,
0.0005,0,0.004999999999999999,90,4,3,1.1281964243131597,17,8,8,2021_Apr_15_0945,Motor,
0.0425,0,0.002000000000000007,90,4,3,1.5426751181457803,18,8,8,2021_Apr_15_0945,Motor,
0.0005,0,0.009499999999999998,0,3,4,2.4064965849383952,19,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.8432147466456854,20,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.006500000000000007,90,3,3,1.7690449155381884,21,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.006500000000000007,0,4,4,1.2896145801453258,22,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.7923914416678599,23,8,8,2021_Apr_15_0945,Motor,
0.0425,0,0.006500000000000007,0,3,4,2.0832182947615365,24,8,8,2021_Apr_15_0945,Motor,
0.0005,0,0.013999999999999999,0,3,4,0.9369568147442351,25,8,8,2021_Apr_15_0945,Motor,
0.0425,0,0.011000000000000006,90,4,3,2.189605709855414,26,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,0,4,4,0.7793202439600009,27,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,0,4,4,0.9571219403740088,28,8,8,2021_Apr_15_0945,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.7898244335397067,29,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.020000000000000007,0,4,4,1.0495492087970888,30,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,90,3,3,1.0144881401151906,31,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.852154923644548,32,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.6820626995095154,33,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.8596128790463808,34,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.013999999999999999,0,4,4,1.103447931590381,35,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.786177630818429,36,8,8,2021_Apr_15_0945,Motor,
0.0005,0,0.013999999999999999,0,3,4,0.9499450694820553,37,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,0,4,4,0.5716786620375842,38,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.7724225376018694,39,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,0,4,4,0.8847887584627188,40,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.6625403818986797,41,8,8,2021_Apr_15_0945,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.8992926423825338,42,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.0185,0,4,4,0.8611054685145518,43,8,8,2021_Apr_15_0945,Motor,
0.0005,1,0.013999999999999999,0,4,4,1.460873765791348,44,8,8,2021_Apr_15_0945,Motor,
