subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
15,1,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.3169323766287562,-1,1,none,none,-1,-1,-1,2832,24897,16:49:55.690305,feet
15,2,feet2,1,cue,yellow,-1,-1,-1,q,q,-1,0.39297132574938587,-1,1,none,none,-1,-1,-1,5749,24897,16:49:55.690305,feet
15,3,feet2,1,cue,yellow,-1,-1,-1,q,q,-1,0.3356470157259537,-1,1,none,none,-1,-1,-1,8582,24897,16:49:55.690305,feet
15,4,feet2,1,gabor,90,0.01602694685737935,4,4,-1,c,0.37352018916953966,-1,1,-1,congruent,CR,q,2,1.6543910686432355,11348,24897,16:49:55.690305,feet
15,5,feet2,1,gabor,0,0.01602694685737935,4,3,-1,c,0.4362157853138342,-1,0,-1,congruent,miss,c,1,1.7972642843260473,16715,24897,16:49:55.690305,feet
15,6,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.437754442984442,-1,1,none,none,-1,-1,-1,25031,24897,16:49:55.690305,feet
15,7,feet2,1,gabor,90,0.01602694685737935,4,4,-1,q,0.50554792263938,-1,1,-1,incongruent,CR,c,2,1.619530699810639,27897,24897,16:49:55.690305,feet
15,8,feet2,1,cue,yellow,-1,-1,-1,q,q,-1,0.5162582395169011,-1,1,none,none,-1,-1,-1,33466,24897,16:49:55.690305,feet
15,9,feet2,1,gabor,90,0.01602694685737935,4,4,-1,q,0.442235634651297,-1,1,-1,incongruent,CR,c,2,3.102072867939569,36315,24897,16:49:55.690305,feet
15,10,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.3306551141258751,-1,1,none,none,-1,-1,-1,46130,24897,16:49:55.690305,feet
15,11,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.36835625896128477,-1,1,none,none,-1,-1,-1,48798,24897,16:49:55.690305,feet
15,12,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.5801104208630932,-1,1,none,none,-1,-1,-1,51698,24897,16:49:55.690305,feet
15,13,feet2,1,cue,yellow,-1,-1,-1,q,q,-1,0.3912176323174208,-1,1,none,none,-1,-1,-1,54614,24897,16:49:55.690305,feet
15,14,feet2,1,gabor,0,0.01602694685737935,4,3,-1,q,0.567935172862235,-1,0,-1,incongruent,miss,3,1,1.8677483989431494,57347,24897,16:49:55.690305,feet
15,15,feet2,1,gabor,0,0.01602694685737935,4,3,-1,q,0.5095483557824991,-1,0,-1,incongruent,miss,3,1,1.3005040284642746,63030,24897,16:49:55.690305,feet
15,16,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.39616038288568234,-1,1,none,none,-1,-1,-1,71113,24897,16:49:55.690305,feet
15,17,feet2,1,gabor,0,0.01602694685737935,4,3,-1,c,0.46688794870533457,-1,0,-1,congruent,miss,4,1,1.9098735205725461,74048,24897,16:49:55.690305,feet
15,18,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.534591958123201,-1,1,none,none,-1,-1,-1,79847,24897,16:49:55.690305,feet
15,19,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.3324283911715611,-1,1,none,none,-1,-1,-1,82712,24897,16:49:55.690305,feet
15,20,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.27722448735039507,-1,1,none,none,-1,-1,-1,85480,24897,16:49:55.690305,feet
15,21,feet2,1,gabor,90,0.01602694685737935,4,4,-1,q,0.5442462958171745,-1,1,-1,incongruent,CR,3,3,1.5240106627015848,88197,24897,16:49:55.690305,feet
15,22,feet2,1,gabor,0,0.01602694685737935,4,3,-1,q,0.531915530880724,-1,0,-1,incongruent,miss,4,2,1.721744108979692,93512,24897,16:49:55.690305,feet
15,23,feet2,1,gabor,0,0.01602694685737935,4,3,-1,c,0.5342947479821305,-1,0,-1,congruent,miss,q,1,1.8433260963565772,101929,24897,16:49:55.690305,feet
15,24,feet2,1,cue,yellow,-1,-1,-1,q,q,-1,0.364161909640643,-1,1,none,none,-1,-1,-1,107747,24897,16:49:55.690305,feet
15,25,feet2,1,cue,blue,-1,-1,-1,c,c,-1,0.5760593007189527,-1,1,none,none,-1,-1,-1,110646,24897,16:49:55.690305,feet
15,26,feet2,1,gabor,90,0.01602694685737935,4,4,-1,c,0.39965932191535103,-1,1,-1,congruent,CR,c,3,2.2916564588686015,113662,24897,16:49:55.690305,feet
