subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
15,1,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.4293891678807995,-1,1,none,none,-1,-1,-1,11331,57292,16:05:12.398239,hand
15,2,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.41939768483280204,-1,1,none,none,-1,-1,-1,14947,57292,16:05:12.398239,hand
15,3,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.56330537612439,-1,1,none,none,-1,-1,-1,18415,57292,16:05:12.398239,hand
15,4,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.6379842240548896,-1,1,none,none,-1,-1,-1,21931,57292,16:05:12.398239,hand
15,5,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.6196243939639317,-1,1,none,none,-1,-1,-1,25715,57292,16:05:12.398239,hand
15,6,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.2284712723744633,-1,1,none,none,-1,-1,-1,29380,57292,16:05:12.398239,hand
15,7,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.6513686642210814,-1,1,none,none,-1,-1,-1,32748,57292,16:05:12.398239,hand
15,8,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.30925406398409905,-1,1,none,none,-1,-1,-1,36548,57292,16:05:12.398239,hand
15,9,hand1,1,gabor,0,0.01923233622885522,4,3,-1,4,0.7019842424865601,-1,0,-1,congruent,miss,4,2,2.5578077564932755,39897,57292,16:05:12.398239,hand
15,10,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.47339047652712907,-1,1,none,none,-1,-1,-1,49430,57292,16:05:12.398239,hand
15,11,hand1,1,gabor,90,0.01923233622885522,4,4,-1,4,0.6521850321282727,-1,1,-1,congruent,CR,3,4,2.370145663688618,52947,57292,16:05:12.398239,hand
15,12,hand1,1,gabor,90,0.01923233622885522,4,4,-1,4,0.7217667645336405,-1,1,-1,congruent,CR,c,2,2.112738257703768,59414,57292,16:05:12.398239,hand
15,13,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.5354943403358448,-1,1,none,none,-1,-1,-1,65579,57292,16:05:12.398239,hand
15,14,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.591277688734408,-1,1,none,none,-1,-1,-1,69162,57292,16:05:12.398239,hand
15,15,hand1,1,gabor,90,0.01923233622885522,4,4,-1,4,0.5950638541012268,-1,1,-1,congruent,CR,q,2,2.050922388217714,72696,57292,16:05:12.398239,hand
15,16,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.544692879014292,-1,1,none,none,-1,-1,-1,78679,57292,16:05:12.398239,hand
15,17,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.46352263904191204,-1,1,none,none,-1,-1,-1,82162,57292,16:05:12.398239,hand
15,18,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.298180874258378,-1,1,none,none,-1,-1,-1,85779,57292,16:05:12.398239,hand
15,19,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.493222149605117,-1,1,none,none,-1,-1,-1,89129,57292,16:05:12.398239,hand
15,20,hand1,1,gabor,0,0.01923233622885522,3,3,-1,3,0.6009193546778988,-1,1,-1,congruent,hit,4,3,1.6207629315213126,92562,57292,16:05:12.398239,hand
15,21,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.4596404755666299,-1,1,none,none,-1,-1,-1,98229,57292,16:05:12.398239,hand
15,22,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.6143974889964738,-1,1,none,none,-1,-1,-1,101829,57292,16:05:12.398239,hand
15,23,hand1,1,gabor,0,0.01923233622885522,3,3,-1,4,0.6363119370193999,-1,1,-1,incongruent,hit,c,4,1.3822817444620341,105596,57292,16:05:12.398239,hand
15,24,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.45196638683864876,-1,1,none,none,-1,-1,-1,111063,57292,16:05:12.398239,hand
15,25,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.3976821448895862,-1,1,none,none,-1,-1,-1,114662,57292,16:05:12.398239,hand
15,26,hand1,1,cue,white,-1,-1,-1,4,4,-1,0.4934913282991147,-1,1,none,none,-1,-1,-1,118212,57292,16:05:12.398239,hand
15,27,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.48721881194296657,-1,1,none,none,-1,-1,-1,121845,57292,16:05:12.398239,hand
15,28,hand1,1,gabor,0,0.01923233622885522,3,3,-1,3,0.5941365123808282,-1,1,-1,congruent,hit,q,3,0.937034841168952,125378,57292,16:05:12.398239,hand
15,29,hand1,1,cue,black,-1,-1,-1,3,3,-1,0.3858002671054237,-1,1,none,none,-1,-1,-1,130261,57292,16:05:12.398239,hand
15,30,hand1,1,gabor,90,0.01923233622885522,4,4,-1,3,0.7716608210221239,-1,1,-1,incongruent,CR,3,3,0.9605305700215467,133594,57292,16:05:12.398239,hand
15,31,hand1,1,gabor,0,0.01923233622885522,3,3,-1,3,0.5782937526737442,-1,1,-1,congruent,hit,3,4,1.166271026465438,138761,57292,16:05:12.398239,hand
