start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,1,0.0005,0,3,3,1.8267487591283498,0,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.0425,90,4,4,0.9205715496932498,1,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.038000000000000006,90,4,4,0.558244355887382,2,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0005,90,4,4,1.1231540523872354,3,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.0005,0,4,3,0.9518035740479718,4,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.03350000000000001,90,4,4,0.768560466136023,5,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.004999999999999999,90,3,4,0.8952449449316191,6,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.02900000000000001,0,3,3,0.8430814931775785,7,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.7589664152542355,8,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.009499999999999998,90,4,4,0.7385664333783097,9,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.009499999999999998,0,4,3,0.7903174772618513,10,15,7,2021_Apr_23_1541,Motor,
0.0425,0,0.020000000000000007,0,4,3,0.8002283218993398,11,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.013999999999999999,90,4,4,1.1279105666267242,12,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.6586929358445559,13,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.013999999999999999,0,4,3,1.90136040838388,14,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.6162683001193727,15,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,0,3,3,1.321993396866219,16,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0185,0,3,3,1.376654719382259,17,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.0185,0,4,3,1.215370218622411,18,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.020000000000000007,90,4,4,0.8513557620754,19,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.023,0,4,3,1.1295667259805668,20,15,7,2021_Apr_23_1541,Motor,
0.0425,0,0.020000000000000007,0,4,3,0.8320021595732214,21,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,90,4,4,0.5280130158071188,22,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,0,3,3,0.9348595240494433,23,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,1.0454931192398362,24,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,1.6161139351620477,25,15,7,2021_Apr_23_1541,Motor,
0.0425,0,0.024500000000000008,90,3,4,0.9946678811065794,26,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.023,0,3,3,1.016159553462785,27,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.02900000000000001,90,4,4,0.6211346361938013,28,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.023,0,4,3,1.0457553860696862,29,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.02900000000000001,90,4,4,0.507595370279887,30,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,0.7903320689742941,31,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.02900000000000001,0,3,3,1.2870477817141364,32,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,1.8126712126249913,33,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,90,4,4,1.4634258729493013,34,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,0,3,3,0.9982125152350818,35,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.023,0,3,3,1.1120570551311175,36,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.6326544091166397,37,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.7419712942619299,38,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.023,0,4,3,1.0816387107374794,39,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,90,4,4,1.090314251725431,40,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.020000000000000007,0,3,3,0.6821752249620658,41,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,0.9849041055699672,42,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.020000000000000007,0,3,3,0.8496043725986056,43,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.020000000000000007,90,4,4,0.8833350356994742,44,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.0275,0,4,3,1.485298465796859,45,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.032,90,4,4,2.7688357887086568,46,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,0,3,3,0.6785407366051004,47,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,90,4,4,1.9532765690123597,48,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.032,90,4,4,0.6241313131235984,49,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.032,0,3,3,0.6159518903564276,50,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,0,3,3,0.9515462991193999,51,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.011000000000000006,90,4,4,0.641302686641211,52,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,90,4,4,0.8252101014581967,53,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0275,0,3,3,1.972999572232311,54,15,7,2021_Apr_23_1541,Motor,
0.0425,0,0.011000000000000006,0,4,3,1.0055659702834419,55,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,90,4,4,0.9103308555581862,56,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.0275,90,3,4,0.7611920353824644,57,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.032,90,4,4,0.5329165991483933,58,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,90,4,4,0.9706998415645103,59,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,0,3,3,0.9504396329339215,60,15,7,2021_Apr_23_1541,Motor,
0.0005,0,0.032,0,4,3,1.4341967531136106,61,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0365,0,3,3,0.8700016665270596,62,15,7,2021_Apr_23_1541,Motor,
0.0425,0,0.011000000000000006,0,4,3,0.9827618117988095,63,15,7,2021_Apr_23_1541,Motor,
0.0425,1,0.015500000000000007,0,3,3,1.2093772487560273,64,15,7,2021_Apr_23_1541,Motor,
0.0005,1,0.0365,90,4,4,0.5661799434610657,65,15,7,2021_Apr_23_1541,Motor,
