start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0425,1,0.0425,90,4,4,0.7270700839944766,0,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.0005,0,3,3,1.0725446180008475,1,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.0005,0,3,3,0.6992901515923222,2,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.038000000000000006,90,4,4,0.6030628004259597,3,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.0005,0,3,3,1.256901687953814,4,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.03350000000000001,90,4,4,0.6355523999909565,5,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.02900000000000001,90,4,4,0.5933274403291762,6,15,7,2021_Apr_23_1550,Motor,
0.0005,0,0.0005,0,4,3,1.0831766004230303,7,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.024500000000000008,90,4,4,1.3638051806719886,8,15,7,2021_Apr_23_1550,Motor,
0.0005,0,0.004999999999999999,90,3,4,0.7084126597696923,9,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.009499999999999998,90,4,4,0.9392596933130335,10,15,7,2021_Apr_23_1550,Motor,
0.0425,0,0.020000000000000007,90,3,4,1.1400435754612772,11,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.024500000000000008,0,3,3,1.362940813710793,12,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.009499999999999998,90,4,4,1.1697046867816425,13,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.009499999999999998,0,3,3,1.148405778625147,14,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.024500000000000008,0,3,3,0.8661402386437658,15,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.024500000000000008,90,4,4,0.6179732265118218,16,15,7,2021_Apr_23_1550,Motor,
0.0005,1,0.004999999999999998,90,4,4,0.9626141129506323,17,15,7,2021_Apr_23_1550,Motor,
0.0425,1,0.020000000000000007,90,4,4,1.2844128256547265,18,15,7,2021_Apr_23_1550,Motor,
