start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.05,1,0.05,90,4,4,0.6255194457603466,0,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.065,90,4,4,0.5041839815253297,1,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.060500000000000005,0,3,3,0.85406214072691,2,15,7,2021_Apr_23_1537,Motor,
0.05,0,0.045500000000000006,0,4,3,0.8037533724136665,3,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.05600000000000001,0,3,3,0.8444093390030503,4,15,7,2021_Apr_23_1537,Motor,
0.05,1,0.05,90,4,4,0.7642620548663217,5,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.05150000000000001,0,3,3,0.7148399250750117,6,15,7,2021_Apr_23_1537,Motor,
0.05,0,0.05,0,4,3,0.7407482783701198,7,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.047000000000000014,0,3,3,1.2832393447856703,8,15,7,2021_Apr_23_1537,Motor,
0.05,1,0.0545,0,3,3,0.5741508583382711,9,15,7,2021_Apr_23_1537,Motor,
0.05,1,0.0545,90,4,4,0.9736784708497908,10,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.04250000000000002,0,3,3,0.6344618614875799,11,15,7,2021_Apr_23_1537,Motor,
0.065,0,0.03800000000000002,90,3,4,0.6882634249514012,12,15,7,2021_Apr_23_1537,Motor,
0.05,1,0.0545,90,4,4,2.544892171085394,13,15,7,2021_Apr_23_1537,Motor,
0.065,1,0.04250000000000002,0,3,3,0.6934461707892297,14,15,7,2021_Apr_23_1537,Motor,
0.05,1,0.05,0,3,3,1.132232401434976,15,15,7,2021_Apr_23_1537,Motor,
