subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
16,1,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.24824304263347585,-1,1,none,none,-1,-1,-1,0,32652,10:05:54.597018,feet
16,2,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.40283916323414815,-1,1,none,none,-1,-1,-1,5732,32652,10:05:54.597018,feet
16,3,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4497384627552492,-1,1,none,none,-1,-1,-1,8565,32652,10:05:54.597018,feet
16,4,feet1,1,gabor,90,0.02496049160017121,3,3,-1,c,0.5995385178966899,-1,1,-1,incongruent,CR,c,4,0.9153930277725522,11449,32652,10:05:54.597018,feet
16,5,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.28025418762945264,-1,1,none,none,-1,-1,-1,16417,32652,10:05:54.597018,feet
16,6,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.4951313599704008,-1,1,none,none,-1,-1,-1,19032,32652,10:05:54.597018,feet
16,7,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2819629539462767,-1,1,none,none,-1,-1,-1,21965,32652,10:05:54.597018,feet
16,8,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.5376508418266894,-1,1,none,none,-1,-1,-1,24782,32652,10:05:54.597018,feet
16,9,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.27455228402550347,-1,1,none,none,-1,-1,-1,27748,32652,10:05:54.597018,feet
16,10,feet1,1,gabor,90,0.02496049160017121,3,3,-1,q,0.46449183593676935,-1,1,-1,congruent,CR,q,1,0.7803210023125757,30366,32652,10:05:54.597018,feet
16,11,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.5502035543872807,-1,1,none,none,-1,-1,-1,35066,32652,10:05:54.597018,feet
16,12,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2440905484868381,-1,1,none,none,-1,-1,-1,37948,32652,10:05:54.597018,feet
16,13,feet1,1,gabor,0,0.02496049160017121,4,4,-1,q,0.3955571307774335,-1,1,-1,incongruent,hit,q,1,1.8103645700939524,44297,32652,10:05:54.597018,feet
16,14,feet1,1,gabor,0,0.02496049160017121,4,4,-1,c,0.7731107764402623,-1,1,-1,congruent,hit,3,4,1.7301450953800668,49831,32652,10:05:54.597018,feet
16,15,feet1,1,gabor,0,0.02496049160017121,4,4,-1,c,0.733970043982481,-1,1,-1,congruent,hit,c,2,1.4418696898646886,55581,32652,10:05:54.597018,feet
16,16,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.27945817132058437,-1,1,none,none,-1,-1,-1,64864,32652,10:05:54.597018,feet
16,17,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4592511072423804,-1,1,none,none,-1,-1,-1,67581,32652,10:05:54.597018,feet
16,18,feet1,1,gabor,0,0.02496049160017121,4,4,-1,c,0.5700594189888761,-1,1,-1,congruent,hit,4,4,1.3280946525978834,70582,32652,10:05:54.597018,feet
16,19,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4538371979610929,-1,1,none,none,-1,-1,-1,75914,32652,10:05:54.597018,feet
16,20,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2505900043697693,-1,1,none,none,-1,-1,-1,78796,32652,10:05:54.597018,feet
16,21,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4675211522230711,-1,1,none,none,-1,-1,-1,81581,32652,10:05:54.597018,feet
16,22,feet1,1,gabor,90,0.02496049160017121,4,3,-1,q,0.38132061140777296,-1,0,-1,incongruent,FA,c,1,1.98531996937254,84581,32652,10:05:54.597018,feet
16,23,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.23609889801855388,-1,1,none,none,-1,-1,-1,90179,32652,10:05:54.597018,feet
16,24,feet1,1,gabor,90,0.02496049160017121,3,3,-1,c,0.5448092287201689,-1,1,-1,incongruent,CR,3,3,0.06871966939797858,92746,32652,10:05:54.597018,feet
16,25,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4386741048560907,-1,1,none,none,-1,-1,-1,96712,32652,10:05:54.597018,feet
16,26,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2634602786706637,-1,1,none,none,-1,-1,-1,99497,32652,10:05:54.597018,feet
16,27,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.26435114111018265,-1,1,none,none,-1,-1,-1,102298,32652,10:05:54.597018,feet
16,28,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4270341423030004,-1,1,none,none,-1,-1,-1,104996,32652,10:05:54.597018,feet
16,29,feet1,1,gabor,0,0.02496049160017121,4,4,-1,q,0.3955421550731444,-1,1,-1,incongruent,hit,q,4,0.7735707993720098,114462,32652,10:05:54.597018,feet
16,30,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.3363604736623529,-1,1,none,none,-1,-1,-1,118879,32652,10:05:54.597018,feet
16,31,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.27834958517269115,-1,1,none,none,-1,-1,-1,121545,32652,10:05:54.597018,feet
16,32,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2770685864238658,-1,1,none,none,-1,-1,-1,124363,32652,10:05:54.597018,feet
16,33,feet1,1,gabor,90,0.02496049160017121,3,3,-1,c,0.40387939872925926,-1,1,-1,incongruent,CR,3,4,1.089819669474764,127180,32652,10:05:54.597018,feet
16,34,feet1,1,gabor,90,0.02496049160017121,3,3,-1,q,0.4555409723761841,-1,1,-1,congruent,CR,4,4,1.1804906501679397,132011,32652,10:05:54.597018,feet
16,35,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.27224794544872566,-1,1,none,none,-1,-1,-1,136895,32652,10:05:54.597018,feet
16,36,feet1,1,gabor,0,0.02496049160017121,3,4,-1,q,0.35212528290639966,-1,0,-1,congruent,miss,q,1,1.1221253366657038,139612,32652,10:05:54.597018,feet
16,37,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.27450466896425496,-1,1,none,none,-1,-1,-1,151261,32652,10:05:54.597018,feet
16,38,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.26538753668091886,-1,1,none,none,-1,-1,-1,154112,32652,10:05:54.597018,feet
16,39,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.24426372907328187,-1,1,none,none,-1,-1,-1,156811,32652,10:05:54.597018,feet
16,40,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.30510617774734783,-1,1,none,none,-1,-1,-1,159494,32652,10:05:54.597018,feet
16,41,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.24796733606763155,-1,1,none,none,-1,-1,-1,162127,32652,10:05:54.597018,feet
16,42,feet1,2,gabor,90,0.02496049160017121,3,3,-1,c,0.455781351638052,-1,1,-1,incongruent,CR,c,4,1.0675765239316206,164710,32652,10:05:54.597018,feet
16,43,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.29445307574087565,-1,1,none,none,-1,-1,-1,169577,32652,10:05:54.597018,feet
16,44,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.25730296004394404,-1,1,none,none,-1,-1,-1,172294,32652,10:05:54.597018,feet
16,45,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.27530990109107734,-1,1,none,none,-1,-1,-1,175078,32652,10:05:54.597018,feet
16,46,feet1,2,gabor,0,0.02496049160017121,4,4,-1,c,0.6191025482507939,-1,1,-1,congruent,hit,4,1,1.3489158741699612,177677,32652,10:05:54.597018,feet
16,47,feet1,2,gabor,0,0.02496049160017121,4,4,-1,c,0.7506429953250517,-1,1,-1,congruent,hit,c,4,0.9726117398772658,182993,32652,10:05:54.597018,feet
16,48,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.32055035331131876,-1,1,none,none,-1,-1,-1,188161,32652,10:05:54.597018,feet
16,49,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.23327232973542777,-1,1,none,none,-1,-1,-1,190910,32652,10:05:54.597018,feet
16,50,feet1,2,gabor,0,0.02496049160017121,4,4,-1,c,0.5341334711611125,-1,1,-1,congruent,hit,q,4,3.854967978871173,193577,32652,10:05:54.597018,feet
16,51,feet1,2,gabor,90,0.02496049160017121,3,3,-1,c,0.6675796726694898,-1,1,-1,incongruent,CR,c,4,0.9645651784912843,201292,32652,10:05:54.597018,feet
16,52,feet1,2,gabor,90,0.02496049160017121,3,3,-1,q,0.5243616317834494,-1,1,-1,congruent,CR,4,4,0.9412971571505295,206276,32652,10:05:54.597018,feet
16,53,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.3111832419563143,-1,1,none,none,-1,-1,-1,210976,32652,10:05:54.597018,feet
16,54,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.2579926104494916,-1,1,none,none,-1,-1,-1,213726,32652,10:05:54.597018,feet
16,55,feet1,2,gabor,90,0.02496049160017121,3,3,-1,q,0.4276915373443444,-1,1,-1,congruent,CR,4,4,0.8807883978993232,216510,32652,10:05:54.597018,feet
16,56,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.2802154043943119,-1,1,none,none,-1,-1,-1,223975,32652,10:05:54.597018,feet
16,57,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.23525795459545407,-1,1,none,none,-1,-1,-1,226693,32652,10:05:54.597018,feet
16,58,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.1651294169691937,-1,1,none,none,-1,-1,-1,229258,32652,10:05:54.597018,feet
16,59,feet1,2,gabor,90,0.02496049160017121,3,3,-1,q,0.38695531633675273,-1,1,-1,congruent,CR,q,4,0.7378502874953483,231858,32652,10:05:54.597018,feet
16,60,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.3826661208850055,-1,1,none,none,-1,-1,-1,236224,32652,10:05:54.597018,feet
16,61,feet1,2,gabor,0,0.02496049160017121,4,4,-1,q,0.5623273474034249,-1,1,-1,incongruent,hit,q,4,0.6714345726818465,238942,32652,10:05:54.597018,feet
16,62,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.20626844603657446,-1,1,none,none,-1,-1,-1,243626,32652,10:05:54.597018,feet
16,63,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.24912161731435845,-1,1,none,none,-1,-1,-1,246359,32652,10:05:54.597018,feet
16,64,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.2939596454675666,-1,1,none,none,-1,-1,-1,249041,32652,10:05:54.597018,feet
16,65,feet1,2,gabor,0,0.02496049160017121,3,4,-1,q,0.5057614224310782,-1,0,-1,congruent,miss,4,1,0.8715771874703933,251875,32652,10:05:54.597018,feet
16,66,feet1,2,cue,blue,-1,-1,-1,c,c,-1,0.6204991287208941,-1,1,none,none,-1,-1,-1,256491,32652,10:05:54.597018,feet
16,67,feet1,2,gabor,90,0.02496049160017121,3,3,-1,c,0.4382874244784034,-1,1,-1,incongruent,CR,q,4,0.9892896831220241,259541,32652,10:05:54.597018,feet
16,68,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.464037188898601,-1,1,none,none,-1,-1,-1,264208,32652,10:05:54.597018,feet
16,69,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.584014087914511,-1,1,none,none,-1,-1,-1,267007,32652,10:05:54.597018,feet
16,70,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.24373535548875225,-1,1,none,none,-1,-1,-1,269923,32652,10:05:54.597018,feet
16,71,feet1,2,gabor,0,0.02496049160017121,4,4,-1,q,0.36558536958136756,-1,1,-1,incongruent,hit,4,4,1.1455189235307444,272691,32652,10:05:54.597018,feet
16,72,feet1,2,cue,yellow,-1,-1,-1,q,q,-1,0.2553488225644287,-1,1,none,none,-1,-1,-1,277441,32652,10:05:54.597018,feet
16,73,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.2396178046537898,-1,1,none,none,-1,-1,-1,288840,32652,10:05:54.597018,feet
16,74,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.21950120919200344,-1,1,none,none,-1,-1,-1,291540,32652,10:05:54.597018,feet
16,75,feet1,3,gabor,0,0.02496049160017121,3,4,-1,q,0.3331694965627321,-1,0,-1,congruent,miss,4,1,1.5363325958119276,294190,32652,10:05:54.597018,feet
16,76,feet1,3,gabor,90,0.02496049160017121,3,3,-1,c,0.7829866777665302,-1,1,-1,incongruent,CR,q,4,1.6310370329979378,299406,32652,10:05:54.597018,feet
16,77,feet1,3,gabor,90,0.02496049160017121,3,3,-1,c,0.4007022453574791,-1,1,-1,incongruent,CR,3,4,0.8826446173093245,305056,32652,10:05:54.597018,feet
16,78,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.2744509100234609,-1,1,none,none,-1,-1,-1,309791,32652,10:05:54.597018,feet
16,79,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.27435414393130486,-1,1,none,none,-1,-1,-1,312389,32652,10:05:54.597018,feet
16,80,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.45824504707343294,-1,1,none,none,-1,-1,-1,315190,32652,10:05:54.597018,feet
16,81,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.264717853881848,-1,1,none,none,-1,-1,-1,321838,32652,10:05:54.597018,feet
16,82,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.2257119027672161,-1,1,none,none,-1,-1,-1,324438,32652,10:05:54.597018,feet
16,83,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.23846544336902298,-1,1,none,none,-1,-1,-1,327089,32652,10:05:54.597018,feet
16,84,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.4522505412373903,-1,1,none,none,-1,-1,-1,329755,32652,10:05:54.597018,feet
16,85,feet1,3,gabor,90,0.02496049160017121,3,3,-1,q,0.31313200354225046,-1,1,-1,congruent,CR,q,4,0.7530993949044387,332638,32652,10:05:54.597018,feet
16,86,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.26893063483930746,-1,1,none,none,-1,-1,-1,336938,32652,10:05:54.597018,feet
16,87,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.23674093336285296,-1,1,none,none,-1,-1,-1,339739,32652,10:05:54.597018,feet
16,88,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.2703848141745766,-1,1,none,none,-1,-1,-1,342505,32652,10:05:54.597018,feet
16,89,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.22241724771083682,-1,1,none,none,-1,-1,-1,345306,32652,10:05:54.597018,feet
16,90,feet1,3,gabor,0,0.02496049160017121,4,4,-1,q,0.29822426540295055,-1,1,-1,incongruent,hit,c,4,0.7932650031602861,348056,32652,10:05:54.597018,feet
16,91,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.627022776126978,-1,1,none,none,-1,-1,-1,352388,32652,10:05:54.597018,feet
16,92,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.253872755660268,-1,1,none,none,-1,-1,-1,355538,32652,10:05:54.597018,feet
16,93,feet1,3,gabor,90,0.02496049160017121,3,3,-1,q,0.5124839779159629,-1,1,-1,congruent,CR,4,4,1.1125957965118687,358121,32652,10:05:54.597018,feet
16,94,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.4724504630562478,-1,1,none,none,-1,-1,-1,363088,32652,10:05:54.597018,feet
16,95,feet1,3,gabor,0,0.02496049160017121,4,4,-1,q,0.5823763601970313,-1,1,-1,incongruent,hit,3,4,0.5112709458271638,365887,32652,10:05:54.597018,feet
16,96,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.277855770907081,-1,1,none,none,-1,-1,-1,373153,32652,10:05:54.597018,feet
16,97,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.3096614799528652,-1,1,none,none,-1,-1,-1,375753,32652,10:05:54.597018,feet
16,98,feet1,3,gabor,0,0.02496049160017121,4,4,-1,c,0.3635747852140412,-1,1,-1,congruent,hit,4,4,2.044443667926771,378588,32652,10:05:54.597018,feet
16,99,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.27425392190662023,-1,1,none,none,-1,-1,-1,384438,32652,10:05:54.597018,feet
16,100,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.343839878228664,-1,1,none,none,-1,-1,-1,390703,32652,10:05:54.597018,feet
16,101,feet1,3,cue,blue,-1,-1,-1,c,c,-1,0.29766248447731414,-1,1,none,none,-1,-1,-1,393469,32652,10:05:54.597018,feet
16,102,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.22447007124628726,-1,1,none,none,-1,-1,-1,396304,32652,10:05:54.597018,feet
16,103,feet1,3,gabor,90,0.02496049160017121,3,3,-1,c,0.40528289106396187,-1,1,-1,incongruent,CR,c,4,0.7312913127857428,398953,32652,10:05:54.597018,feet
16,104,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.20321340225746098,-1,1,none,none,-1,-1,-1,403436,32652,10:05:54.597018,feet
16,105,feet1,3,gabor,90,0.02496049160017121,3,3,-1,q,0.4598459115172773,-1,1,-1,congruent,CR,3,4,0.6648659981610763,406170,32652,10:05:54.597018,feet
16,106,feet1,3,gabor,0,0.02496049160017121,4,4,-1,c,0.4006784378266275,-1,1,-1,congruent,hit,3,4,0.6456091617519633,410720,32652,10:05:54.597018,feet
16,107,feet1,3,cue,yellow,-1,-1,-1,q,q,-1,0.2204450625872596,-1,1,none,none,-1,-1,-1,415003,32652,10:05:54.597018,feet
