subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
16,1,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.5422414713361832,-1,1,none,none,-1,-1,-1,11333,68819,09:58:07.410237,feet
16,2,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.3060243036488828,-1,1,none,none,-1,-1,-1,15066,68819,09:58:07.410237,feet
16,3,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.23761298017279842,-1,1,none,none,-1,-1,-1,21349,68819,09:58:07.410237,feet
16,4,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.2584084742525192,-1,1,none,none,-1,-1,-1,24633,68819,09:58:07.410237,feet
16,5,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.6326997202231723,-1,1,none,none,-1,-1,-1,38098,68819,09:58:07.410237,feet
16,6,feet1,1,gabor,0,0.029952589920205448,4,4,-1,q,0.6592704604609025,-1,1,-1,incongruent,hit,c,4,3.131357666677559,41682,68819,09:58:07.410237,feet
16,7,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.5469154272027481,-1,1,none,none,-1,-1,-1,51665,68819,09:58:07.410237,feet
16,8,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.6147173546914928,-1,1,none,none,-1,-1,-1,55164,68819,09:58:07.410237,feet
16,9,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.5445423539808871,-1,1,none,none,-1,-1,-1,58933,68819,09:58:07.410237,feet
16,10,feet1,1,gabor,0,0.029952589920205448,4,4,-1,q,0.6083004571814854,-1,1,-1,incongruent,hit,4,1,1.389212423844583,62415,68819,09:58:07.410237,feet
16,11,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.474869231377852,-1,1,none,none,-1,-1,-1,67865,68819,09:58:07.410237,feet
16,12,feet1,1,gabor,0,0.029952589920205448,3,4,-1,c,0.6857820658638047,-1,0,-1,incongruent,miss,4,4,1.731675305216413,71280,68819,09:58:07.410237,feet
16,13,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.4965429161461543,-1,1,none,none,-1,-1,-1,76948,68819,09:58:07.410237,feet
16,14,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.4942938724789201,-1,1,none,none,-1,-1,-1,80598,68819,09:58:07.410237,feet
16,15,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.28511015590856914,-1,1,none,none,-1,-1,-1,84030,68819,09:58:07.410237,feet
16,16,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.25993599614139384,-1,1,none,none,-1,-1,-1,87464,68819,09:58:07.410237,feet
16,17,feet1,1,gabor,90,0.029952589920205448,3,3,-1,c,0.5346265174421205,-1,1,-1,incongruent,CR,3,4,0.8455563243937831,90864,68819,09:58:07.410237,feet
16,18,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.3633781810895016,-1,1,none,none,-1,-1,-1,95665,68819,09:58:07.410237,feet
16,19,feet1,1,cue,yellow,-1,-1,-1,q,q,-1,0.45523685037096584,-1,1,none,none,-1,-1,-1,98980,68819,09:58:07.410237,feet
16,20,feet1,1,gabor,90,0.029952589920205448,3,3,-1,q,0.5880559922402426,-1,1,-1,congruent,CR,3,4,1.7969256030028191,102581,68819,09:58:07.410237,feet
16,21,feet1,1,gabor,90,0.029952589920205448,3,3,-1,q,0.5276689585894019,-1,1,-1,congruent,CR,c,4,0.9945553713246227,108296,68819,09:58:07.410237,feet
16,22,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.49332582756142074,-1,1,none,none,-1,-1,-1,113047,68819,09:58:07.410237,feet
16,23,feet1,1,cue,blue,-1,-1,-1,c,c,-1,0.4883101184309453,-1,1,none,none,-1,-1,-1,116579,68819,09:58:07.410237,feet
16,24,feet1,1,gabor,90,0.029952589920205448,3,3,-1,c,0.7298747647087112,-1,1,-1,incongruent,CR,4,1,1.619847877558641,120112,68819,09:58:07.410237,feet
16,25,feet1,1,gabor,90,0.029952589920205448,4,3,-1,c,0.7865766230015652,-1,0,-1,congruent,FA,4,3,2.8004894367522866,125913,68819,09:58:07.410237,feet
