start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,0,3,4,1.3350698751025902,0,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.0425,90,3,3,0.38072196720861484,1,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.038000000000000006,90,3,3,0.4674915848058845,2,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.004999999999999999,0,3,4,0.898189782883037,3,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.6700456720597003,4,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.009499999999999998,0,3,4,2.363616640388841,5,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.9874630311287547,6,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.6211999149072653,7,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.6879650628327454,8,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.9817119764935569,9,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.6294807116761376,10,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.5041344465017801,11,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.013999999999999999,0,3,4,1.0441364739818937,12,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.015500000000000007,0,3,4,1.091786094712461,13,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.0185,0,3,4,0.9424575822761199,14,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.7104316919704843,15,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,0,4,4,1.1030973597447655,16,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.023,0,3,4,1.015900742564554,17,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.020000000000000007,0,3,4,1.1205874469802666,18,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,1.0813011813911544,19,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.8532342530463666,20,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.0275,0,3,4,2.1448354170042876,21,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,90,3,3,0.8444558020872819,22,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.6592804442639135,23,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.4861920161829403,24,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,90,3,3,0.3878818900722081,25,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,0,4,4,0.4858099437144574,26,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.3714535419077265,27,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.7132263888813668,28,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,0.7559973857794375,29,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,0.9798012301580457,30,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.7465546279152022,31,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.7392898751179473,32,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,90,3,3,0.45223479754770324,33,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,90,3,3,0.6640058551166703,34,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.5376800252513476,35,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,0,4,4,0.6564458121401913,36,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.015500000000000007,0,4,4,1.3581201727350845,37,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,90,3,3,0.4121425318464844,38,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.011000000000000006,0,3,4,1.6819002863815058,39,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.3983691073481168,40,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.0185,0,3,4,0.49406616496776223,41,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.023,0,3,4,0.5297928207239693,42,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.8294893131067056,43,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,90,3,3,0.6263308217668282,44,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.015500000000000007,0,3,4,1.1431677378775476,45,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,2.726850056331614,46,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.020000000000000007,0,3,4,2.049533103603494,47,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.7841766703094208,48,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,90,3,3,0.4471200183701285,49,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.023,0,3,4,0.6026116093199789,50,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.024500000000000008,0,3,4,1.3575038648838245,51,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,0.6402839547226904,52,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.02900000000000001,0,3,4,1.4251963545294757,53,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.5689108976283705,54,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.0275,0,3,4,1.5876021131871312,55,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.5994244721448467,56,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,0,4,4,0.4441333252439108,57,16,8,2021_Apr_26_0935,Motor,
0.0005,0,0.032,0,3,4,1.2499268494419766,58,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.5205654826131649,59,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.5584232963599334,60,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0365,90,3,3,0.41910047469150413,61,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0365,0,4,4,0.5950757578666526,62,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,0,4,4,1.2597555196991834,63,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.5255823437208846,64,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0365,0,4,4,0.5723123025798031,65,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.024500000000000008,0,3,4,0.7122372243798054,66,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,90,3,3,0.5100851772010628,67,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,0,4,4,0.5536264629151901,68,16,8,2021_Apr_26_0935,Motor,
0.0425,0,0.02900000000000001,0,3,4,0.6793705442478313,69,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.8602855060521506,70,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.032,0,4,4,0.4820533457644842,71,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.4757147827101562,72,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,90,3,3,0.4095156396276707,73,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.4903356785031292,74,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,0,4,4,1.1831248382432022,75,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0275,90,3,3,0.42491412009280793,76,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.5666422703475291,77,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,0,4,4,0.5774777687581718,78,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.4041716169690517,79,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,90,3,3,0.47651732689041637,80,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.9904412764215067,81,16,8,2021_Apr_26_0935,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.6571185668788075,82,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.023,90,3,3,0.4580484429491207,83,16,8,2021_Apr_26_0935,Motor,
0.0005,1,0.0185,0,4,4,0.6317239954564684,84,16,8,2021_Apr_26_0935,Motor,
