start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,0,3,4,0.9864354673841262,0,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.0425,0,4,4,0.5002691786939977,1,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.004999999999999999,90,4,3,0.6648610062600255,2,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.038000000000000006,90,3,3,0.46179044918653744,3,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.43741153774385566,4,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.8962344934257089,5,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.4711948078079331,6,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.004999999999999998,0,4,4,0.5698977581753297,7,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.004999999999999998,90,4,3,1.3444538821249807,8,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.5623592187751001,9,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.5081540792668875,10,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.009499999999999998,90,3,3,1.4140321585982747,11,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.009499999999999998,90,4,3,0.8846774732376161,12,16,8,2021_Apr_26_0943,Motor,
0.0425,0,0.015500000000000007,90,4,3,0.5913721508723029,13,16,8,2021_Apr_26_0943,Motor,
0.0425,0,0.020000000000000007,90,4,3,0.5912515772488405,14,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.013999999999999999,90,4,3,1.2471409843569745,15,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0185,0,4,4,0.9558185989037611,16,16,8,2021_Apr_26_0943,Motor,
0.0425,0,0.024500000000000008,90,4,3,1.4974591220857292,17,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.7261005031070908,18,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0185,90,3,3,3.1638630099323564,19,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.0185,0,3,4,2.6306326889684897,20,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.581163712100988,21,16,8,2021_Apr_26_0943,Motor,
0.0005,0,0.023,0,3,4,1.5110340224973697,22,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.6047155038479559,23,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0275,90,3,3,0.720541828679643,24,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.4793342953623778,25,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0275,0,4,4,0.5341231033655731,26,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.383869169171021,27,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.5377195764717726,28,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0275,90,3,3,0.4263978668452637,29,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.023,90,3,3,0.887173040045127,30,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.695017851807961,31,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.7977504187435898,32,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.023,0,4,4,0.6994280048752444,33,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.023,90,3,3,0.5312205045813698,34,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.7322151985740675,35,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0185,0,4,4,0.6778925573819379,36,16,8,2021_Apr_26_0943,Motor,
0.0425,0,0.015500000000000007,90,4,3,0.54773217910315,37,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0185,0,4,4,0.6423747935082247,38,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.927182747373763,39,16,8,2021_Apr_26_0943,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.6678615231137428,40,16,8,2021_Apr_26_0943,Motor,
0.0005,1,0.0185,0,4,4,0.6204227142275158,41,16,8,2021_Apr_26_0943,Motor,
0.0425,0,0.020000000000000007,90,4,3,0.7851416432879432,42,16,8,2021_Apr_26_0943,Motor,
