start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.05,1,0.05,0,4,4,1.4862327193806095,0,16,8,2021_Apr_26_0933,Motor,
0.065,1,0.065,90,3,3,0.5468912356799365,1,16,8,2021_Apr_26_0933,Motor,
0.065,1,0.060500000000000005,90,3,3,0.6596026139133073,2,16,8,2021_Apr_26_0933,Motor,
0.05,1,0.045500000000000006,0,4,4,0.6832139244871769,3,16,8,2021_Apr_26_0933,Motor,
0.05,1,0.04100000000000001,90,3,3,0.49204444481995324,4,16,8,2021_Apr_26_0933,Motor,
0.065,1,0.05600000000000001,90,3,3,0.5827280972638391,5,16,8,2021_Apr_26_0933,Motor,
0.065,1,0.05150000000000001,0,4,4,0.6255417173217666,6,16,8,2021_Apr_26_0933,Motor,
0.05,1,0.03650000000000001,90,3,3,0.7732213662603726,7,16,8,2021_Apr_26_0933,Motor,
0.05,1,0.032000000000000015,0,4,4,1.0859574736061859,8,16,8,2021_Apr_26_0933,Motor,
0.065,1,0.047000000000000014,90,3,3,0.6065763311672754,9,16,8,2021_Apr_26_0933,Motor,
0.05,1,0.027500000000000014,0,4,4,0.5904152417348314,10,16,8,2021_Apr_26_0933,Motor,
