subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
2,1,hand2,1,gabor,90,0.018572166246627376,4,4,-1,4,0.16338997134971578,-1,1,-1,congruent,CR,c,4,1.951360859903616,2832,20775,11:31:25.026798,hand
2,2,hand2,1,cue,yellow,-1,-1,-1,4,3,-1,0.2712212085170904,-1,0,none,none,-1,-1,-1,8331,20775,11:31:25.026798,hand
2,3,hand2,1,cue,yellow,-1,-1,-1,3,3,-1,0.2067948724343296,-1,1,none,none,-1,-1,-1,14798,20775,11:31:25.026798,hand
2,4,hand2,1,cue,yellow,-1,-1,-1,3,3,-1,0.17565746703621699,-1,1,none,none,-1,-1,-1,17349,20775,11:31:25.026798,hand
2,5,hand2,1,gabor,0,0.018572166246627376,3,3,-1,3,0.16147537112192367,-1,1,-1,congruent,hit,q,3,1.4154306180134881,20066,20775,11:31:25.026798,hand
2,6,hand2,1,gabor,0,0.018572166246627376,3,3,-1,3,0.15926087061689032,-1,1,-1,congruent,hit,3,4,2.047179190222778,24981,20775,11:31:25.026798,hand
2,7,hand2,1,cue,blue,-1,-1,-1,4,4,-1,0.3229603421241336,-1,1,none,none,-1,-1,-1,30531,20775,11:31:25.026798,hand
2,8,hand2,1,gabor,0,0.018572166246627376,3,3,-1,3,0.15754748389099404,-1,1,-1,congruent,hit,3,4,0.9276330265083743,33399,20775,11:31:25.026798,hand
2,9,hand2,1,cue,yellow,-1,-1,-1,3,3,-1,0.268448762940352,-1,1,none,none,-1,-1,-1,37814,20775,11:31:25.026798,hand
2,10,hand2,1,cue,blue,-1,-1,-1,4,4,-1,0.24528463454589655,-1,1,none,none,-1,-1,-1,40514,20775,11:31:25.026798,hand
2,11,hand2,1,cue,yellow,-1,-1,-1,3,3,-1,0.18123998972441768,-1,1,none,none,-1,-1,-1,43298,20775,11:31:25.026798,hand
2,12,hand2,1,cue,blue,-1,-1,-1,4,4,-1,0.5438712632940224,-1,1,none,none,-1,-1,-1,48648,20775,11:31:25.026798,hand
