start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0525	1	0.0525	90	4	4	0.4122557454327307	0	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.0005	90	3	4	0.44397298363151094	1	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.004999999999999999	0	3	3	0.4805919209707099	2	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0005	0	3	3	0.46110377893546683	3	2	2	2021_Mar_30_1022	Motor	
0.0525	0	0.048	0	4	3	0.2957446800339767	4	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0005	0	3	3	0.7075369432213847	5	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	90	4	4	0.6091830923828638	6	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.0005	0	4	3	0.4759102510984121	7	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.004999999999999999	0	3	3	0.5331370605701977	8	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	0	3	3	0.3869516116089926	9	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	0	3	3	0.3678044573398438	10	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.004999999999999999	90	3	4	0.43861394616919824	11	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.009499999999999998	0	4	3	0.599499500614229	12	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.048	90	4	4	0.33317615128476064	13	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.013999999999999999	0	4	3	0.563059889048418	14	2	2	2021_Mar_30_1022	Motor	
0.0525	0	0.048	90	3	4	0.17077458366293286	15	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	0	3	3	0.4874953872572405	16	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.0185	0	4	3	0.12127491025080417	17	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	90	4	4	0.4891680704893133	18	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.023	0	4	3	0.49404250596808197	19	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.0525	90	4	4	0.5885441166362853	20	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0275	90	4	4	0.5364029400209347	21	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.048	0	3	3	0.4473214220572572	22	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0275	90	4	4	0.5729339424522095	23	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0275	0	3	3	0.46074973533131924	24	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.048	90	4	4	0.4490029371795572	25	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	0	3	3	0.5326731943296181	26	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.048	0	3	3	0.5244030890112299	27	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.043500000000000004	0	3	3	0.44720276753059807	28	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	0	3	3	0.45204648339085907	29	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.043500000000000004	90	4	4	0.5548185833724801	30	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	90	4	4	0.5785617765770894	31	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.043500000000000004	90	4	4	0.3853115679714847	32	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0185	0	3	3	0.45325760435366647	33	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03900000000000001	90	4	4	0.34095858265823153	34	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03900000000000001	90	4	4	0.4417957306641256	35	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0185	0	3	3	0.46039837969374275	36	2	2	2021_Mar_30_1022	Motor	
0.0005	0	0.0185	90	3	4	0.4860546371455712	37	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03900000000000001	90	4	4	0.3637229720156938	38	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	90	4	4	0.4684822473245731	39	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	0	3	3	0.571130700841195	40	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03450000000000001	90	4	4	0.47211445822699716	41	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03450000000000001	0	3	3	0.4461160610230763	42	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03450000000000001	0	3	3	0.4868383714151605	43	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.023	90	4	4	0.47234216739980184	44	2	2	2021_Mar_30_1022	Motor	
0.0525	0	0.03000000000000001	90	3	4	0.08209472471207846	45	2	2	2021_Mar_30_1022	Motor	
0.0525	1	0.03450000000000001	0	3	3	0.33680221826352863	46	2	2	2021_Mar_30_1022	Motor	
0.0005	1	0.0185	90	4	4	0.5323832779290569	47	2	2	2021_Mar_30_1022	Motor	
