start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,0,0.065,0,4,3,0.22592973885639367,0,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,90,4,4,0.21053345001666912,1,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.0695,0,3,3,0.2522641318885235,2,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.065,0,3,3,0.2598968051212296,3,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,90,4,4,0.16761315091514462,4,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.065,0,3,3,0.14941408087474883,5,2,2,2021_Mar_30_1006,Motor,
0.05,0,0.04100000000000001,0,4,3,0.15202947240209141,6,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,0,3,3,0.38689132435740703,7,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.065,0,3,3,0.20549466457816834,8,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.060500000000000005,90,4,4,0.11520125766116962,9,2,2,2021_Mar_30_1006,Motor,
0.05,0,0.045500000000000006,90,3,4,0.05304894134440019,10,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.060500000000000005,90,4,4,0.24393258733300627,11,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,90,4,4,0.17360808448199805,12,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,0,3,3,0.08416983494737451,13,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.060500000000000005,90,4,4,0.1052507892061385,14,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05600000000000001,0,3,3,0.19472667027366697,15,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05600000000000001,0,3,3,0.11235700497547896,16,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,0,3,3,0.22418294454450916,17,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,90,4,4,0.09090395933640139,18,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05600000000000001,0,3,3,0.2796656476713224,19,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,0,3,3,0.28746651081587515,20,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05150000000000001,90,4,4,0.12216270722785794,21,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,0,3,3,0.2729046436159024,22,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05150000000000001,0,3,3,0.11559562076479324,23,2,2,2021_Mar_30_1006,Motor,
0.05,0,0.04100000000000001,90,3,4,0.2822464796277018,24,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.05150000000000001,90,4,4,0.40012994398659885,25,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.045500000000000006,90,4,4,0.1568843241242348,26,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.047000000000000014,90,4,4,0.14860269894882094,27,2,2,2021_Mar_30_1006,Motor,
0.065,1,0.047000000000000014,90,4,4,0.24743654382791647,28,2,2,2021_Mar_30_1006,Motor,
0.05,0,0.045500000000000006,0,4,3,0.19117317839391035,29,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,0,3,3,0.33665975603230436,30,2,2,2021_Mar_30_1006,Motor,
0.05,1,0.05,90,4,4,0.23236357897371818,31,2,2,2021_Mar_30_1006,Motor,
