start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0425	1	0.0425	0	3	3	0.5227401190687715	0	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.0005	90	3	4	0.6926869896720973	1	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.038000000000000006	90	4	4	0.3952821740813306	2	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.03350000000000001	0	3	3	0.43820846875519237	3	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.02900000000000001	90	4	4	0.5037401006370601	4	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.004999999999999999	0	3	3	0.49436911337340916	5	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.024500000000000008	0	3	3	0.6042708570129207	6	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.0005	0	3	3	0.5477219945565821	7	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.020000000000000007	0	3	3	0.5174901543963415	8	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.0005	0	3	3	0.4791898342989498	9	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.015500000000000007	90	4	4	0.472027579978203	10	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.5678148596425672	11	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.0005	0	3	3	0.5954670287472936	12	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.006500000000000007	90	3	4	0.5009538408605749	13	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.498728596179717	14	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.0005	90	4	4	0.6515132431817392	15	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	0	3	3	0.5493405288671056	16	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.0005	0	4	3	0.5477450341907115	17	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.006500000000000007	90	3	4	0.6635483801601367	18	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.6214184888457339	19	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.004999999999999999	90	3	4	0.4791667946647067	20	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.011000000000000006	0	4	3	0.4727141610808303	21	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.015500000000000007	0	3	3	0.4123111517974394	22	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.009499999999999998	0	3	3	0.6661752824659288	23	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.4367588917629064	24	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.015500000000000007	0	3	3	0.5694268660568014	25	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.004999999999999998	0	4	3	0.4511709510146602	26	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.76668261521354	27	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	0	3	3	0.7944576623680177	28	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.009499999999999998	90	4	4	0.5411952501490305	29	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.7376572839036726	30	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.006500000000000007	90	4	4	0.5411472509108535	31	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.004999999999999998	0	4	3	0.6797260433883139	32	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.009499999999999998	90	3	4	0.755655846230411	33	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.5091021915300189	34	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.006500000000000007	90	3	4	0.7098269416268295	35	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.5035865030749846	36	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.6223704097369591	37	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.3730331832173306	38	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.006500000000000007	0	4	3	0.4954707918876693	39	2	2	2021_Mar_29_1345	Motor	
0.0005	0	0.009499999999999998	0	4	3	0.5044090180200556	40	2	2	2021_Mar_29_1345	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.46128496648498185	41	2	2	2021_Mar_29_1345	Motor	
0.0425	1	0.011000000000000006	90	4	4	0.4109829168792203	42	2	2	2021_Mar_29_1345	Motor	
0.0425	0	0.011000000000000006	0	4	3	0.46787506988687255	43	2	2	2021_Mar_29_1345	Motor	
