start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.05,1,0.05,90,4,4,0.32339966700050127,0,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.08,0,3,3,0.4421563100950152,1,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.045500000000000006,0,3,3,0.6119799186547539,2,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.04100000000000001,90,4,4,0.27575255125543663,3,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.0755,90,4,4,0.4294799032949186,4,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.071,0,3,3,0.5002269403979653,5,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.03650000000000001,90,4,4,0.4479342663872785,6,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.032000000000000015,90,4,4,0.4337030682650038,7,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.06649999999999999,0,3,3,0.4202605936238797,8,2,2,2021_Mar_29_1342,Motor,
0.05,0,0.027500000000000014,0,4,3,0.603142298925377,9,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.06199999999999999,0,3,3,0.7138546536989452,10,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.057499999999999996,0,3,3,0.7656009043823815,11,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.032000000000000015,90,4,4,0.3052394432395431,12,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.032000000000000015,90,4,4,0.2460410228368346,13,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.053,0,3,3,0.45480967726086874,14,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.0485,90,4,4,0.366528326462344,15,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.027500000000000014,90,4,4,0.5359959726719126,16,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.044000000000000004,0,3,3,0.5116330953595707,17,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.03950000000000001,0,3,3,0.6215210152184909,18,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.027500000000000014,0,3,3,0.5142139183966492,19,2,2,2021_Mar_29_1342,Motor,
0.08,1,0.03500000000000001,0,3,3,0.7285884998433403,20,2,2,2021_Mar_29_1342,Motor,
0.05,1,0.023000000000000013,0,3,3,0.47033493484400424,21,2,2,2021_Mar_29_1342,Motor,
