subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
3,1,hand1,1,cue,blue,-1,-1,-1,3,3,-1,0.5493332114788245,-1,1,none,none,-1,-1,-1,8500,85622,14:54:52.355144,hand
3,2,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.34117822793109553,-1,1,none,none,-1,-1,-1,12367,85622,14:54:52.355144,hand
3,3,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.6220611404889951,-1,1,none,none,-1,-1,-1,15850,85622,14:54:52.355144,hand
3,4,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.4199579218022791,-1,1,none,none,-1,-1,-1,19616,85622,14:54:52.355144,hand
3,5,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.25457578318696505,-1,1,none,none,-1,-1,-1,23082,85622,14:54:52.355144,hand
3,6,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.20245073437172323,-1,1,none,none,-1,-1,-1,26483,85622,14:54:52.355144,hand
3,7,hand1,1,gabor,90,0.018278902818462617,4,4,-1,4,0.6021218040557414,-1,1,-1,congruent,CR,3,4,8.271098714038317,29732,85622,14:54:52.355144,hand
3,8,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.45527396331840464,-1,1,none,none,-1,-1,-1,47515,85622,14:54:52.355144,hand
3,9,hand1,1,cue,blue,-1,-1,-1,3,3,-1,0.5810938411389088,-1,1,none,none,-1,-1,-1,51014,85622,14:54:52.355144,hand
3,10,hand1,1,cue,yellow,-1,-1,-1,4,4,-1,0.28680565502099853,-1,1,none,none,-1,-1,-1,54748,85622,14:54:52.355144,hand
3,11,hand1,1,gabor,0,0.018278902818462617,3,3,-1,4,0.6876217984877258,-1,1,-1,incongruent,hit,3,3,2.9944908204020066,57980,85622,14:54:52.355144,hand
