start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0425	1	0.0425	90	4	4	0.3720787082708057	0	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0005	90	4	4	0.7626767386055917	1	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.038000000000000006	90	4	4	0.546428671541662	2	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.0005	90	3	4	0.5812858387550932	3	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.004999999999999999	90	4	4	0.5480237877367244	4	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.03350000000000001	90	4	4	0.6049003935567043	5	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.4465465196784635	6	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.004999999999999999	0	3	3	0.6731816577765812	7	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.004999999999999999	90	3	4	0.8031068286255731	8	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.024500000000000008	90	4	4	0.493690382340219	9	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.009499999999999998	0	3	3	0.6955816356584137	10	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.6103596537745943	11	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.009499999999999998	90	3	4	0.7902187966433303	12	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.620512487716951	13	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.015500000000000007	0	3	3	0.4531669814787165	14	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.011000000000000006	90	3	4	0.512968862978596	15	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.013999999999999999	90	3	4	0.36077273664568565	16	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.24747763131779266	17	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.015500000000000007	0	3	3	0.24623387076030667	18	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.23310699374349042	19	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.0185	90	3	4	0.31046820922676943	20	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.015500000000000007	90	3	4	0.8103002113125513	21	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.748959276921596	22	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.7656937891459847	23	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.6484308610824883	24	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.6192572073025531	25	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.5640371569147646	26	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.5097022155373452	27	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.015500000000000007	90	3	4	0.5964302267223047	28	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	90	4	4	0.33429703336810235	29	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.9490768562618541	30	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	0	3	3	0.609848940115512	31	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	90	4	4	0.5414920288349094	32	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	0	3	3	0.6173310872171669	33	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.013999999999999999	90	3	4	0.5742103426043741	34	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.020000000000000007	90	3	4	1.0135220081107263	35	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.44212903852587715	36	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.024500000000000008	0	3	3	0.4224243231795981	37	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.4640140788012559	38	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.3500665655735702	39	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.024500000000000008	90	3	4	0.6687664805954228	40	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.728490795058292	41	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.02900000000000001	90	4	4	0.4002969819126747	42	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.013999999999999999	0	3	3	0.3932399175332648	43	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.02900000000000001	0	3	3	0.5777891781694962	44	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.02900000000000001	90	4	4	0.5067535161483647	45	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.013999999999999999	90	4	4	0.8335008192536861	46	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.009499999999999998	0	4	3	0.7260370655237693	47	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.013999999999999999	90	3	4	0.24858430557719657	48	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.024500000000000008	0	3	3	0.7101934222384898	49	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	0	3	3	0.5040578696175544	50	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.024500000000000008	90	4	4	0.5058353835479465	51	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.024500000000000008	90	4	4	0.5805965673130231	52	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.0185	0	4	3	0.6412831738282421	53	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.9191075643605018	54	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.7758427831361132	55	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.6755800919975172	56	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	0	3	3	0.6203016743345415	57	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.4961947992453588	58	3	3	2021_Mar_31_1438	Motor	
0.0005	0	0.0185	90	3	4	0.7605647648279046	59	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	90	4	4	0.647212828205511	60	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.015500000000000007	90	4	4	0.5510734778717961	61	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.3467123672191974	62	3	3	2021_Mar_31_1438	Motor	
0.0425	0	0.015500000000000007	0	4	3	0.9896148489422103	63	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.519390415248381	64	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.023	0	3	3	0.5262105545698432	65	3	3	2021_Mar_31_1438	Motor	
0.0425	1	0.020000000000000007	0	3	3	0.6458024137173197	66	3	3	2021_Mar_31_1438	Motor	
0.0005	1	0.0185	90	4	4	0.5416759625511531	67	3	3	2021_Mar_31_1438	Motor	
