start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,90,4,4,1.3974730809742368,0,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.05,90,4,4,0.6290302699601398,1,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.045500000000000006,90,4,4,0.49983661002863755,2,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.060500000000000005,0,3,3,0.45849299535098,3,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.04100000000000001,90,4,4,0.456231647427785,4,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.05600000000000001,0,3,3,0.6829919679718159,5,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.05150000000000001,0,3,3,0.6308308236045832,6,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.03650000000000001,90,4,4,0.5934208560867091,7,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.032000000000000015,0,3,3,0.6122308625416508,8,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.047000000000000014,90,4,4,0.67173706771257,9,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.04250000000000002,0,3,3,0.4186634738742896,10,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.027500000000000014,90,4,4,0.704337494945662,11,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.023000000000000013,90,4,4,0.640123892221709,12,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.03800000000000002,0,3,3,0.6299004031566255,13,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.018500000000000013,0,3,3,0.6315592625602449,14,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.03350000000000002,0,3,3,0.5463388166572258,15,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.029000000000000022,90,4,4,0.7272335946677231,16,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.014000000000000012,0,3,3,1.5897318138897845,17,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.009500000000000012,90,4,4,2.0234667166372446,18,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.024500000000000022,90,4,4,0.544325529654202,19,3,3,2021_Mar_31_1434,Motor,
0.05,0,0.005000000000000012,0,4,3,0.6579915743766378,20,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.02000000000000002,0,3,3,0.7613258433783585,21,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.009500000000000012,90,4,4,1.0001966055589264,22,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.01550000000000002,90,4,4,0.7540026703028389,23,3,3,2021_Mar_31_1434,Motor,
0.05,0,0.009500000000000012,0,4,3,1.9409599650409746,24,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.01100000000000002,0,3,3,2.088328887308535,25,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.0065000000000000205,90,4,4,0.8491735846607753,26,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.014000000000000012,90,4,4,0.7309936759825177,27,3,3,2021_Mar_31_1434,Motor,
0.05,1,0.014000000000000012,90,4,4,0.7356208185319701,28,3,3,2021_Mar_31_1434,Motor,
0.065,0,0.002000000000000021,0,4,3,1.8305839914690978,29,3,3,2021_Mar_31_1434,Motor,
0.065,1,0.0065000000000000205,90,4,4,1.461191329848475,30,3,3,2021_Mar_31_1434,Motor,
