start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	0	0.0005	0	3	4	1.140238898793882	0	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.0425	90	3	3	0.5590767065035607	1	8	8	2021_Apr_07_1358	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.9608655098937788	2	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.038000000000000006	90	3	3	0.6765654237636909	3	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.03350000000000001	0	4	4	0.37519214161432046	4	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.6829915839764453	5	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.02900000000000001	90	3	3	0.49241167821662657	6	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.6952510157634606	7	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.004999999999999998	0	4	4	1.2797378387750769	8	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.004999999999999998	90	3	3	0.8726379973265921	9	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.6263952946760583	10	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.004999999999999998	90	3	3	0.8352341737324878	11	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.0005	90	3	3	0.9215835656184481	12	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.9813520395331352	13	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.666538156262277	14	8	8	2021_Apr_07_1358	Motor	
0.0005	0	0.0005	0	3	4	0.735203415714409	15	8	8	2021_Apr_07_1358	Motor	
0.0425	0	0.006500000000000007	90	4	3	1.5791542812204398	16	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.7487188959062223	17	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.7624609332850696	18	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.7752053510503174	19	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.011000000000000006	0	4	4	1.1420294685621002	20	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.8827397599031883	21	8	8	2021_Apr_07_1358	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.6694561360325224	22	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.6461261216979892	23	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.006500000000000007	90	3	3	0.7571003598418429	24	8	8	2021_Apr_07_1358	Motor	
0.0005	0	0.009499999999999998	0	3	4	0.8465716329665156	25	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.006500000000000007	90	3	3	0.6664794049916054	26	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.006500000000000007	90	3	3	1.2773628282632217	27	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.013999999999999999	90	3	3	1.3300293103561671	28	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.013999999999999999	0	4	4	1.0827932120394053	29	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.002000000000000007	90	3	3	1.002487137119715	30	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.9912403007604098	31	8	8	2021_Apr_07_1358	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.5586113042820671	32	8	8	2021_Apr_07_1358	Motor	
0.0425	1	0.002000000000000007	90	3	3	1.2182532901672403	33	8	8	2021_Apr_07_1358	Motor	
0.0425	0	0.002000000000000007	90	4	3	0.7671383792098823	34	8	8	2021_Apr_07_1358	Motor	
0.0005	0	0.009499999999999998	90	4	3	1.5176977642645397	35	8	8	2021_Apr_07_1358	Motor	
