start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,90,3,3,1.833869838672058,0,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.05,0,4,4,0.6294238650732495,1,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.045500000000000006,0,4,4,0.5791942167246589,2,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.060500000000000005,90,3,3,3.76081512971939,3,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.04100000000000001,90,3,3,0.5912796986713147,4,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.05600000000000001,0,4,4,0.3162043300069399,5,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.03650000000000001,0,4,4,0.31190319940992595,6,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.05150000000000001,0,4,4,0.4636104998120345,7,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.032000000000000015,0,4,4,0.6313853127199991,8,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.047000000000000014,90,3,3,0.5020223108909931,9,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.027500000000000014,90,3,3,0.8377447345613973,10,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,0,4,4,0.3276807955152208,11,8,8,2021_Apr_07_1354,Motor,
0.065,0,0.03800000000000002,90,4,3,0.46117520204870743,12,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.023000000000000013,0,4,4,1.1468969921269263,13,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.018500000000000013,90,3,3,0.8507502690846422,14,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,0,4,4,1.3565595409567095,15,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,90,3,3,0.594303277130507,16,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.014000000000000012,90,3,3,2.243846188405655,17,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,0,4,4,0.570522068398077,18,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.009500000000000012,0,4,4,1.1302546387584016,19,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.03800000000000002,0,4,4,1.8499304392636304,20,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,90,3,3,1.1194973963202983,21,8,8,2021_Apr_07_1354,Motor,
0.065,0,0.03800000000000002,0,3,4,1.2734994522307943,22,8,8,2021_Apr_07_1354,Motor,
0.05,0,0.0005000000000000126,0,3,4,1.9851359285522676,23,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,0,4,4,0.7637388694181482,24,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,0,4,4,2.5216218115435822,25,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,0,4,4,3.2812941714515773,26,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,0,4,4,1.0618600959450077,27,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,90,3,3,1.7006791723674723,28,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.04250000000000002,90,3,3,0.672179814215383,29,8,8,2021_Apr_07_1354,Motor,
0.05,0,0.0005000000000000126,0,3,4,0.7950886241795843,30,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.03800000000000002,0,4,4,0.5157067489849396,31,8,8,2021_Apr_07_1354,Motor,
0.065,1,0.03800000000000002,90,3,3,0.5145178997457833,32,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,90,3,3,0.7174182925344894,33,8,8,2021_Apr_07_1354,Motor,
0.05,1,0.005000000000000012,90,3,3,0.7541470525102341,34,8,8,2021_Apr_07_1354,Motor,
