subject_id,trial,effector_order,block,condition,stim1,gabor.contrast,pressed_gabor,expected_gabor,pressed_cue,expected_cue,rt_gabor,rt_cue,accuracy_gabor,accuracy_cue,congruency,SDT,pressed_conf,conf,rt_conf,trial_start_time_rel2bloc,bloc_start_time_rel2exp,exp_start_date,effector
8,1,feet1,1,cue,white,-1,-1,-1,q,q,-1,0.7871268176004378,-1,1,none,none,-1,-1,-1,0,32069,12:11:09.157812,feet
8,2,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.2600172260927138,-1,1,none,none,-1,-1,-1,3199,32069,12:11:09.157812,feet
8,3,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.2918801208361401,-1,1,none,none,-1,-1,-1,5799,32069,12:11:09.157812,feet
8,4,feet1,1,gabor,90,0.01722543139318369,3,3,-1,q,0.33557933007205065,-1,1,-1,congruent,CR,c,2,1.7815680812723258,8533,32069,12:11:09.157812,feet
8,5,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.20035719373663596,-1,1,none,none,-1,-1,-1,13898,32069,12:11:09.157812,feet
8,6,feet1,1,gabor,0,0.01722543139318369,4,4,-1,q,0.3422355289881125,-1,1,-1,incongruent,hit,c,3,2.1221290006214986,16634,32069,12:11:09.157812,feet
8,7,feet1,1,cue,white,-1,-1,-1,q,q,-1,0.2069077935589121,-1,1,none,none,-1,-1,-1,22332,32069,12:11:09.157812,feet
8,8,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.2566683908116829,-1,1,none,none,-1,-1,-1,25083,32069,12:11:09.157812,feet
8,9,feet1,1,gabor,90,0.01722543139318369,3,3,-1,c,0.28743190298382615,-1,1,-1,incongruent,CR,4,4,1.5694682682401435,27782,32069,12:11:09.157812,feet
8,10,feet1,1,gabor,90,0.01722543139318369,3,3,-1,c,0.41631079771832447,-1,1,-1,incongruent,CR,4,4,1.515249085223786,33083,32069,12:11:09.157812,feet
8,11,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.26994046899062596,-1,1,none,none,-1,-1,-1,38365,32069,12:11:09.157812,feet
8,12,feet1,1,cue,white,-1,-1,-1,q,q,-1,0.22281562513308018,-1,1,none,none,-1,-1,-1,40965,32069,12:11:09.157812,feet
8,13,feet1,1,cue,white,-1,-1,-1,q,q,-1,0.4875694506044965,-1,1,none,none,-1,-1,-1,43733,32069,12:11:09.157812,feet
8,14,feet1,1,gabor,90,0.01722543139318369,3,3,-1,q,0.4282565512721703,-1,1,-1,congruent,CR,3,3,1.4423411664820378,49380,32069,12:11:09.157812,feet
8,15,feet1,1,cue,white,-1,-1,-1,q,q,-1,0.21003928670324967,-1,1,none,none,-1,-1,-1,54481,32069,12:11:09.157812,feet
8,16,feet1,1,cue,black,-1,-1,-1,c,c,-1,0.39583378932957203,-1,1,none,none,-1,-1,-1,57232,32069,12:11:09.157812,feet
