start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	1	0.0005	90	3	3	0.40073281931540805	0	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.0425	0	4	4	0.2773500694459017	1	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.038000000000000006	0	4	4	0.350169668945	2	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.0005	90	4	3	0.31715785605433666	3	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.41795276763696165	4	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.48260552517513133	5	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.46928583140470437	6	8	8	2021_Apr_14_1148	Motor	
0.0425	0	0.02900000000000001	0	3	4	0.362212189668071	7	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.3540829793842022	8	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.3178601860311119	9	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.517609128984077	10	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.013999999999999999	90	4	3	0.3703540718433942	11	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.0185	0	4	4	0.3152739682104766	12	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	3.470827962179328	13	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.0185	0	3	4	0.3675009763117032	14	8	8	2021_Apr_14_1148	Motor	
0.0425	0	0.02900000000000001	90	4	3	0.30833169174729846	15	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.023	0	4	4	0.3701636094767764	16	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	2.3178348422484305	17	8	8	2021_Apr_14_1148	Motor	
0.0425	0	0.03350000000000001	90	4	3	0.4255881581559606	18	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.023	0	4	4	0.41737600458327506	19	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.038000000000000006	0	4	4	0.44315255152378086	20	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.023	90	3	3	0.5019036636740566	21	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.0185	90	3	3	0.5917009095730918	22	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.038000000000000006	90	3	3	0.3895569791593516	23	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.0185	90	3	3	0.39733560044987826	24	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.038000000000000006	90	3	3	0.43521725957680246	25	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	0	4	4	0.36576415920649197	26	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.0185	0	4	4	0.4957823721704244	27	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.44150789362834075	28	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	0	4	4	0.415450645095234	29	8	8	2021_Apr_14_1148	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.4230284361080976	30	8	8	2021_Apr_14_1148	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.4500003647970061	31	8	8	2021_Apr_14_1148	Motor	
0.0005	1	0.0185	90	3	3	0.44163576453161113	32	8	8	2021_Apr_14_1148	Motor	
