start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,90,3,3,0.1963640119822685,0,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.05,90,3,3,2.890831656227647,1,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.045500000000000006,90,3,3,0.34848814736551503,2,8,8,2021_Apr_14_1146,Motor,
0.065,1,0.060500000000000005,0,4,4,0.2581736579027165,3,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.04100000000000001,0,4,4,0.2640495755108532,4,8,8,2021_Apr_14_1146,Motor,
0.065,1,0.05600000000000001,0,4,4,0.4187699126291591,5,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.03650000000000001,0,4,4,0.30061182195299807,6,8,8,2021_Apr_14_1146,Motor,
0.065,1,0.05150000000000001,0,4,4,0.3032506473225567,7,8,8,2021_Apr_14_1146,Motor,
0.065,1,0.047000000000000014,0,4,4,0.2620846643619643,8,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.032000000000000015,0,4,4,0.2806789368974023,9,8,8,2021_Apr_14_1146,Motor,
0.065,1,0.04250000000000002,0,4,4,0.3545533753501786,10,8,8,2021_Apr_14_1146,Motor,
0.05,1,0.027500000000000014,0,4,4,0.23750887512392183,11,8,8,2021_Apr_14_1146,Motor,
