start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0425	1	0.0425	0	4	4	0.6717926387063926	0	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0005	0	4	4	0.670460170133083	1	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.038000000000000006	90	3	3	0.3882437104221026	2	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.0005	90	4	3	0.6521158794530493	3	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.004999999999999999	90	4	3	0.7789058321031916	4	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.03350000000000001	0	4	4	0.5686023556663713	5	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.009499999999999998	90	3	3	1.2084794920792774	6	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.02900000000000001	0	4	4	0.430322069558315	7	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.632955979770486	8	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.5657304442956956	9	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.390440555580426	10	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.8672362105826323	11	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.004999999999999998	90	4	3	0.6321553466350451	12	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.8583286389748537	13	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.7921948061375588	14	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.6899184352605516	15	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.009499999999999998	90	4	3	0.7006177355033287	16	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.013999999999999999	0	4	4	0.5814850611841393	17	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.006500000000000007	90	4	3	1.2062603751110146	18	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.011000000000000006	0	4	4	0.9480137578339054	19	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.013999999999999999	0	3	4	0.8727692191314418	20	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.011000000000000006	0	3	4	0.901392717656563	21	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	90	3	3	0.7663226440163271	22	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	0	4	4	1.3790665731248737	23	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	0	4	4	0.715999491589173	24	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.0185	0	3	4	1.1105929715540697	25	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.9552643836523202	26	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.8270736110152939	27	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.023	90	4	3	0.5718567277563125	28	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.011000000000000006	0	3	4	0.8544786879920139	29	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.7434391282658908	30	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	90	3	3	0.5191497237719886	31	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.015500000000000007	0	3	4	0.7959648858050059	32	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	90	3	3	0.8256605031347135	33	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6975584337378677	34	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.023	90	4	3	1.1792235509801685	35	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.8169990734149906	36	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6826820173191663	37	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.0275	0	3	4	0.7345092848481727	38	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.032	0	4	4	0.5683339419683762	39	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.8770323505705164	40	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.8777400565013522	41	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.032	0	4	4	0.7085123237993685	42	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.032	0	4	4	0.5973364452420356	43	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.015500000000000007	0	3	4	0.7352119988227059	44	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.6074758782870049	45	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.020000000000000007	0	3	4	0.9250695706032275	46	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.5420247915953951	47	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.7798358721265686	48	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.7404497139032173	49	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.6411969330947613	50	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	0.5601563480995537	51	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.4956118776335643	52	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	0.6886543180989975	53	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	0.7623467421144596	54	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.020000000000000007	90	4	3	1.1621883050738688	55	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.0185	0	3	4	0.98994696621412	56	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.7027105175548058	57	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	0.6533619487672695	58	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.6141282372354908	59	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	0	4	4	0.5730002699492616	60	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.5147337616417644	61	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.5754570808803692	62	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	1.042239637752573	63	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.020000000000000007	0	3	4	0.7541449564523646	64	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	0	4	4	0.6370781844179874	65	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	90	3	3	0.9487479595372861	66	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.5543464779239002	67	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.888215102666436	68	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.5905427755042183	69	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	90	3	3	0.6241382633888861	70	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.013999999999999999	90	3	3	0.9469746627455606	71	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	1.05777652850702	72	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.013999999999999999	0	4	4	1.0306636730274477	73	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	0	4	4	1.3923421072740894	74	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.4230599238380819	75	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.013999999999999999	90	4	3	1.3728550423948036	76	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.5242526560086844	77	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0185	0	4	4	0.7290304198359081	78	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6946680905257381	79	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.0185	90	4	3	0.6205091105130123	80	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	90	3	3	0.6382374704753602	81	8	8	2021_Apr_14_1415	Motor	
0.0425	0	0.015500000000000007	0	3	4	0.6820649346118444	82	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.023	0	4	4	0.917850432515479	83	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.6265463067375094	84	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.6942910057605332	85	8	8	2021_Apr_14_1415	Motor	
0.0005	0	0.023	90	4	3	0.9171895741819753	86	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.5769965236777352	87	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.9166446828548942	88	8	8	2021_Apr_14_1415	Motor	
0.0005	1	0.0275	0	4	4	0.5753841215046123	89	8	8	2021_Apr_14_1415	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.533214371153008	90	8	8	2021_Apr_14_1415	Motor	
