start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0425,1,0.0425,0,4,4,0.5152955488247244,0,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.0005,0,4,4,0.8739457850406325,1,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.038000000000000006,90,3,3,0.5397776428671932,2,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.0005,0,4,4,0.7045329659267736,3,8,8,2021_Apr_14_1424,Motor,
0.0005,0,0.0005,0,3,4,0.5842698053020285,4,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.03350000000000001,0,4,4,0.8572085205796611,5,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,1.339731486463279,6,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.634550334096275,7,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.024500000000000008,0,4,4,0.565577229608607,8,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.7301893218955229,9,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,0,4,4,1.2138427740846964,10,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.6576634798766463,11,8,8,2021_Apr_14_1424,Motor,
0.0005,0,0.0005,0,3,4,0.5664124224476836,12,8,8,2021_Apr_14_1424,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.40119553534714214,13,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.3310869525994349,14,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.6304834249731357,15,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.8321872951619298,16,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.8160509855479177,17,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.6336383419184131,18,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.6974758744472638,19,8,8,2021_Apr_14_1424,Motor,
0.0005,0,0.0005,0,3,4,0.6100455842479278,20,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.793864423818377,21,8,8,2021_Apr_14_1424,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.7187719478115469,22,8,8,2021_Apr_14_1424,Motor,
0.0005,1,0.004999999999999999,90,3,3,0.9365852478458692,23,8,8,2021_Apr_14_1424,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.7472253357955196,24,8,8,2021_Apr_14_1424,Motor,
