start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.05,0,0.05,90,4,3,0.7443419045230257,0,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.065,0,4,4,0.5903699769860395,1,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.060500000000000005,0,4,4,0.6008281272970635,2,8,8,2021_Apr_14_1412,Motor,
0.05,1,0.0545,0,4,4,0.6907040925234469,3,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.05600000000000001,0,4,4,0.5834196365922253,4,8,8,2021_Apr_14_1412,Motor,
0.05,1,0.05,0,4,4,0.49319922632457747,5,8,8,2021_Apr_14_1412,Motor,
0.05,1,0.05,0,4,4,0.5601306203207059,6,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.05150000000000001,0,4,4,0.549709717688529,7,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.047000000000000014,90,3,3,0.580200976197375,8,8,8,2021_Apr_14_1412,Motor,
0.05,1,0.05,0,4,4,0.6912420719090733,9,8,8,2021_Apr_14_1412,Motor,
0.05,1,0.045500000000000006,0,4,4,0.46092430311364296,10,8,8,2021_Apr_14_1412,Motor,
0.065,1,0.04250000000000002,0,4,4,1.078538078458223,11,8,8,2021_Apr_14_1412,Motor,
