start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,0,3,4,2.444125091965816,0,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.0425,90,3,3,0.5096765720973053,1,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.004999999999999999,0,4,4,0.6876106853933379,2,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.038000000000000006,0,4,4,0.45044750306033166,3,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0005,0,4,4,1.2540802879011608,4,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.3949688736929602,5,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.02900000000000001,0,4,4,0.4086331918711039,6,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.0005,0,3,4,2.6124241041875393,7,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.5092034952394897,8,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.004999999999999999,90,3,3,1.9487909660747391,9,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.004999999999999999,90,4,3,1.353532025613731,10,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.020000000000000007,90,3,3,1.224356699951386,11,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.7151451409017682,12,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,1.0708751307493003,13,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,2.272527597430326,14,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.9753063095859034,15,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.6290528325480409,16,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.006500000000000007,90,4,3,0.7799286391204987,17,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.011000000000000006,0,3,4,1.6325886212730438,18,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.004999999999999998,0,3,4,0.9972264333232488,19,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.7921069122980953,20,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,0,4,4,0.8647468654817203,21,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,0,4,4,1.0355391309822153,22,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.7074346025001432,23,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,0,4,4,1.3882382802121356,24,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.009499999999999998,0,3,4,2.8327604188266378,25,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,2.2015192218195807,26,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,0,4,4,1.4331671420472958,27,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.013999999999999999,0,3,4,0.98406360733361,28,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.9667003042741271,29,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.7254476182574763,30,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.7092888948282052,31,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.4781501466077316,32,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.006500000000000007,0,3,4,3.0046793137930763,33,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.7235111518652957,34,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.7881713889873936,35,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,0,4,4,0.8478005766010028,36,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,2.1336557321401415,37,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,1.2343542884877934,38,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.011000000000000006,0,3,4,3.6871103451771887,39,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.7727764235696668,40,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.7584670005853695,41,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,0,4,4,0.8472138384195205,42,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.582074610978907,43,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.7687272389362079,44,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.009499999999999998,0,3,4,1.7754616723268555,45,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.013999999999999999,90,4,3,0.8371697869774835,46,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.5960219304915881,47,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.6979189226135531,48,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.5995289198949649,49,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.020000000000000007,0,4,4,0.5263786427299237,50,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,0,4,4,0.5342877044558918,51,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.5229365477985084,52,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.5366864959592021,53,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,0,4,4,0.5474743378845233,54,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,2.0971451040386455,55,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.6710583712333573,56,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.5838252257485692,57,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.6806047703967124,58,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.6833852489103265,59,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.9120729828568983,60,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,1.1578847934974874,61,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,0,4,4,0.6185214965817067,62,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.8004287643016141,63,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.006500000000000007,90,4,3,0.7542373402025078,64,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,0,4,4,1.525890974216054,65,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.004999999999999998,90,4,3,1.720641587449336,66,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.5642501347811049,67,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.6281903888602756,68,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.5870277103235821,69,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.6787278226024682,70,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.9084008773425012,71,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.006500000000000007,90,4,3,0.701167102112322,72,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.7071492972199849,73,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.5887944527130458,74,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.7744598399217466,75,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.6390473491569537,76,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.5000464629056296,77,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.5059691394149013,78,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,0,4,4,1.4656869521409135,79,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.6553965321008945,80,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,90,3,3,0.7852749452044918,81,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,90,3,3,1.3348888806967807,82,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.7374830467992979,83,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.004999999999999998,0,4,4,0.6004789135208739,84,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,90,3,3,1.1071288689008725,85,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.002000000000000007,0,4,4,0.7639661350694951,86,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.004999999999999998,90,3,3,0.6196780773416322,87,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.004999999999999998,90,3,3,0.6174924008191738,88,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.002000000000000007,90,3,3,2.2262950862982507,89,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.0005,90,4,3,1.8049007229783456,90,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.002000000000000007,90,4,3,0.6616137296737179,91,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.004999999999999999,90,4,3,0.47140227353384034,92,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,90,3,3,2.484290929980034,93,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.009499999999999998,0,3,4,1.0118553367829008,94,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,0,4,4,0.6356041022522732,95,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,0,4,4,0.8152988140823254,96,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.8313312044874692,97,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.013999999999999999,0,3,4,1.2389376045412064,98,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.002000000000000007,0,4,4,0.7806232787606859,99,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.002000000000000007,90,3,3,0.5824132910020126,100,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.4612226732833733,101,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.4171727667471714,102,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.002000000000000007,0,3,4,0.5567684549891965,103,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,90,3,3,0.7364658547562613,104,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.0185,90,3,3,0.5872734645354285,105,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.006500000000000007,0,4,4,0.8621192153682387,106,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.5648986955061446,107,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,0,4,4,3.1296940974443714,108,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.006500000000000007,0,3,4,1.4063430698079173,109,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,0,4,4,1.3849685972195402,110,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,90,3,3,0.64771364104854,111,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.011000000000000006,0,4,4,0.9955107617306567,112,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.009499999999999998,90,4,3,0.7083243095457874,113,9,1,2021_Apr_08_1000,Motor,
0.0425,0,0.011000000000000006,0,3,4,1.5532123147431776,114,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.7117825320979136,115,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,0,4,4,1.654559431816324,116,9,1,2021_Apr_08_1000,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.7441886808683194,117,9,1,2021_Apr_08_1000,Motor,
0.0425,1,0.015500000000000007,0,4,4,1.4252315849457773,118,9,1,2021_Apr_08_1000,Motor,
0.0005,0,0.013999999999999999,0,3,4,1.3158513770681566,119,9,1,2021_Apr_08_1000,Motor,
