start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,0,4,4,1.3112415656387384,0,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.05,0,4,4,0.8869880056581678,1,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.045500000000000006,0,4,4,0.46371784651728376,2,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.060500000000000005,90,3,3,0.4523378905378195,3,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.04100000000000001,90,3,3,0.47613573005128274,4,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.05600000000000001,90,3,3,0.47474568278948936,5,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.03650000000000001,90,3,3,0.3725065547255326,6,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.05150000000000001,90,3,3,0.2993251742936991,7,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.032000000000000015,0,4,4,0.32007796552352374,8,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.047000000000000014,0,4,4,0.3898656338847104,9,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.027500000000000014,0,4,4,0.4956658940768648,10,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.04250000000000002,0,4,4,0.42821442669355747,11,9,1,2021_Apr_08_0955,Motor,
0.05,0,0.023000000000000013,90,4,3,1.024071625065062,12,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03800000000000002,0,4,4,0.45169739362290784,13,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,0,4,4,0.3734696040437484,14,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.027500000000000014,0,4,4,0.43103484026732986,15,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.027500000000000014,0,4,4,0.5470938028465753,16,9,1,2021_Apr_08_0955,Motor,
0.065,0,0.029000000000000022,90,4,3,0.3227344149590863,17,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.027500000000000014,90,3,3,0.5944506394985183,18,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,90,3,3,0.5072501332447246,19,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.023000000000000013,90,3,3,0.6340669864543997,20,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,90,3,3,0.5675194337823086,21,9,1,2021_Apr_08_0955,Motor,
0.065,0,0.03350000000000002,0,3,4,0.13933188645523842,22,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.023000000000000013,0,4,4,0.5200950147223011,23,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.023000000000000013,0,4,4,0.42092359040771044,24,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03800000000000002,90,3,3,0.4397303154714791,25,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03800000000000002,0,4,4,0.35756431464551497,26,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.018500000000000013,0,4,4,0.5273743312795887,27,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03800000000000002,90,3,3,0.569339934906111,28,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.018500000000000013,90,3,3,0.6449608098828321,29,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.018500000000000013,90,3,3,0.7715975713335865,30,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,0,4,4,0.3543883254460525,31,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,0,4,4,0.6271835645725332,32,9,1,2021_Apr_08_0955,Motor,
0.05,0,0.014000000000000012,0,3,4,0.615995604071486,33,9,1,2021_Apr_08_0955,Motor,
0.05,1,0.018500000000000013,90,3,3,0.6776718474725385,34,9,1,2021_Apr_08_0955,Motor,
0.065,1,0.03350000000000002,0,4,4,0.5684782592002193,35,9,1,2021_Apr_08_0955,Motor,
