start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0005	1	0.0005	0	4	4	0.27672799478068555	0	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.06	0	4	4	0.16494271345140987	1	1	1	2021_Mar_24_1044	Motor	
0.06	0	0.0555	90	4	3	0.03910660862175064	2	1	1	2021_Mar_24_1044	Motor	
0.06	0	0.06	90	4	3	0.2413277223733985	3	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.0645	0	4	4	0.5689460327189408	4	1	1	2021_Mar_24_1044	Motor	
0.0005	1	0.0005	0	4	4	0.5129869606239481	5	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.0645	0	4	4	0.26667611298580596	6	1	1	2021_Mar_24_1044	Motor	
0.0005	1	0.0005	0	4	4	0.23405751272275666	7	1	1	2021_Mar_24_1044	Motor	
0.0005	1	0.0005	90	3	3	0.19804783754170785	8	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.0645	0	4	4	0.37494513647061467	9	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.060000000000000005	0	4	4	0.6247960497489657	10	1	1	2021_Mar_24_1044	Motor	
0.0005	1	0.0005	0	4	4	0.02839694046792829	11	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.060000000000000005	0	4	4	0.5372006409672849	12	1	1	2021_Mar_24_1044	Motor	
0.0005	0	0.0005	0	3	4	0.32893964301365486	13	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.060000000000000005	0	4	4	0.45162159889309805	14	1	1	2021_Mar_24_1044	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.4570528483147882	15	1	1	2021_Mar_24_1044	Motor	
0.06	1	0.05550000000000001	0	4	4	0.6741357866114868	16	1	1	2021_Mar_24_1044	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.3173717422198479	17	1	1	2021_Mar_24_1044	Motor	
