start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.04,1,0.04,0,4,4,0.6085495330792128,0,1,1,2021_Mar_24_1031,Motor,
0.06,0,0.06,0,3,4,0.041202078650940166,1,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.035500000000000004,0,4,4,0.41591988907089217,2,1,1,2021_Mar_24_1031,Motor,
0.06,0,0.0645,90,4,3,0.5193175303329554,3,1,1,2021_Mar_24_1031,Motor,
0.04,0,0.031000000000000003,0,3,4,0.00104523903610243,4,1,1,2021_Mar_24_1031,Motor,
0.06,1,0.069,0,4,4,0.08741608231957798,5,1,1,2021_Mar_24_1031,Motor,
0.06,1,0.0645,0,4,4,0.591171378114268,6,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.035500000000000004,0,4,4,0.671973885152056,7,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.035500000000000004,0,4,4,0.575780406107242,8,1,1,2021_Mar_24_1031,Motor,
0.06,0,0.0645,90,4,3,0.49648931010756314,9,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.035500000000000004,90,3,3,0.6381779509858916,10,1,1,2021_Mar_24_1031,Motor,
0.06,0,0.069,90,4,3,0.772930843344966,11,1,1,2021_Mar_24_1031,Motor,
0.04,0,0.031000000000000003,0,3,4,0.057857167816791844,12,1,1,2021_Mar_24_1031,Motor,
0.06,0,0.07350000000000001,90,4,3,0.59429327134103,13,1,1,2021_Mar_24_1031,Motor,
0.06,1,0.07800000000000001,0,4,4,0.492089091843809,14,1,1,2021_Mar_24_1031,Motor,
0.04,0,0.035500000000000004,90,4,3,0.3759673357042175,15,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.04,0,4,4,0.49645705438410914,16,1,1,2021_Mar_24_1031,Motor,
0.04,0,0.04,90,4,3,0.17514742593562005,17,1,1,2021_Mar_24_1031,Motor,
0.06,1,0.07800000000000001,0,4,4,0.2988177893385,18,1,1,2021_Mar_24_1031,Motor,
0.04,1,0.0445,0,4,4,0.3409042124055759,19,1,1,2021_Mar_24_1031,Motor,
0.06,1,0.07800000000000001,0,4,4,0.1278693673923499,20,1,1,2021_Mar_24_1031,Motor,
0.04,0,0.0445,90,4,3,0.6464868717287118,21,1,1,2021_Mar_24_1031,Motor,
