start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,0,4,3,0.31351833526673545,0,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.0425,90,4,4,0.25629130604579586,1,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.038000000000000006,0,3,3,0.20702414456081897,2,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.004999999999999999,90,3,4,0.35696218669227164,3,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.009499999999999998,0,4,3,0.2816362406877033,4,3,3,2021_Mar_30_1522,Motor,
0.0425,0,0.03350000000000001,0,4,3,0.26529103686425515,5,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.038000000000000006,90,4,4,0.4311027348628613,6,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.013999999999999999,90,3,4,0.27102564368419735,7,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.0185,0,4,3,0.2947282244106191,8,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.038000000000000006,90,4,4,0.2664361150436889,9,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.023,90,3,4,0.17941247735848265,10,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.038000000000000006,0,3,3,0.30117322513842737,11,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.03350000000000001,0,3,3,0.44646106714981215,12,3,3,2021_Mar_30_1522,Motor,
0.0005,1,0.0275,0,3,3,0.2721895377026158,13,3,3,2021_Mar_30_1522,Motor,
0.0425,0,0.03350000000000001,90,3,4,0.40535652366224895,14,3,3,2021_Mar_30_1522,Motor,
0.0005,1,0.023,0,3,3,0.2630534880531741,15,3,3,2021_Mar_30_1522,Motor,
0.0425,0,0.038000000000000006,0,4,3,0.16773129753642024,16,3,3,2021_Mar_30_1522,Motor,
0.0425,0,0.0425,0,4,3,0.14751732689137498,17,3,3,2021_Mar_30_1522,Motor,
0.0005,0,0.023,90,3,4,0.18210275828664635,18,3,3,2021_Mar_30_1522,Motor,
0.0005,1,0.0275,90,4,4,0.23475293075875925,19,3,3,2021_Mar_30_1522,Motor,
0.0005,1,0.0275,0,3,3,0.3055431076622881,20,3,3,2021_Mar_30_1522,Motor,
0.0425,0,0.047,90,3,4,0.2532968997259104,21,3,3,2021_Mar_30_1522,Motor,
0.0425,1,0.0515,90,4,4,0.23923225234420897,22,3,3,2021_Mar_30_1522,Motor,
