start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,0,0.065,90,3,4,0.41685492105216326,0,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.05,90,4,4,0.3766059222276681,1,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.0695,0,4,3,0.3814995762596709,2,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.07400000000000001,0,3,3,0.07908565776142495,3,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.045500000000000006,90,4,4,0.18608979609393828,4,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.22169089877888837,5,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,90,4,4,0.23746202752568024,6,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.2811954124681506,7,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,90,4,4,0.3190233120561743,8,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.47978775734020473,9,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.065,0,3,3,0.19130792734324586,10,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,0,3,3,0.1561925804924158,11,3,3,2021_Mar_30_1509,Motor,
0.05,0,0.027500000000000014,90,3,4,0.22157454777664043,12,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.065,0,3,3,0.17419665008958418,13,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,0,3,3,0.07412710828589297,14,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,0,3,3,0.10929160671514637,15,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.065,90,3,4,0.15504443033898951,16,3,3,2021_Mar_30_1509,Motor,
0.05,0,0.032000000000000015,0,4,3,0.3087444882072532,17,3,3,2021_Mar_30_1509,Motor,
0.05,0,0.03650000000000001,90,3,4,0.28238964222646246,18,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.2222123663068487,19,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.18598227701590986,20,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,0,3,3,0.17972658666485586,21,3,3,2021_Mar_30_1509,Motor,
0.05,0,0.04100000000000001,90,3,4,0.10751562194604958,22,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.22319654986631576,23,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.045500000000000006,0,3,3,0.11106413551397054,24,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.045500000000000006,0,3,3,0.10656369410980915,25,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.065,0,4,3,0.10109250903065004,26,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.3230234057513144,27,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.045500000000000006,0,3,3,0.7027581331462898,28,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,0,3,3,0.22157109180625412,29,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.20224914551135953,30,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,0,3,3,0.15862174365986448,31,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.25227546848554994,32,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.065,90,3,4,0.16287988314206814,33,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,90,4,4,0.22266279444386328,34,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.16937979539886783,35,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,0,3,3,0.15015922423447137,36,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,90,4,4,0.15190372127369756,37,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.10159439272649706,38,3,3,2021_Mar_30_1509,Motor,
0.05,0,0.03650000000000001,0,4,3,0.2744071186846213,39,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.20012525972572348,40,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,90,4,4,0.1687296889741674,41,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.065,0,3,3,0.10968289935942721,42,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.065,90,4,4,0.20945484371520706,43,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,90,4,4,0.32306065343186674,44,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.065,0,4,3,0.24577363624530335,45,3,3,2021_Mar_30_1509,Motor,
0.065,0,0.0695,90,3,4,0.09522465535337687,46,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.04100000000000001,0,3,3,0.18321481274972484,47,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.07400000000000001,0,3,3,0.37984647043674613,48,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,90,4,4,0.20958309861532598,49,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,0,3,3,0.11434154740686608,50,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.07400000000000001,0,3,3,0.17416554635622106,51,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.07400000000000001,90,4,4,0.15585159141676286,52,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.03650000000000001,0,3,3,0.1366083644467153,53,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,0,3,3,0.254086396955131,54,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,90,4,4,0.2208480260073884,55,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,90,4,4,0.21467105498106775,56,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.18432072326550042,57,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.032000000000000015,0,3,3,0.18020351057464268,58,3,3,2021_Mar_30_1509,Motor,
0.05,1,0.027500000000000014,0,3,3,0.18887492420867602,59,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.0695,0,3,3,0.1945953231505655,60,3,3,2021_Mar_30_1509,Motor,
0.065,1,0.065,0,3,3,0.6631972564202897,61,3,3,2021_Mar_30_1509,Motor,
