start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0425	1	0.0425	90	3	3	0.5900923854132998	0	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.7987369628826855	1	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.038000000000000006	0	4	4	0.5713929695848492	2	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	0	3	4	0.7400018201369676	3	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.7780004523483512	4	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.03350000000000001	90	3	3	0.5158853067696327	5	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.9034881742882135	6	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.02900000000000001	0	4	4	0.4532687402170268	7	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.5871621177975612	8	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.46296730779795325	9	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.6886958331524511	10	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.7525231366707885	11	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.015500000000000007	90	4	3	0.5192164654072258	12	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	90	3	3	0.6608746105812315	13	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.3986193067430577	14	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	0	3	4	0.697564971032989	15	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.7311891295539681	16	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.4771762833806861	17	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6859114837243396	18	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.8746681801203522	19	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.009499999999999998	0	4	4	0.9544036381230399	20	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.015500000000000007	90	4	3	1.0531764277620823	21	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.5769013811914192	22	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.9567214333437732	23	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	0	4	4	0.7723879780314746	24	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999998	0	4	4	0.641121511835081	25	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6120365609531291	26	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999998	0	4	4	0.7458911550165794	27	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.5964233148115454	28	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999998	90	3	3	1.0442930820572656	29	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.695173832722503	30	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.7449231030368537	31	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	0	3	4	1.1615337383991573	32	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.015500000000000007	0	3	4	0.8484355458240316	33	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.5873472034945735	34	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.8069103014022403	35	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.8287139346866752	36	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.6654360899447056	37	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.6842307365914166	38	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.020000000000000007	90	4	3	0.6861422648580628	39	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.024500000000000008	0	4	4	0.6075242329789035	40	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	90	4	3	0.718193194916239	41	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.870854723467346	42	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.5677738145204785	43	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.024500000000000008	90	3	3	0.5324623809465265	44	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.683294172220485	45	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.5551269315474201	46	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.6798489669963601	47	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.7805713004236168	48	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	90	3	3	0.5693178593501216	49	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.020000000000000007	90	3	3	0.47923334583902033	50	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	90	3	3	0.726834239627351	51	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6818779978057137	52	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.6475945194688393	53	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.857224812698405	54	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	90	4	3	0.7460055855954124	55	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.6107663047259848	56	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6226617090323998	57	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.7723849060676002	58	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.011000000000000006	0	3	4	0.6012136553326854	59	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.5467358677269658	60	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	0	4	4	0.5456472412442963	61	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.7425584603952302	62	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	1.238198002531135	63	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.6440176038777281	64	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.5928559991007205	65	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.011000000000000006	90	4	3	0.6404925276438007	66	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.9633096395482426	67	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	90	3	3	0.8432066827444942	68	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.7878956254899094	69	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	90	4	3	0.8447580234824272	70	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6053700197262515	71	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.7001519469158666	72	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	0.5894933528470574	73	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.6941343576290819	74	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.004999999999999999	90	3	3	1.0210425547375053	75	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.011000000000000006	90	3	3	0.6527293037142954	76	9	1	2021_Apr_15_1645	Motor	
0.0425	0	0.011000000000000006	0	3	4	0.9115897057017719	77	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.0005	0	4	4	0.7423599348585412	78	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.0005	90	4	3	0.8663174358007382	79	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	0.6491723558756348	80	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	0	4	4	1.3017876130033983	81	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.004999999999999999	0	3	4	0.5794461175937613	82	9	1	2021_Apr_15_1645	Motor	
0.0005	1	0.009499999999999998	90	3	3	0.4684112082068168	83	9	1	2021_Apr_15_1645	Motor	
0.0425	1	0.015500000000000007	90	3	3	0.5671463663093164	84	9	1	2021_Apr_15_1645	Motor	
0.0005	0	0.009499999999999998	0	3	4	0.9100798364488583	85	9	1	2021_Apr_15_1645	Motor	
