start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0005,0,0.0005,90,4,3,0.5642241625937459,0,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.0425,0,4,4,0.5399337761846255,1,9,1,2021_Apr_15_1654,Motor,
0.0005,0,0.004999999999999999,90,4,3,0.6827116514505178,2,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.038000000000000006,0,4,4,0.4613983032795659,3,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.03350000000000001,90,3,3,0.4791423389688134,4,9,1,2021_Apr_15_1654,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.6651891810106463,5,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.02900000000000001,90,3,3,0.42688058784915484,6,9,1,2021_Apr_15_1654,Motor,
0.0005,1,0.013999999999999999,90,3,3,0.5887046266434481,7,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.024500000000000008,90,3,3,0.5004172108201601,8,9,1,2021_Apr_15_1654,Motor,
0.0005,1,0.009499999999999998,90,3,3,1.0862714408540342,9,9,1,2021_Apr_15_1654,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.7070116377435625,10,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.49972294743929524,11,9,1,2021_Apr_15_1654,Motor,
0.0005,1,0.009499999999999998,0,4,4,0.5574593185847334,12,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.015500000000000007,0,4,4,0.7073030901228776,13,9,1,2021_Apr_15_1654,Motor,
0.0425,0,0.011000000000000006,0,3,4,0.7410566550424846,14,9,1,2021_Apr_15_1654,Motor,
0.0005,0,0.004999999999999998,0,3,4,0.6978191758753383,15,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.015500000000000007,90,3,3,0.568603244220867,16,9,1,2021_Apr_15_1654,Motor,
0.0005,1,0.009499999999999998,90,3,3,0.956329758209904,17,9,1,2021_Apr_15_1654,Motor,
0.0425,0,0.015500000000000007,0,3,4,0.7202798250036722,18,9,1,2021_Apr_15_1654,Motor,
0.0005,0,0.009499999999999998,0,3,4,0.7839174348810047,19,9,1,2021_Apr_15_1654,Motor,
0.0425,1,0.020000000000000007,90,3,3,0.5966291362528864,20,9,1,2021_Apr_15_1654,Motor,
