start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.065,1,0.065,0,4,4,1.4707013557745086,0,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.05,0,4,4,0.8212452274201496,1,9,1,2021_Apr_15_1643,Motor,
0.065,1,0.060500000000000005,0,4,4,0.7311434341245331,2,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.045500000000000006,0,4,4,0.56471414050975,3,9,1,2021_Apr_15_1643,Motor,
0.065,1,0.05600000000000001,90,3,3,0.5514782088466745,4,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.04100000000000001,90,3,3,0.7572973493952304,5,9,1,2021_Apr_15_1643,Motor,
0.065,1,0.05150000000000001,90,3,3,0.73378647330901,6,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.03650000000000001,0,4,4,0.6737280829947849,7,9,1,2021_Apr_15_1643,Motor,
0.065,1,0.047000000000000014,0,4,4,0.7693309919850435,8,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.032000000000000015,90,3,3,0.63208303205829,9,9,1,2021_Apr_15_1643,Motor,
0.05,1,0.027500000000000014,0,4,4,0.6148589259100845,10,9,1,2021_Apr_15_1643,Motor,
