start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.02,1,0.02,0,n,n,1.112931356240665,0,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.0325,0,n,n,0.6205412890114985,1,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.029500000000000002,0,n,n,0.5093244523905014,2,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.017,90,n,x,0.5842468478182354,3,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.02,0,n,n,0.4831781241888393,4,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,0,n,n,0.5940213376094334,5,1,1,2021_Jun_02_1303,Motor,
0.0325,0,0.023500000000000004,90,n,x,0.572642257129587,6,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.02,0,n,n,0.6234411887131728,7,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.7372922032940323,8,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.02,90,x,x,0.6341526164375182,9,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.5230951360633753,10,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.017,0,n,n,0.752914491357842,11,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.7246661966617012,12,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.017,0,n,n,0.6733811325275383,13,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.017,0,n,n,0.6812372035013823,14,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,0,n,n,0.60808884629148,15,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.014000000000000002,90,n,x,0.4376606042175126,16,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,0,n,n,0.38229026029978286,17,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.017,90,n,x,0.7372330686868054,18,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.02,90,n,x,0.6611986354497503,19,1,1,2021_Jun_02_1303,Motor,
0.0325,0,0.023500000000000004,90,n,x,0.5247612728225022,20,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,0,n,n,0.4028103530105227,21,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.023,90,x,x,0.2925638615359958,22,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,0,n,n,0.5234126965841597,23,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.023,0,n,n,0.6002055119597571,24,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.023,0,n,n,0.36313755938419945,25,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,0,n,n,0.5100306117590208,26,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.02,90,n,x,0.504687377602977,27,1,1,2021_Jun_02_1303,Motor,
0.0325,0,0.023500000000000004,90,n,x,0.598613869446126,28,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.023,0,n,n,0.4723994980470252,29,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.4562004555668864,30,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,0,n,n,0.5361024457151871,31,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.7566856665391697,32,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.023,0,n,n,0.6684264972191158,33,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.023,90,n,x,0.6122305727454886,34,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,90,x,x,0.734279026260424,35,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.026,0,n,n,0.5779624518283981,36,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,0,n,n,0.5567212241016932,37,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.026,90,n,x,0.6263295686860602,38,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,0,n,n,0.3671203135824044,39,1,1,2021_Jun_02_1303,Motor,
0.0325,0,0.020500000000000004,90,n,x,0.39516202114407406,40,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.028999999999999998,90,n,x,0.3019351608230636,41,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.023500000000000004,0,n,n,0.3156067748292344,42,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.032,0,n,n,0.40445652224002515,43,1,1,2021_Jun_02_1303,Motor,
0.0325,0,0.023500000000000004,90,n,x,0.3433919764321445,44,1,1,2021_Jun_02_1303,Motor,
0.02,0,0.032,90,n,x,0.42713464412486246,45,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.397028217191405,46,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.035,90,x,x,0.4199090863012316,47,1,1,2021_Jun_02_1303,Motor,
0.0325,1,0.026500000000000003,90,x,x,0.4206859000057648,48,1,1,2021_Jun_02_1303,Motor,
0.02,1,0.035,0,n,n,0.3185155063227967,49,1,1,2021_Jun_02_1303,Motor,
