start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0165	0	0.0165	0	n	x	0.721887697091006	0	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.025	0	n	x	0.7017827815107012	1	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.01815	0	x	x	0.9315833067421408	2	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.02665	0	x	x	0.6642509433841042	3	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.0165	0	n	x	0.9070797088843392	4	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.025	0	x	x	0.898793827944246	5	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.01815	0	n	x	0.9134697980834972	6	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	0.7023238328702064	7	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.025	0	x	x	0.6612765048930669	8	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.025	90	n	n	0.737051343047824	9	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	0.6537551613964752	10	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	0	x	x	0.5615498721481345	11	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	90	n	n	0.5494125042378073	12	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.49423102547461895	13	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	0	x	x	0.605159610150622	14	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.8668222621317909	15	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	90	n	n	0.6267187212606586	16	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	0	x	x	0.6674553959019249	17	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	0.7473040551203667	18	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	0	x	x	0.7911223033352144	19	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.021700000000000004	90	x	n	0.6299988211303571	20	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.8387617027801753	21	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	90	n	n	0.51559161028581	22	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	90	n	n	0.6084293421099574	23	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.7352089268488271	24	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	0.5800139698003477	25	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.023350000000000003	90	n	n	0.655094157912572	26	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	90	n	n	0.6666251950218793	27	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	0.8135511669852349	28	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.5993570359141813	29	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	90	n	n	0.6172297786370109	30	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	0	x	x	0.8191018393818013	31	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.5329140857293169	32	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.6285960811601399	33	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.020050000000000005	0	n	x	1.022580926345654	34	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	0	x	x	0.6004118748678593	35	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	0.5862754201025382	36	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.5137538020471766	37	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	90	n	n	0.6103735174365283	38	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.6991301322595973	39	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.021449999999999997	0	n	x	0.6627456762935253	40	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	0	x	x	0.6864505609992193	41	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.021700000000000004	90	n	n	0.6573244107858045	42	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	90	n	n	0.6571738840766557	43	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	0	x	x	0.7050271696871278	44	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	0	x	x	0.9517454378310504	45	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	90	n	n	0.8395903676728267	46	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.7535056019360127	47	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	90	n	n	0.8682242341083111	48	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	90	n	n	0.7881060092022381	49	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.6709927735664678	50	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	0	x	x	0.66964033716431	51	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	0	x	x	0.48547513256562524	52	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	1.384422943188838	53	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	90	n	n	0.8192220303517388	54	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.9977570752353131	55	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	0	x	x	0.9125159502636961	56	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.016750000000000008	0	x	x	1.2741463849206411	57	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.6982189080745229	58	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.016750000000000008	0	x	x	1.0678268743167791	59	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	0.9746950010157889	60	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.016750000000000008	0	n	x	1.1236008599989873	61	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	0	x	x	0.9403054079402864	62	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	90	n	n	1.3051406791137197	63	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.018400000000000007	0	n	x	1.0149770235575488	64	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	0	x	x	1.0046851438200974	65	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	0	x	x	0.8785560495025493	66	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.01815	0	x	x	0.9583682290340221	67	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	90	n	n	0.9661791060480027	68	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.01815	90	n	n	0.905949222579693	69	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.01815	0	n	x	1.0917736769488329	70	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.020050000000000005	90	n	n	0.8624493076340514	71	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	1.1503362467165061	72	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	0	x	x	0.9501906351651996	73	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	0	x	x	0.857875906855952	74	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	1.0908037012677596	75	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.019799999999999998	0	n	x	1.1823995877412017	76	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.018400000000000007	90	n	n	0.8720876249763023	77	10	2	2021_Jun_14_1517	Motor	
0.0165	0	0.021449999999999997	0	n	x	0.9748382317866344	78	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.016750000000000008	90	n	n	0.8436975964496014	79	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.016750000000000008	0	x	x	0.7914302686940573	80	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	0	x	x	0.7382321329214392	81	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.016750000000000008	0	x	x	0.8792107638882953	82	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	0	x	x	0.7339793693927277	83	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.023099999999999996	90	n	n	0.770721326293824	84	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.015100000000000008	90	n	n	0.8865351170743452	85	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.9163305735492031	86	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.015100000000000008	90	n	n	0.5941926642035469	87	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.015100000000000008	90	n	n	0.5928229479504807	88	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	90	n	n	0.4198320475206856	89	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.013450000000000007	90	n	n	0.5337415986323322	90	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.021449999999999997	0	x	x	0.7904376372071056	91	10	2	2021_Jun_14_1517	Motor	
0.025	0	0.013450000000000007	0	n	x	1.1122023017533138	92	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	0.87414392734172	93	10	2	2021_Jun_14_1517	Motor	
0.025	1	0.015100000000000008	90	n	n	0.7059660416352926	94	10	2	2021_Jun_14_1517	Motor	
0.0165	1	0.019799999999999998	90	n	n	0.7156899902420264	95	10	2	2021_Jun_14_1517	Motor	
