start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.035,1,0.035,90,n,n,0.3762564852249852,0,10,2,2021_Jun_14_1510,Motor,
0.035,0,0.033350000000000005,90,x,n,0.23509430383091967,1,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.035,0,x,x,0.7527299285875415,2,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.025,90,n,n,0.7273350743744231,3,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.023350000000000003,90,n,n,0.7571570266218259,4,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.035,0,x,x,0.6480558822731837,5,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.035,90,n,n,0.7316673252216788,6,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.021700000000000004,90,n,n,0.45270562159657857,7,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.033350000000000005,90,n,n,0.6353505832330484,8,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.020050000000000005,0,x,x,0.7952260761412617,9,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.033350000000000005,0,x,x,0.5648733636462566,10,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.018400000000000007,90,n,n,0.6277121207413074,11,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.016750000000000008,90,n,n,0.6444244254162186,12,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.033350000000000005,90,n,n,1.1602525776734183,13,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.015100000000000008,0,x,x,0.7240542065110276,14,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.031700000000000006,0,x,x,0.5167075047165781,15,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.013450000000000007,90,n,n,0.6456635827898936,16,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.031700000000000006,0,x,x,0.7855643350003447,17,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.031700000000000006,0,x,x,0.6923141907127501,18,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.030050000000000007,0,x,x,1.034734806114102,19,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.011800000000000007,0,x,x,0.7275700803593281,20,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.030050000000000007,0,x,x,0.5923306641716408,21,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.010150000000000006,90,n,n,0.7182170725700416,22,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.030050000000000007,0,x,x,0.6606763180398048,23,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02840000000000001,90,n,n,0.7034512472018832,24,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.008500000000000006,90,x,n,0.7852652015662898,25,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02840000000000001,90,n,n,0.5442239407357192,26,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.010150000000000006,0,x,x,1.2958233830186145,27,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02840000000000001,90,n,n,0.5936927004913741,28,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.010150000000000006,0,x,x,0.7233779883108582,29,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02675000000000001,90,n,n,0.728191003034226,30,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.010150000000000006,90,x,n,0.7809237347973976,31,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02675000000000001,0,x,x,0.7107579365392667,32,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.011800000000000007,0,x,x,0.8246548157603684,33,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02675000000000001,90,n,n,0.7252849159567631,34,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.011800000000000007,0,n,x,0.7981966746656326,35,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.013450000000000007,90,n,n,0.819975047893422,36,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,1.0206574868416283,37,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.013450000000000007,0,x,x,0.8174045739378926,38,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,0.726214571984201,39,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,0.8430912656494911,40,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.013450000000000007,90,n,n,1.3587385554583307,41,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.011800000000000007,0,n,x,1.3214966348450616,42,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.023450000000000013,90,n,n,0.8914249311401363,43,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.023450000000000013,0,x,x,0.8250399644566642,44,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.013450000000000007,90,x,n,0.9178412165938425,45,10,2,2021_Jun_14_1510,Motor,
0.035,0,0.023450000000000013,0,n,x,1.0706043224972746,46,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.015100000000000008,90,x,n,0.7853884645082871,47,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,0.9432099590312646,48,10,2,2021_Jun_14_1510,Motor,
0.025,0,0.016750000000000008,0,n,x,0.8080404302445459,49,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.018400000000000007,90,n,n,0.9727201059522486,50,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,1.0753612737016738,51,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.018400000000000007,0,x,x,0.8662965706407704,52,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.02510000000000001,0,x,x,0.6890529066822637,53,10,2,2021_Jun_14_1510,Motor,
0.025,1,0.018400000000000007,0,x,x,1.379811910733224,54,10,2,2021_Jun_14_1510,Motor,
0.035,1,0.023450000000000013,0,x,x,0.8256378473297445,55,10,2,2021_Jun_14_1510,Motor,
