start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.025	1	0.025	0	n	n	0.8813043857262528	0	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.0165	0	n	n	0.7290610279796965	1	15	1	2021_Jun_21_1426	Motor	
0.0165	0	0.01485	0	x	n	0.9178135004276555	2	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.023350000000000003	90	x	x	0.7516380276629206	3	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.0165	0	n	n	0.8114852205999341	4	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.021700000000000004	90	x	x	0.6543263398834824	5	15	1	2021_Jun_21_1426	Motor	
0.0165	0	0.0165	90	n	x	1.2540485577337677	6	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.020050000000000005	90	x	x	0.8939032692978799	7	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.01815	0	n	n	0.7407129793082277	8	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.018400000000000007	90	x	x	0.745444952555772	9	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.01815	90	x	x	1.321343338200677	10	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.016750000000000008	0	n	n	0.7271710034456191	11	15	1	2021_Jun_21_1426	Motor	
0.0165	0	0.01815	0	x	n	0.7851462196249486	12	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.015100000000000008	0	n	n	0.791826584681985	13	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.9905402774529648	14	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.013450000000000007	90	x	x	0.8534539795164164	15	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.011800000000000007	90	x	x	1.1889559899227606	16	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.880045265357694	17	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.010150000000000006	90	x	x	0.6949737712056958	18	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.7815804398978798	19	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.008500000000000006	90	x	x	0.7884359067793412	20	15	1	2021_Jun_21_1426	Motor	
0.0165	0	0.01815	0	x	n	0.7392150139057776	21	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.006850000000000005	90	x	x	1.3121201567173557	22	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.6220384847692912	23	15	1	2021_Jun_21_1426	Motor	
0.025	0	0.005200000000000005	0	x	n	1.018657176353372	24	15	1	2021_Jun_21_1426	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.7484608511113038	25	15	1	2021_Jun_21_1426	Motor	
0.025	1	0.006850000000000005	90	x	x	1.0003843792273983	26	15	1	2021_Jun_21_1426	Motor	
