start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,1,0.025,0,x,x,0.6526935921565382,0,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.49145745006353536,1,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.023350000000000003,90,n,n,0.47434623851677316,2,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.6291585243679947,3,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0132,90,n,n,0.47008389143866225,4,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.01155,90,x,n,0.647653654732494,5,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.021700000000000004,0,x,x,0.5231712323056854,6,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.0132,0,n,x,0.5331712361457903,7,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.020050000000000005,0,x,x,0.8691094651367166,8,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.5730391571451037,9,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.018400000000000007,0,x,x,0.5846834285712248,10,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,90,n,n,0.8114717807666239,11,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.529295188271135,12,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.01485,0,n,x,0.6303009101839052,13,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,0.7110289958645808,14,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.7608834808706888,15,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.6725592015054644,16,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,0,x,x,0.5043738976937675,17,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.011800000000000007,90,n,n,0.6073199475158617,18,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.7401546502396741,19,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.010150000000000006,90,n,n,0.6208772831878377,20,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.008500000000000006,0,n,x,0.7627642895186,21,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.7065662032746332,22,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.010150000000000006,90,x,n,1.3763552631735365,23,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.6922884925452308,24,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.011800000000000007,90,n,n,0.6509748294965902,25,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.01485,0,n,x,0.7748804910834224,26,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.8295667880984183,27,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.011800000000000007,0,x,x,0.678377497265501,28,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.011800000000000007,90,x,n,1.0210252749502615,29,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.6910435800036794,30,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.635692971235585,31,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.7163772814601543,32,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.6982527064947135,33,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.7870562119096576,34,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.013450000000000007,0,n,x,0.9269491309996738,35,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.7315950125166637,36,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,0,x,x,0.7126298719877013,37,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.015100000000000008,0,n,x,0.7454557044220564,38,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.0132,90,x,n,0.7762152585110016,39,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,90,n,n,0.519118930618788,40,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,90,n,n,0.858859864396436,41,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.9425815769072869,42,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,0.651305449391657,43,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,0,x,x,0.7311653218521315,44,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.015100000000000008,0,n,x,0.7080342170474978,45,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.01485,0,n,x,0.7508519894208803,46,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,0,x,x,0.6704833232788587,47,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,90,n,n,0.8293056713400802,48,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,0,x,x,0.7101308310147942,49,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,0,x,x,0.8841939498479405,50,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0165,90,n,n,0.7468937665671547,51,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,0,x,x,0.6756830027197793,52,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,0,x,x,0.8184570380381047,53,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.6454318583182612,54,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,0.7452276112544496,55,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.6210696647985969,56,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,0,x,x,0.8506803819518609,57,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.6197199215566798,58,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.013450000000000007,0,n,x,0.8204088858028626,59,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0132,90,n,n,0.618285315369576,60,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.0132,0,n,x,0.7871280190183825,61,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,1.1340216319877072,62,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.015100000000000008,0,n,x,0.914646307752264,63,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,1.0874299544702808,64,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,90,n,n,0.7822186399735074,65,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,90,n,n,0.7771909903967753,66,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,0,x,x,0.7820343222620068,67,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01485,0,x,x,1.0717191735348024,68,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0132,90,n,n,0.7315462451224448,69,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.016750000000000008,0,x,x,0.6603347132841009,70,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,0.64810830508668,71,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0132,0,x,x,0.9280062698744587,72,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.0132,90,n,n,0.5848765781720431,73,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,0.6956684185806807,74,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.015100000000000008,90,n,n,0.6703669727239685,75,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,90,n,n,0.5742456701664196,76,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,0,x,x,0.5773091841292626,77,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,0,x,x,0.5871578938476887,78,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.6689093268223587,79,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,90,n,n,0.5327208097387484,80,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.009899999999999999,0,x,x,0.5375341899762134,81,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.6144760826646234,82,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.009899999999999999,0,x,x,0.5271908943977905,83,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.011800000000000007,90,n,n,0.6772454793199358,84,16,2,2021_Jun_21_1234,Motor,
0.025,0,0.011800000000000007,90,x,n,0.6209298905341711,85,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.009899999999999999,0,x,x,1.2217468787912367,86,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,0,x,x,0.5995267642756517,87,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.008249999999999999,90,x,n,0.6453366275009103,88,16,2,2021_Jun_21_1234,Motor,
0.0165,0,0.009899999999999999,90,x,n,0.7582711613058564,89,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.4707985065660978,90,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,90,n,n,0.6665270204002809,91,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.013450000000000007,90,n,n,0.6383037548212087,92,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,0,x,x,0.6111142044064763,93,16,2,2021_Jun_21_1234,Motor,
0.0165,1,0.01155,90,n,n,0.7451185566078493,94,16,2,2021_Jun_21_1234,Motor,
0.025,1,0.011800000000000007,90,n,n,0.5499103563124663,95,16,2,2021_Jun_21_1234,Motor,
