start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.0165,1,0.0165,0,x,x,0.8153382876589603,0,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.025,90,n,n,0.49705071329299244,1,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.023350000000000003,90,n,n,0.653960599634047,2,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.01485,90,n,n,0.7467176921491046,3,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.0132,0,x,x,0.5305429060636015,4,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.021700000000000004,90,n,n,0.5312698118304979,5,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.020050000000000005,90,n,n,0.5720372062087336,6,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.01155,90,n,n,0.6082557755980815,7,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.009899999999999999,90,n,n,0.6147122962274807,8,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.008249999999999999,0,n,x,0.9125616458713921,9,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.018400000000000007,90,n,n,0.6702443639842386,10,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.009899999999999999,0,n,x,0.8851811446866122,11,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.016750000000000008,90,n,n,0.8638620315186927,12,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.01155,0,n,x,0.819721610067063,13,22,2,2021_Jun_23_1112,Motor,
0.025,0,0.015100000000000008,0,n,x,1.1324516000950098,14,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.016750000000000008,90,n,n,0.7293088174474178,15,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.0132,90,n,n,0.8941781875282686,16,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.0132,0,n,x,0.8329821683446426,17,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.016750000000000008,90,n,n,0.6348963151285716,18,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.01485,0,n,x,1.0025716259451656,19,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.016750000000000008,90,n,n,0.8934021301838584,20,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.0165,0,n,x,0.9801128105527823,21,22,2,2021_Jun_23_1112,Motor,
0.025,0,0.015100000000000008,0,n,x,0.9740583344755578,22,22,2,2021_Jun_23_1112,Motor,
0.025,0,0.016750000000000008,0,n,x,1.0178815746476175,23,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.01815,0,n,x,1.1716269441276381,24,22,2,2021_Jun_23_1112,Motor,
0.025,0,0.018400000000000007,0,n,x,0.7983936649761745,25,22,2,2021_Jun_23_1112,Motor,
0.0165,1,0.019799999999999998,90,n,n,0.7891811999816127,26,22,2,2021_Jun_23_1112,Motor,
0.0165,0,0.019799999999999998,0,n,x,0.9321017022957676,27,22,2,2021_Jun_23_1112,Motor,
0.025,1,0.020050000000000005,90,n,n,0.5968806411519836,28,22,2,2021_Jun_23_1112,Motor,
0.025,0,0.020050000000000005,0,n,x,0.7586983894025252,29,22,2,2021_Jun_23_1112,Motor,
