start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,1,0.025,0,n,n,0.5587706511922761,0,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.5563948809004842,1,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,90,x,x,0.8241803266098486,2,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.01485,90,n,x,0.5861471126729612,3,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.021700000000000004,90,n,x,0.548922743498224,4,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.48083601617065597,5,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.0165,0,x,n,0.42763442858642975,6,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.6204139607895058,7,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,0,n,n,0.398182864041587,8,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.36005457321380163,9,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.3929601629363333,10,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,0,n,n,0.358756289820235,11,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.4075745869761249,12,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,90,x,x,0.6574386531336813,13,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,90,x,x,0.5451868667940971,14,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.45310397633363664,15,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.3301295441839329,16,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.35074464098102,17,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,90,x,x,0.6704606544485614,18,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.020050000000000005,90,x,x,0.4134431658300173,19,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,90,x,x,0.7312154021491324,20,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.020050000000000005,90,n,x,0.7721288007717249,21,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.01485,90,n,x,0.8158096434693789,22,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.3726680050134519,23,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.5125688885066211,24,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,90,x,x,0.5414156626505928,25,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.4340463588162038,26,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.6471768000097882,27,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.0165,90,n,x,0.3726864367208691,28,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,0,n,n,0.4245498055454391,29,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.020050000000000005,90,x,x,0.5692763404458674,30,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,90,x,x,0.6012476729968057,31,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.020050000000000005,0,n,n,0.3800871512567028,32,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01815,90,x,x,0.4737482566677045,33,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.020050000000000005,90,n,x,0.957610912799737,34,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.6372981728034119,35,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.43829294741431113,36,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.41621252987465596,37,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,90,x,x,0.5977648482764835,38,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.42052670140014925,39,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.020050000000000005,0,n,n,0.38234887535872986,40,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0165,0,n,n,0.37324437986535486,41,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.020050000000000005,90,n,x,0.3679402720520102,42,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,0,n,n,0.6920146163440677,43,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,0,n,n,0.4228410326670655,44,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,90,x,x,0.5155982164251327,45,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.021700000000000004,90,n,x,0.5294319808556338,46,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,90,x,x,0.9341250775669323,47,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,90,x,x,0.6758085375668088,48,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,90,x,x,0.5795270577466454,49,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.5744606421606022,50,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,90,x,x,0.5732057500781593,51,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.5851702321779158,52,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01155,90,x,x,0.6678637036673081,53,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.49974579603485836,54,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.01155,90,n,x,0.5936676333071773,55,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.021700000000000004,0,n,n,0.3643967762943703,56,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.021700000000000004,90,n,x,1.052270018370109,57,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,90,x,x,0.7802567997641745,58,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,90,x,x,0.6648232399254539,59,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.39137849204053055,60,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.0132,90,n,x,0.9663137506681778,61,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,90,x,x,0.7142263597991132,62,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.023350000000000003,90,n,x,0.5767450219029797,63,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,0,n,n,0.49239000878583283,64,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01485,0,n,n,0.42334368068918593,65,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.025,90,x,x,0.6720450133016129,66,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.42797272721691115,67,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.025,90,x,x,1.036768568409343,68,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.49455343044792244,69,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.025,0,n,n,0.38844823454974176,70,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.023350000000000003,0,n,n,0.3592862014095317,71,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.42304723739425754,72,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01155,90,x,x,0.7307319538224419,73,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01155,90,x,x,0.6735825248981655,74,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.023350000000000003,90,n,x,0.6623775827429199,75,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.025,90,x,x,0.6261162702824095,76,9,1,2021_Jun_17_0957,Motor,
0.0165,0,0.01155,90,n,x,0.5790850807616152,77,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,90,x,x,0.6457283749991802,78,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.025,90,x,x,0.6146559721803442,79,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,0.47651109281605386,80,9,1,2021_Jun_17_0957,Motor,
0.025,0,0.025,90,n,x,0.6431813434255673,81,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.0132,0,n,n,1.1081127160348387,82,9,1,2021_Jun_17_0957,Motor,
0.025,1,0.02665,90,x,x,0.655713368517354,83,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01155,0,n,n,0.4994174812457004,84,9,1,2021_Jun_17_0957,Motor,
0.0165,1,0.01155,0,n,n,0.4852699937946454,85,9,1,2021_Jun_17_0957,Motor,
