start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,0,0.025,90,x,n,0.9326624447812719,0,12,2,2021_Jun_17_1109,Motor,
0.03,0,0.03,0,n,x,0.506466073370575,1,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03165,0,x,x,0.4832271462191784,2,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.02665,90,n,n,0.5331236982601695,3,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.025,90,n,n,0.34761854659791425,4,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,0,x,x,0.4144296461727208,5,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.025,0,x,x,0.3232141979442531,6,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,90,n,n,0.4041171058534019,7,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.025,0,x,x,0.24981222698079364,8,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.023350000000000003,0,x,x,0.32971675073622464,9,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,90,n,n,0.4094342694597799,10,12,2,2021_Jun_17_1109,Motor,
0.03,0,0.02835,0,n,x,0.3353061660209278,11,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.023350000000000003,90,n,n,0.3590277735111158,12,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.023350000000000003,0,x,x,0.8908708520975779,13,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,90,n,n,0.35265078672637173,14,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,0,x,x,0.3084715199402126,15,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.021700000000000004,0,x,x,0.39831994986616337,16,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.021700000000000004,90,n,n,0.3471554499483318,17,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.021700000000000004,90,n,n,0.38080137991983065,18,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.03,90,n,n,0.29444422258166014,19,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.02835,0,x,x,0.32418071060419607,20,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.020050000000000005,90,n,n,0.35025658472750365,21,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.020050000000000005,90,n,n,0.40489354153032764,22,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.02835,90,n,n,0.3856777185228566,23,12,2,2021_Jun_17_1109,Motor,
0.025,0,0.020050000000000005,90,x,n,0.30455977402743883,24,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.02835,0,x,x,0.5383306556159368,25,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.021700000000000004,90,n,n,0.4382146126581574,26,12,2,2021_Jun_17_1109,Motor,
0.025,1,0.021700000000000004,90,n,n,0.25984905967561645,27,12,2,2021_Jun_17_1109,Motor,
0.03,1,0.0267,0,x,x,0.3035060947513557,28,12,2,2021_Jun_17_1109,Motor,
