start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.02,1,0.02,90,x,x,0.6621037950881146,0,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.01835,90,x,x,0.8117158844452206,1,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.0305,90,x,x,0.4933334818106232,2,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.02885,90,x,x,0.5482599700171704,3,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.016700000000000003,0,n,n,0.45611256858137494,4,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.027200000000000002,0,n,n,0.552829113496955,5,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.015050000000000003,0,n,n,0.9245091021912231,6,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.025550000000000003,90,x,x,0.5131786708279833,7,3,1,2021_Jun_04_1049,Motor,
0.02,0,0.013400000000000002,90,n,x,1.234973166506279,8,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.015050000000000003,0,n,n,0.7478024028805521,9,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.023900000000000005,90,x,x,0.5154334830394873,10,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.022250000000000006,0,n,n,0.4814346626690167,11,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.015050000000000003,0,n,n,0.7762859187896538,12,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.020600000000000007,0,n,n,0.5629554167717288,13,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.015050000000000003,90,x,x,0.5828117416122041,14,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.013400000000000002,90,x,x,1.1894510730326147,15,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.01895000000000001,0,n,n,1.16041537388719,16,3,1,2021_Jun_04_1049,Motor,
0.02,1,0.013400000000000002,90,x,x,1.0561245491917362,17,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.01730000000000001,0,n,n,0.7759998433302826,18,3,1,2021_Jun_04_1049,Motor,
0.0305,1,0.01565000000000001,0,n,n,0.7358114252010637,19,3,1,2021_Jun_04_1049,Motor,
