start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.035,1,0.035,0,n,n,1.3227656930630474,0,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.05,0,n,n,0.5313646221811723,1,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.033350000000000005,0,n,n,0.5631858131155241,2,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.048350000000000004,90,x,x,0.4550262498232769,3,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.046700000000000005,90,x,x,0.48175760154299496,4,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.031700000000000006,0,n,n,0.5006036384193067,5,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.04505000000000001,0,n,n,0.469408741544612,6,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.030050000000000007,90,x,x,0.4241558277990407,7,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.04340000000000001,0,n,n,0.41415701049936615,8,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.02840000000000001,0,n,n,0.48191388706345606,9,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.02675000000000001,0,n,n,0.727629283067472,10,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.04175000000000001,90,x,x,0.28047682827218523,11,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.02510000000000001,0,n,n,0.4272584985537833,12,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.04010000000000001,0,n,n,0.4241385480727331,13,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.023450000000000013,0,n,n,1.344918685450466,14,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.03845000000000001,90,x,x,1.2406608842302376,15,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.03680000000000001,0,n,n,0.3923388607972811,16,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.021800000000000014,0,n,n,0.7752817747277732,17,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.035150000000000015,90,x,x,0.4579557393271898,18,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.020150000000000015,90,x,x,0.3886648071120362,19,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.018500000000000016,90,x,x,0.3916246321341532,20,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.033500000000000016,90,x,x,0.429342433477359,21,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.03185000000000002,0,n,n,0.5491596677384223,22,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.016850000000000018,0,n,n,0.41701162119170476,23,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.03020000000000002,0,n,n,0.3817924681898148,24,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.015200000000000017,90,x,x,0.5315950185240581,25,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.02855000000000002,90,x,x,0.443383170621928,26,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.013550000000000017,90,x,x,0.720236632403612,27,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.011900000000000016,0,n,n,0.45702570608773385,28,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.02690000000000002,0,n,n,0.48475851391322067,29,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.025250000000000022,0,n,n,0.4106215786150642,30,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.010250000000000016,90,x,x,0.5764458906514847,31,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.023600000000000024,0,n,n,0.5261956802223722,32,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.008600000000000016,90,x,x,0.45500935409199883,33,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.006950000000000015,90,x,x,0.38677210115292837,34,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.021950000000000025,0,n,n,0.4205332292967796,35,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.005300000000000015,0,n,n,1.0864650596258798,36,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.020300000000000026,90,x,x,0.4362704515151563,37,3,1,2021_Jun_04_1043,Motor,
0.035,0,0.0036500000000000148,0,x,n,0.7560728636117346,38,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.018650000000000028,90,x,x,0.4837305622286294,39,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.01700000000000003,0,n,n,0.5536673721917396,40,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.005300000000000015,90,x,x,0.54429062501913,41,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.005300000000000015,90,x,x,0.4651936404470689,42,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.015350000000000029,90,x,x,0.48412415598158987,43,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.005300000000000015,90,x,x,0.4988699059376813,44,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.013700000000000028,90,x,x,0.4315427185538283,45,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.012050000000000028,90,x,x,0.39639767637618206,46,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.0036500000000000148,90,x,x,0.9611693843189641,47,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.010400000000000027,0,n,n,0.46511722565992386,48,3,1,2021_Jun_04_1043,Motor,
0.035,0,0.0036500000000000148,90,n,x,0.4957630112494371,49,3,1,2021_Jun_04_1043,Motor,
0.035,0,0.005300000000000015,0,x,n,0.5295164595145252,50,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.008750000000000027,90,x,x,0.4814227588576614,51,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.006950000000000015,90,x,x,1.0483409927319371,52,3,1,2021_Jun_04_1043,Motor,
0.05,0,0.007100000000000026,90,n,x,1.430845001628768,53,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.008750000000000027,0,n,n,0.838595073819306,54,3,1,2021_Jun_04_1043,Motor,
0.035,0,0.006950000000000015,0,x,n,0.7354861823632746,55,3,1,2021_Jun_04_1043,Motor,
0.035,0,0.008600000000000016,0,x,n,0.615154012275525,56,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.008750000000000027,0,n,n,0.7160672265817993,57,3,1,2021_Jun_04_1043,Motor,
0.035,1,0.010250000000000016,90,x,x,0.4808586718108927,58,3,1,2021_Jun_04_1043,Motor,
0.05,1,0.008750000000000027,90,x,x,0.9757089295471815,59,3,1,2021_Jun_04_1043,Motor,
