start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.025,1,0.025,0,n,n,0.6963783230830813,0,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.0165,90,n,x,0.677213571266293,1,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.01815,0,n,n,0.5449714462131396,2,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.023350000000000003,90,x,x,0.46169008005495016,3,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.4935204868427263,4,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.0165,0,n,n,1.2164320207909896,5,3,1,2021_Jun_10_1016,Motor,
0.025,0,0.020050000000000005,90,n,x,0.8101925806233794,6,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.0165,90,n,x,0.4879241596677275,7,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.5829710990826698,8,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.01815,90,n,x,0.6497242155771801,9,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.6174982950672074,10,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.019799999999999998,0,n,n,0.4473179561693996,11,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.019799999999999998,90,n,x,0.8391702966889625,12,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,90,x,x,0.6400110897438935,13,3,1,2021_Jun_10_1016,Motor,
0.025,0,0.020050000000000005,90,n,x,0.6729527748937016,14,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.021449999999999997,90,x,x,0.6316457825182624,15,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.968467572482723,16,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.021449999999999997,0,n,n,0.5123384921635079,17,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.021449999999999997,90,n,x,0.6860669347454404,18,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.41303843625382797,19,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.023099999999999996,0,n,n,0.4749109902127202,20,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,0,n,n,0.5456131000287314,21,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.023099999999999996,90,x,x,0.6145680375761913,22,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.020050000000000005,0,n,n,0.6231418534923705,23,3,1,2021_Jun_10_1016,Motor,
0.025,0,0.020050000000000005,90,n,x,1.2891209150729992,24,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.023099999999999996,0,n,n,1.1999271947556736,25,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.021449999999999997,0,n,n,0.5467981052204323,26,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.021700000000000004,90,x,x,1.125519927747746,27,3,1,2021_Jun_10_1016,Motor,
0.025,0,0.021700000000000004,90,n,x,0.5873106142059896,28,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.021449999999999997,90,n,x,0.5742233339271934,29,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.023099999999999996,0,n,n,0.5939932601388591,30,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.023350000000000003,0,n,n,0.4288466973450795,31,3,1,2021_Jun_10_1016,Motor,
0.0165,1,0.023099999999999996,0,n,n,0.433632413386249,32,3,1,2021_Jun_10_1016,Motor,
0.025,0,0.023350000000000003,90,n,x,0.4504129470456064,33,3,1,2021_Jun_10_1016,Motor,
0.025,1,0.025,0,n,n,0.4393566105318314,34,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.023099999999999996,90,n,x,1.3831533425902762,35,3,1,2021_Jun_10_1016,Motor,
0.0165,0,0.024749999999999994,90,n,x,1.0978850383687586,36,3,1,2021_Jun_10_1016,Motor,
