start	accuracy_gabor	delta	orientation	pressed_gabor	expected_gabor	rt_gabor	trial	participant	response condition	date	expName	
0.0165	1	0.0165	0	n	n	1.2752706389044306	0	3	1	2021_Jun_10_1024	Motor	
0.025	0	0.025	90	n	x	0.9951025417324217	1	3	1	2021_Jun_10_1024	Motor	
0.0165	0	0.01485	0	x	n	0.6967592450373559	2	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.02665	0	n	n	1.0677422847945763	3	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.025	90	x	x	0.746482231833852	4	3	1	2021_Jun_10_1024	Motor	
0.0165	0	0.0165	0	x	n	1.2673699643039527	5	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.025	0	n	n	0.5620668548749563	6	3	1	2021_Jun_10_1024	Motor	
0.0165	0	0.01815	90	n	x	0.7157281599625094	7	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.025	0	n	n	0.512651447196049	8	3	1	2021_Jun_10_1024	Motor	
0.0165	1	0.019799999999999998	90	x	x	0.5862753666374374	9	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	0	n	n	0.6891504058048668	10	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	90	x	x	0.4880827491506352	11	3	1	2021_Jun_10_1024	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.5347714161080148	12	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	0	n	n	0.5475779968421648	13	3	1	2021_Jun_10_1024	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.49941364130677357	14	3	1	2021_Jun_10_1024	Motor	
0.025	0	0.021700000000000004	90	n	x	0.6612943359364181	15	3	1	2021_Jun_10_1024	Motor	
0.0165	0	0.01815	90	n	x	0.6291463661889338	16	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	0	n	n	0.4597194233333539	17	3	1	2021_Jun_10_1024	Motor	
0.0165	1	0.019799999999999998	0	n	n	0.5645029122097185	18	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	90	x	x	0.9233095052316003	19	3	1	2021_Jun_10_1024	Motor	
0.0165	0	0.019799999999999998	90	n	x	0.5202011513674734	20	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.023350000000000003	90	x	x	0.8660502540503785	21	3	1	2021_Jun_10_1024	Motor	
0.025	1	0.021700000000000004	0	n	n	0.633775412716659	22	3	1	2021_Jun_10_1024	Motor	
