start,accuracy_gabor,delta,orientation,pressed_gabor,expected_gabor,rt_gabor,trial,participant,response condition,date,expName,
0.035,1,0.035,90,x,x,0.5650950308116762,0,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.025,0,n,n,0.34775755239206774,1,3,1,2021_Jun_10_1011,Motor,
0.035,0,0.033350000000000005,90,n,x,1.3464062778396055,2,3,1,2021_Jun_10_1011,Motor,
0.035,0,0.035,90,n,x,0.5543328336292461,3,3,1,2021_Jun_10_1011,Motor,
0.025,0,0.023350000000000003,90,n,x,0.8422806473215587,4,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.03665,0,n,n,1.3339034362845723,5,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.025,90,x,x,0.8074116967615055,6,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.03665,0,n,n,0.4971784127842511,7,3,1,2021_Jun_10_1011,Motor,
0.025,0,0.025,90,n,x,0.5950411795064383,8,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.03665,90,x,x,0.9047691275044372,9,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.035,90,x,x,0.47853896462959256,10,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.02665,90,x,x,0.47733667971226623,11,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.035,0,n,n,0.424204595024662,12,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.02665,90,x,x,0.7799357808593186,13,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.02665,90,x,x,0.3986375128254167,14,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.035,0,n,n,0.49963366981432955,15,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.025,0,n,n,0.7093530931476835,16,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.033350000000000005,90,x,x,0.4393059233364056,17,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.033350000000000005,90,x,x,0.6749522311581586,18,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.025,0,n,n,0.4217282183296902,19,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.033350000000000005,0,n,n,0.882516296701283,20,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.025,0,n,n,0.7403214336181918,21,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,0,n,n,0.45323491825536166,22,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.031700000000000006,0,n,n,0.5839859949743413,23,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,90,x,x,0.5027355725810594,24,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.031700000000000006,90,x,x,0.5195053544109669,25,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,90,x,x,0.7284110946591227,26,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.031700000000000006,0,n,n,0.38911484796915374,27,3,1,2021_Jun_10_1011,Motor,
0.025,0,0.021700000000000004,0,x,n,0.6720288855575518,28,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,0,n,n,0.7788191265827891,29,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,90,x,x,1.0336397860693296,30,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,90,x,x,1.1293606347879859,31,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,0,n,n,0.3891808949208553,32,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,90,x,x,0.6760001505256241,33,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.023350000000000003,0,n,n,0.4307509231214226,34,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02840000000000001,0,n,n,0.7584962491474698,35,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.021700000000000004,0,n,n,0.8743230187450308,36,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02840000000000001,90,x,x,0.7201364099948933,37,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.021700000000000004,0,n,n,0.7140055633037719,38,3,1,2021_Jun_10_1011,Motor,
0.035,0,0.02840000000000001,90,n,x,0.7147305437968043,39,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,0,n,n,0.6955308485344176,40,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.021700000000000004,90,x,x,0.6091794511037278,41,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.020050000000000005,90,x,x,0.4430583117784863,42,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,0,n,n,0.3947960377972777,43,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.020050000000000005,90,x,x,0.5085795758250242,44,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.030050000000000007,90,x,x,0.3663824087784633,45,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.020050000000000005,90,x,x,0.5131590871390017,46,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02840000000000001,0,n,n,0.3381442649742894,47,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.018400000000000007,90,x,x,0.48194307059952735,48,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02840000000000001,0,n,n,0.4796529309487596,49,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.018400000000000007,90,x,x,0.41050945239396697,50,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02840000000000001,0,n,n,0.4233909119394639,51,3,1,2021_Jun_10_1011,Motor,
0.025,0,0.018400000000000007,90,n,x,0.5562140197711187,52,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02675000000000001,90,x,x,0.5119187868250492,53,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.020050000000000005,90,x,x,0.448754861362886,54,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02675000000000001,90,x,x,0.39653629817587444,55,3,1,2021_Jun_10_1011,Motor,
0.025,1,0.020050000000000005,90,x,x,0.34639591000416203,56,3,1,2021_Jun_10_1011,Motor,
0.035,1,0.02675000000000001,90,x,x,0.346148233935196,57,3,1,2021_Jun_10_1011,Motor,
